Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-1.97481,-3.16739,-0.974555,-3.98988,-1.38915,-0.218121
-1.93306,-2.92646,-0.963361,-3.92384,-1.27399,-0.213735
-1.89131,-2.68553,-0.952167,-3.8578,-1.16022,-0.209349
-1.84957,-2.45724,-0.940973,-3.79176,-1.06031,-0.204963
-1.80782,-2.26242,-0.929779,-3.72573,-0.965619,-0.200577
-1.76607,-2.1367,-0.918584,-3.65969,-0.89406,-0.196191
-1.72432,-2.01097,-0.90739,-3.59365,-0.822502,-0.191805
-1.68257,-1.88525,-0.896196,-3.52761,-0.750943,-0.187419
-1.64083,-1.75953,-0.885002,-3.46157,-0.679385,-0.183033
-1.59908,-1.63381,-0.873808,-3.39553,-0.607826,-0.178647
-1.55733,-1.50809,-0.862614,-3.32949,-0.536268,-0.174261
-1.51558,-1.38236,-0.85142,-3.26345,-0.48741,-0.169874
-1.47384,-1.25664,-0.840226,-3.19742,-0.44401,-0.165488
-1.43209,-1.16706,-0.829031,-3.13138,-0.40061,-0.161102
-1.39034,-1.11197,-0.817837,-3.06534,-0.35721,-0.156716
-1.34859,-1.05687,-0.806643,-2.9993,-0.325026,-0.15233
-1.30684,-1.00178,-0.795449,-2.93326,-0.293981,-0.147944
-1.2651,-0.97051,-0.784255,-2.86722,-0.266757,-0.143558
-1.22335,-0.939425,-0.773061,-2.80118,-0.243277,-0.139172
-1.1816,-0.908341,-0.761867,-2.73515,-0.222314,-0.134786
-1.13985,-0.88574,-0.750673,-2.66911,-0.203103,-0.1304
-1.09811,-0.867592,-0.739479,-2.60307,-0.186146,-0.126014
-1.05636,-0.852458,-0.728284,-2.53703,-0.170701,-0.121628
-1.01461,-0.838376,-0.71709,-2.47099,-0.156576,-0.117242
-0.972862,-0.825632,-0.705896,-2.40495,-0.143334,-0.112856
-0.931114,-0.812878,-0.694702,-2.33891,-0.130629,-0.10847
-0.889366,-0.799216,-0.683508,-2.27287,-0.118169,-0.104084
-0.847619,-0.783773,-0.672314,-2.20684,-0.105599,-0.0996978
-0.805871,-0.76562,-0.66112,-2.1408,-0.0925801,-0.0953117
-0.764123,-0.743955,-0.649926,-2.07476,-0.0787846,-0.0909257
-0.722375,-0.71785,-0.638732,-2.00872,-0.0643268,-0.0865396
-0.680627,-0.687178,-0.627537,-1.94268,-0.0499781,-0.0821536
-0.63888,-0.655834,-0.616343,-1.87664,-0.0365659,-0.0777676
-0.597132,-0.629413,-0.605149,-1.8106,-0.0249149,-0.0733815
-0.555384,-0.62828,-0.593955,-1.74456,-0.0165034,-0.0689955
-0.513636,-0.65718,-0.582761,-1.67853,-0.0179034,-0.0646094
-0.471888,-0.592349,-0.571567,-1.61249,-0.0379635,-0.0602234
-0.430141,-0.492401,-0.560373,-1.54645,-0.0690762,-0.0558373
-0.388393,-0.447409,-0.549179,-1.48041,-0.0638646,-0.0514513
-0.346645,-0.579595,-0.537985,-1.41437,-0.0116469,-0.0470652
-0.304897,-0.510701,-0.52679,-1.34833,-0.0329663,-0.0426792
-0.263149,-0.425434,-0.515596,-1.28229,-0.0529877,-0.0382932
-0.221401,-0.441339,-0.504402,-1.21625,-0.0232378,-0.0339071
-0.179654,-0.479008,-0.493208,-1.15022,-0.0473155,-0.0295211
-0.137906,-0.422455,-0.482014,-1.08418,-0.0540833,-0.025135
-0.096158,-0.462307,-0.47082,-1.01814,0.0142993,-0.020749
-0.0544102,-0.429963,-0.459626,-0.9521,0.000513182,-0.0163629
-0.0126624,-0.4324,-0.448432,-0.886061,0.0286834,-0.0119769
0.0290854,-0.387964,-0.437238,-0.820022,-0.00514609,-0.00759084
0.0708332,-0.387777,-0.426043,-0.753983,0.0306837,-0.00320479
0.112581,-0.341215,-0.414849,-0.687945,0.0272929,0.00118125
0.154329,-0.400773,-0.403655,-0.621906,0.00643946,0.0055673
0.196077,-0.365711,-0.392461,-0.555867,0.0254163,0.00995334
0.237824,-0.410795,-0.381267,-0.489828,0.0120847,0.0143394
0.279572,-0.422459,-0.370073,-0.42379,0.00405477,0.0187254
0.32132,-0.340631,-0.358879,-0.357751,-0.00339488,0.0231115
0.363068,-0.39123,-0.347685,-0.291712,0.0334188,0.0274975
0.404816,-0.330245,-0.336491,-0.225674,0.0660177,0.0318836
0.446564,-0.340015,-0.325296,-0.159635,0.0134901,0.0362696
0.488311,-0.345779,-0.314102,-0.0935961,0.0352283,0.0406557
0.530059,-0.373018,-0.302908,-0.0275574,0.0350892,0.0450417
0.571807,-0.370169,-0.291714,0.0384813,0.0152304,0.0494277
0.613555,-0.339247,-0.28052,0.10452,0.0508815,0.0538138
0.655303,-0.317887,-0.269326,0.170559,0.051135,0.0581998
