V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
-1.88552,0.000999001,-3.74148,0.000999001,All
-0.951611,0.001998,-2.69605,0.001998,All
-0.847384,0.002997,-2.65786,0.002997,All
-0.82958,0.003996,-2.56204,0.003996,All
-0.804585,0.004995,-2.35989,0.004995,All
-0.780256,0.00599401,-2.28651,0.00599401,All
-0.763765,0.00699301,-2.20861,0.00699301,All
-0.652684,0.00799201,-2.09881,0.00799201,All
-0.644278,0.00899101,-2.09832,0.00899101,All
-0.641562,0.00999001,-2.0298,0.00999001,All
-0.602463,0.010989,-1.97385,0.010989,All
-0.596148,0.011988,-1.97087,0.011988,All
-0.582765,0.012987,-1.94665,0.012987,All
-0.581671,0.013986,-1.93838,0.013986,All
-0.562563,0.014985,-1.93268,0.014985,All
-0.55519,0.015984,-1.91786,0.015984,All
-0.546489,0.016983,-1.89204,0.016983,All
-0.531441,0.017982,-1.80669,0.017982,All
-0.515579,0.018981,-1.79176,0.018981,All
-0.496641,0.01998,-1.74145,0.01998,All
-0.489398,0.020979,-1.73837,0.020979,All
-0.483339,0.021978,-1.7315,0.021978,All
-0.47831,0.022977,-1.69524,0.022977,All
-0.470828,0.023976,-1.67939,0.023976,All
-0.463103,0.024975,-1.66289,0.024975,All
-0.460661,0.025974,-1.66043,0.025974,All
-0.459137,0.026973,-1.64786,0.026973,All
-0.445184,0.027972,-1.62426,0.027972,All
-0.43673,0.028971,-1.58698,0.028971,All
-0.436102,0.02997,-1.57527,0.02997,All
-0.433257,0.030969,-1.55822,0.030969,All
-0.421648,0.031968,-1.55541,0.031968,All
-0.420064,0.032967,-1.54853,0.032967,All
-0.394094,0.033966,-1.52234,0.033966,All
-0.39384,0.034965,-1.5161,0.034965,All
-0.383545,0.035964,-1.51339,0.035964,All
-0.379888,0.036963,-1.50063,0.036963,All
-0.379429,0.037962,-1.49319,0.037962,All
-0.373044,0.038961,-1.49067,0.038961,All
-0.366568,0.03996,-1.48952,0.03996,All
-0.364941,0.040959,-1.47656,0.040959,All
-0.359822,0.041958,-1.47632,0.041958,All
-0.358529,0.042957,-1.47331,0.042957,All
-0.358205,0.043956,-1.46291,0.043956,All
-0.34749,0.044955,-1.44757,0.044955,All
-0.339235,0.045954,-1.44221,0.045954,All
-0.335131,0.046953,-1.42797,0.046953,All
-0.326826,0.047952,-1.42727,0.047952,All
-0.326027,0.048951,-1.42045,0.048951,All
-0.325508,0.04995,-1.42007,0.04995,All
-0.324549,0.0509491,-1.41887,0.0509491,All
-0.318573,0.0519481,-1.4172,0.0519481,All
-0.31643,0.0529471,-1.41214,0.0529471,All
-0.315594,0.0539461,-1.40071,0.0539461,All
-0.314245,0.0549451,-1.39868,0.0549451,All
-0.314025,0.0559441,-1.39702,0.0559441,All
-0.311082,0.0569431,-1.39572,0.0569431,All
-0.305635,0.0579421,-1.37435,0.0579421,All
-0.301386,0.0589411,-1.367,0.0589411,All
-0.295374,0.0599401,-1.36062,0.0599401,All
-0.293008,0.0609391,-1.35275,0.0609391,All
-0.291844,0.0619381,-1.34631,0.0619381,All
-0.286002,0.0629371,-1.33916,0.0629371,All
-0.278119,0.0639361,-1.33872,0.0639361,All
-0.273476,0.0649351,-1.33242,0.0649351,All
-0.271721,0.0659341,-1.33201,0.0659341,All
-0.269301,0.0669331,-1.32969,0.0669331,All
-0.2688,0.0679321,-1.32294,0.0679321,All
-0.261853,0.0689311,-1.32038,0.0689311,All
-0.261307,0.0699301,-1.30559,0.0699301,All
-0.247729,0.0709291,-1.30534,0.0709291,All
-0.247672,0.0719281,-1.30082,0.0719281,All
-0.246865,0.0729271,-1.28891,0.0729271,All
-0.238301,0.0739261,-1.28701,0.0739261,All
-0.235719,0.0749251,-1.28647,0.0749251,All
-0.234748,0.0759241,-1.28268,0.0759241,All
