V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
-1.82848,0.0090295,-3.64963,0.00560814,All
-1.71438,0,-3.46593,0,All
-1.60029,0,-3.28223,0,All
-1.48619,0,-3.09853,0,All
-1.3721,0,-2.91483,0,All
-1.258,0,-2.73113,0.0112163,All
-1.14391,0,-2.54743,0.00560814,All
-1.02981,0,-2.36372,0.0112163,All
-0.915719,0.0090295,-2.18002,0.0168244,All
-0.801624,0.0451475,-1.99632,0.039257,All
-0.687529,0.0270885,-1.81262,0.0336489,All
-0.573434,0.072236,-1.62892,0.0616896,All
-0.459339,0.135443,-1.44522,0.15142,All
-0.345244,0.261856,-1.26152,0.24115,All
-0.23115,0.650124,-1.07782,0.336489,All
-0.117055,1.05645,-0.894118,0.375745,All
-0.00295991,5.87821,-0.710418,0.560814,All
0.111135,0.54177,-0.526717,0.600071,All
0.22523,0.18962,-0.343016,0.801964,All
0.339325,0.0993245,-0.159315,0.830005,All
0.453419,0.0270885,0.0243853,0.678585,All
0.567514,0.018059,0.208086,0.471084,All
0.681609,0.0090295,0.391787,0.246758,All
0.795704,0,0.575487,0.0729058,All
0.909799,0,0.759188,0.0224326,All
1.02389,0,0.942889,0.0112163,All
1.13799,0,1.12659,0.00560814,All
1.25208,0,1.31029,0.00560814,All
1.36618,0,1.49399,0,All
1.48027,0,1.67769,0.00560814,All
1.59437,0,1.86139,0.00560814,All
1.70846,0.0090295,2.04509,0.00560814,All
