V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
-1.88552,1.29094e-06,8.61349e-08,-3.74148,1.97435e-05,3.49876e-06,All
-1.84865,2.19138e-06,1.48944e-07,-3.6821,2.71333e-05,4.87947e-06,All
-1.81177,3.6812e-06,2.5496e-07,-3.62272,3.70999e-05,6.77188e-06,All
-1.77489,6.1196e-06,4.32043e-07,-3.56335,5.04701e-05,9.35252e-06,All
-1.73801,1.00674e-05,7.24763e-07,-3.50397,6.83103e-05,1.28538e-05,All
-1.70113,1.63897e-05,1.2036e-06,-3.44459,9.19877e-05,1.75801e-05,All
-1.66425,2.6405e-05,1.97877e-06,-3.38521,0.000123244,2.39276e-05,All
-1.62737,4.20981e-05,3.2206e-06,-3.32583,0.000164282,3.24092e-05,All
-1.59049,6.642e-05,5.18937e-06,-3.26646,0.000217875,4.36851e-05,All
-1.55361,0.000103704,8.27818e-06,-3.20708,0.000287485,5.85997e-05,All
-1.51673,0.000160234,1.30739e-05,-3.1477,0.00037741,7.82271e-05,All
-1.47985,0.000245004,2.04424e-05,-3.08832,0.000492951,0.000103926,All
-1.44297,0.000370725,3.16463e-05,-3.02894,0.000640598,0.000137403,All
-1.4061,0.000555127,4.85051e-05,-2.96957,0.000828243,0.000180791,All
-1.36922,0.000822608,7.36092e-05,-2.91019,0.00106542,0.000236741,All
-1.33234,0.0012063,0.000110603,-2.85081,0.00136357,0.000308522,All
-1.29546,0.00175056,0.000164552,-2.79143,0.00173629,0.000400147,All
-1.25858,0.00251397,0.000242408,-2.73205,0.00219968,0.000516509,All
-1.2217,0.00357275,0.0003536,-2.67268,0.0027726,0.000663538,All
-1.18482,0.00502467,0.00051075,-2.6133,0.00347701,0.000848372,All
-1.14794,0.00699314,0.000730548,-2.55392,0.00433827,0.00107956,All
-1.11106,0.00963159,0.00103477,-2.49454,0.0053854,0.00136724,All
-1.07418,0.0131276,0.00145148,-2.43516,0.00665137,0.00172343,All
-1.0373,0.0177064,0.00201634,-2.37579,0.00817325,0.0021622,All
-1.00043,0.0236341,0.00277404,-2.31641,0.0099924,0.00269994,All
-0.963546,0.0312182,0.00377989,-2.25703,0.0121545,0.00335564,All
-0.926667,0.0408072,0.00510127,-2.19765,0.0147093,0.00415112,All
-0.889788,0.052787,0.00681914,-2.13827,0.0177109,0.0051113,All
-0.852909,0.0675736,0.00902925,-2.0789,0.0212168,0.00626438,All
-0.81603,0.0856029,0.0118431,-2.01952,0.0252878,0.00764211,All
-0.779151,0.107315,0.0153884,-1.96014,0.029987,0.0092799,All
-0.742271,0.133135,0.019809,-1.90076,0.035379,0.011217,All
-0.705392,0.163451,0.0252636,-1.84138,0.0415289,0.0134964,All
-0.668513,0.198582,0.0319241,-1.78201,0.0485004,0.016165,All
-0.631634,0.238757,0.0399727,-1.72263,0.0563549,0.0192736,All
-0.594755,0.284074,0.0495976,-1.66325,0.0651492,0.0228761,All
-0.557876,0.334478,0.0609881,-1.60387,0.0749337,0.02703,All
-0.520997,0.38973,0.0743278,-1.54449,0.0857506,0.0317954,All
-0.484117,0.449388,0.0897882,-1.48512,0.097631,0.0372345,All
-0.447238,0.512791,0.10752,-1.42574,0.110594,0.0434111,All
-0.410359,0.579054,0.127646,-1.36636,0.124642,0.0503896,All
-0.37348,0.647081,0.150252,-1.30698,0.139761,0.0582343,All
-0.336601,0.715582,0.175379,-1.2476,0.15592,0.0670077,All
-0.299722,0.783106,0.20302,-1.18823,0.173065,0.0767702,All
-0.262843,0.848091,0.233109,-1.12885,0.19112,0.0875783,All
-0.225963,0.908918,0.265523,-1.06947,0.209988,0.099483,All
-0.189084,0.96398,0.300078,-1.01009,0.229549,0.112529,All
-0.152205,1.01175,0.336534,-0.950713,0.249658,0.126754,All
-0.115326,1.05084,0.374596,-0.891335,0.270152,0.142185,All
-0.0784469,1.0801,0.413921,-0.831957,0.290845,0.15884,All
-0.0415678,1.09862,0.45413,-0.772579,0.311534,0.176725,All
-0.00468862,1.10585,0.494815,-0.713201,0.332003,0.195833,All
0.0321905,1.10155,0.535554,-0.653823,0.352021,0.216143,All
0.0690697,1.08585,0.575923,-0.594445,0.371352,0.237624,All
0.105949,1.05925,0.61551,-0.535067,0.389758,0.260225,All
0.142828,1.02256,0.653927,-0.475689,0.407001,0.283887,All
0.179707,0.976875,0.690822,-0.416311,0.42285,0.308532,All
0.216586,0.923528,0.725885,-0.356933,0.437088,0.334071,All
0.253465,0.864016,0.758864,-0.297555,0.449513,0.360403,All
0.290344,0.799934,0.789558,-0.238177,0.459946,0.387414,All
0.327224,0.732904,0.817829,-0.178799,0.468234,0.414981,All
0.364103,0.664509,0.843599,-0.119421,0.474252,0.442974,All
0.400982,0.596232,0.866844,-0.0600429,0.477912,0.471255,All
0.437861,0.529408,0.887594,-0.00066485,0.479156,0.499681,All
0.47474,0.465186,0.905924,0.0587132,0.477966,0.528109,All
0.511619,0.404504,0.921949,0.118091,0.47436,0.556395,All
0.548498,0.348081,0.935812,0.177469,0.468394,0.584396,All
0.585378,0.296414,0.947681,0.236847,0.460156,0.611975,All
0.622257,0.249791,0.957737,0.296225,0.449769,0.639,All
