pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-2.12475,0.000634115,-3.64148,0.000634115,-3.41059,0.000634115,All
-1.9011,0.00126823,-2.91144,0.00126823,-2.92804,0.00126823,All
-1.58986,0.00190235,-2.85162,0.00190235,-2.40073,0.00190235,All
-1.46031,0.00253646,-2.52955,0.00253646,-1.71465,0.00253646,All
-1.32766,0.00317058,-2.52317,0.00317058,-1.5707,0.00317058,All
-1.22443,0.00380469,-2.28984,0.00380469,-1.44643,0.00380469,All
-1.15914,0.00443881,-2.0795,0.00443881,-1.25292,0.00443881,All
-1.10745,0.00507292,-2.01739,0.00507292,-1.22727,0.00507292,All
-1.06874,0.00570704,-1.87195,0.00570704,-1.15453,0.00570704,All
-1.01148,0.00634115,-1.85475,0.00634115,-1.15288,0.00634115,All
-1.00196,0.00697527,-1.79034,0.00697527,-1.10753,0.00697527,All
-0.97872,0.00760938,-1.75423,0.00760938,-1.06711,0.00760938,All
-0.927336,0.0082435,-1.64998,0.0082435,-1.05418,0.0082435,All
-0.921794,0.00887762,-1.47259,0.00887762,-0.959563,0.00887762,All
-0.919759,0.00951173,-1.46881,0.00951173,-0.947386,0.00951173,All
-0.91114,0.0101458,-1.4651,0.0101458,-0.899368,0.0101458,All
-0.895014,0.01078,-1.45681,0.01078,-0.894691,0.01078,All
-0.875054,0.0114141,-1.4426,0.0114141,-0.862659,0.0114141,All
-0.860981,0.0120482,-1.37092,0.0120482,-0.852003,0.0120482,All
-0.83172,0.0126823,-1.23638,0.0126823,-0.850799,0.0126823,All
-0.823906,0.0133164,-1.23195,0.0133164,-0.813766,0.0133164,All
-0.81138,0.0139505,-1.19851,0.0139505,-0.804822,0.0139505,All
-0.809611,0.0145847,-1.17511,0.0145847,-0.798005,0.0145847,All
-0.807108,0.0152188,-1.13817,0.0152188,-0.786552,0.0152188,All
-0.80005,0.0158529,-1.12168,0.0158529,-0.760509,0.0158529,All
-0.797235,0.016487,-1.11452,0.016487,-0.757872,0.016487,All
-0.796877,0.0171211,-1.06215,0.0171211,-0.746806,0.0171211,All
-0.787571,0.0177552,-1.01933,0.0177552,-0.743691,0.0177552,All
-0.783014,0.0183893,-0.998016,0.0183893,-0.742365,0.0183893,All
-0.781935,0.0190235,-0.997285,0.0190235,-0.738766,0.0190235,All
-0.781477,0.0196576,-0.988162,0.0196576,-0.733373,0.0196576,All
-0.7777,0.0202917,-0.981093,0.0202917,-0.709325,0.0202917,All
-0.766716,0.0209258,-0.976077,0.0209258,-0.695833,0.0209258,All
-0.763753,0.0215599,-0.964581,0.0215599,-0.690547,0.0215599,All
-0.750621,0.022194,-0.95703,0.022194,-0.68109,0.022194,All
-0.735752,0.0228282,-0.915823,0.0228282,-0.680096,0.0228282,All
-0.720767,0.0234623,-0.908055,0.0234623,-0.666492,0.0234623,All
-0.71595,0.0240964,-0.90108,0.0240964,-0.663775,0.0240964,All
-0.713733,0.0247305,-0.881617,0.0247305,-0.652296,0.0247305,All
-0.710012,0.0253646,-0.873606,0.0253646,-0.644943,0.0253646,All
-0.702608,0.0259987,-0.854381,0.0259987,-0.634777,0.0259987,All
-0.701438,0.0266328,-0.852236,0.0266328,-0.633862,0.0266328,All
-0.699651,0.027267,-0.843093,0.027267,-0.630274,0.027267,All
-0.691518,0.0279011,-0.840153,0.0279011,-0.625264,0.0279011,All
-0.682311,0.0285352,-0.837478,0.0285352,-0.624872,0.0285352,All
-0.682206,0.0291693,-0.819161,0.0291693,-0.623969,0.0291693,All
-0.6719,0.0298034,-0.818452,0.0298034,-0.623911,0.0298034,All
-0.667247,0.0304375,-0.802843,0.0304375,-0.608724,0.0304375,All
-0.666529,0.0310717,-0.802398,0.0310717,-0.604662,0.0310717,All
-0.665772,0.0317058,-0.794808,0.0317058,-0.60073,0.0317058,All
-0.664813,0.0323399,-0.769879,0.0323399,-0.596487,0.0323399,All
-0.656558,0.032974,-0.764719,0.032974,-0.594628,0.032974,All
-0.656358,0.0336081,-0.764312,0.0336081,-0.588716,0.0336081,All
-0.654381,0.0342422,-0.761692,0.0342422,-0.586298,0.0342422,All
-0.652687,0.0348763,-0.759608,0.0348763,-0.582702,0.0348763,All
