pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.93594,0.00344249,-3.55403,0.0037163,-3.33198,0.00413445,All
-1.55833,0.00344249,-3.37914,0,-3.17478,0,All
-1.18071,0.0120487,-3.20424,0,-3.01757,0,All
-0.803096,0.103275,-3.02934,0,-2.86036,0.00413445,All
-0.425481,0.321873,-2.85444,0.00743259,-2.70315,0,All
-0.0478663,0.473343,-2.67955,0,-2.54594,0,All
0.329748,0.488834,-2.50465,0.00743259,-2.38874,0.00413445,All
0.707363,0.383838,-2.32975,0.0037163,-2.23153,0,All
1.08498,0.263351,-2.15486,0.0037163,-2.07432,0,All
1.46259,0.223762,-1.97996,0.0037163,-1.91711,0,All
1.84021,0.177288,-1.80506,0.0148652,-1.7599,0.00413445,All
2.21782,0.0860624,-1.63017,0.0037163,-1.6027,0.00413445,All
2.59544,0.0654074,-1.45527,0.0222978,-1.44549,0.00413445,All
2.97305,0.0258187,-1.28037,0.0111489,-1.28828,0.00826889,All
3.35067,0.0240975,-1.10548,0.0222978,-1.13107,0.0206722,All
3.72828,0.0189337,-0.93058,0.0520281,-0.973864,0.0124033,All
4.1059,0.00860624,-0.755683,0.107773,-0.816656,0.0578823,All
4.48351,0.01377,-0.580786,0.107773,-0.659448,0.103361,All
4.86112,0.00344249,-0.405889,0.282438,-0.50224,0.173647,All
5.23874,0.00344249,-0.230992,0.542579,-0.345032,0.243932,All
5.61635,0.00172125,-0.0560954,1.03685,-0.187824,0.367966,All
5.99397,0,0.118801,1.1409,-0.0306162,0.44652,All
6.37158,0,0.293698,0.865897,0.126592,0.554016,All
6.7492,0,0.468595,0.642919,0.2838,0.500268,All
7.12681,0,0.643492,0.319601,0.441008,0.529209,All
7.50443,0,0.818389,0.222978,0.598216,0.496134,All
7.88204,0,0.993286,0.167233,0.755424,0.467193,All
8.25966,0,1.16818,0.063177,0.912632,0.376235,All
8.63727,0.00172125,1.34308,0.0520281,1.06984,0.376235,All
9.01489,0,1.51798,0.0408792,1.22705,0.305949,All
9.3925,0,1.69287,0.0408792,1.38426,0.281142,All
9.77012,0,1.86777,0.0185815,1.54146,0.301815,All
10.1477,0.00172125,2.04267,0.0222978,1.69867,0.227395,All
10.5253,0,2.21756,0.0111489,1.85588,0.144706,All
10.903,0,2.39246,0,2.01309,0.11163,All
11.2806,0.00344249,2.56736,0.0037163,2.1703,0.0992267,All
11.6582,0,2.74225,0.00743259,2.3275,0.0826889,All
12.0358,0,2.91715,0,2.48471,0.0289411,All
12.4134,0,3.09205,0.0037163,2.64192,0.0413445,All
12.791,0.00172125,3.26694,0.0037163,2.79913,0.136437,All
