standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-5.22701,0.000999001,-4.49376,0.000999001,All
-2.63804,0.001998,-3.23813,0.001998,All
-2.3491,0.002997,-3.19226,0.002997,All
-2.29975,0.003996,-3.07718,0.003996,All
-2.23046,0.004995,-2.83439,0.004995,All
-2.16301,0.00599401,-2.74625,0.00599401,All
-2.11729,0.00699301,-2.65268,0.00699301,All
-1.80936,0.00799201,-2.52081,0.00799201,All
-1.78606,0.00899101,-2.52022,0.00899101,All
-1.77853,0.00999001,-2.43792,0.00999001,All
-1.67014,0.010989,-2.37072,0.010989,All
-1.65263,0.011988,-2.36715,0.011988,All
-1.61553,0.012987,-2.33805,0.012987,All
-1.6125,0.013986,-2.32812,0.013986,All
-1.55953,0.014985,-2.32127,0.014985,All
-1.53909,0.015984,-2.30348,0.015984,All
-1.51497,0.016983,-2.27246,0.016983,All
-1.47325,0.017982,-2.16995,0.017982,All
-1.42928,0.018981,-2.15202,0.018981,All
-1.37678,0.01998,-2.0916,0.01998,All
-1.3567,0.020979,-2.08789,0.020979,All
-1.3399,0.021978,-2.07964,0.021978,All
-1.32596,0.022977,-2.03609,0.022977,All
-1.30522,0.023976,-2.01706,0.023976,All
-1.2838,0.024975,-1.99724,0.024975,All
-1.27704,0.025974,-1.99428,0.025974,All
-1.27281,0.026973,-1.97919,0.026973,All
-1.23413,0.027972,-1.95085,0.027972,All
-1.21069,0.028971,-1.90607,0.028971,All
-1.20895,0.02997,-1.892,0.02997,All
-1.20107,0.030969,-1.87153,0.030969,All
-1.16888,0.031968,-1.86815,0.031968,All
-1.16449,0.032967,-1.85989,0.032967,All
-1.0925,0.033966,-1.82843,0.033966,All
-1.09179,0.034965,-1.82094,0.034965,All
-1.06325,0.035964,-1.81768,0.035964,All
-1.05312,0.036963,-1.80236,0.036963,All
-1.05184,0.037962,-1.79342,0.037962,All
-1.03415,0.038961,-1.79039,0.038961,All
-1.01619,0.03996,-1.78901,0.03996,All
-1.01168,0.040959,-1.77345,0.040959,All
-0.997492,0.041958,-1.77316,0.041958,All
-0.993908,0.042957,-1.76955,0.042957,All
-0.99301,0.043956,-1.75705,0.043956,All
-0.963305,0.044955,-1.73863,0.044955,All
-0.940421,0.045954,-1.73219,0.045954,All
-0.929043,0.046953,-1.71509,0.046953,All
-0.906021,0.047952,-1.71425,0.047952,All
-0.903804,0.048951,-1.70605,0.048951,All
-0.902366,0.04995,-1.7056,0.04995,All
-0.899707,0.0509491,-1.70416,0.0509491,All
-0.883142,0.0519481,-1.70215,0.0519481,All
-0.877201,0.0529471,-1.69607,0.0529471,All
-0.874884,0.0539461,-1.68235,0.0539461,All
-0.871143,0.0549451,-1.67991,0.0549451,All
-0.870534,0.0559441,-1.67791,0.0559441,All
-0.862375,0.0569431,-1.67635,0.0569431,All
-0.847274,0.0579421,-1.65068,0.0579421,All
-0.835495,0.0589411,-1.64185,0.0589411,All
-0.818831,0.0599401,-1.6342,0.0599401,All
-0.812272,0.0609391,-1.62474,0.0609391,All
-0.809044,0.0619381,-1.61701,0.0619381,All
-0.79285,0.0629371,-1.60842,0.0629371,All
-0.770996,0.0639361,-1.60789,0.0639361,All
-0.758126,0.0649351,-1.60032,0.0649351,All
-0.75326,0.0659341,-1.59984,0.0659341,All
-0.746552,0.0669331,-1.59704,0.0669331,All
-0.745161,0.0679321,-1.58894,0.0679321,All
-0.725903,0.0689311,-1.58587,0.0689311,All
-0.724389,0.0699301,-1.5681,0.0699301,All
-0.68675,0.0709291,-1.5678,0.0709291,All
-0.686591,0.0719281,-1.56237,0.0719281,All
-0.684355,0.0729271,-1.54806,0.0729271,All
-0.660612,0.0739261,-1.54578,0.0739261,All
-0.653455,0.0749251,-1.54514,0.0749251,All
-0.650763,0.0759241,-1.54059,0.0759241,All
