standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-5.06887,0.00325719,-4.38345,0.0046693,All
-4.75258,0,-4.16281,0,All
-4.43629,0,-3.94217,0,All
-4.11999,0,-3.72154,0,All
-3.8037,0,-3.5009,0,All
-3.48741,0,-3.28026,0.00933861,All
-3.17112,0,-3.05963,0.0046693,All
-2.85483,0,-2.83899,0.00933861,All
-2.53854,0.00325719,-2.61835,0.0140079,All
-2.22225,0.0162859,-2.39772,0.0326851,All
-1.90595,0.00977156,-2.17708,0.0280158,All
-1.58966,0.0260575,-1.95644,0.0513623,All
-1.27337,0.0488578,-1.73581,0.126071,All
-0.95708,0.0944584,-1.51517,0.20078,All
-0.640788,0.234517,-1.29453,0.280158,All
-0.324497,0.381091,-1.0739,0.312843,All
-0.0082054,2.12043,-0.853258,0.46693,All
0.308086,0.195431,-0.632622,0.499616,All
0.624377,0.0684009,-0.411985,0.66771,All
0.940669,0.035829,-0.191348,0.691057,All
1.25696,0.00977156,0.0292883,0.564986,All
1.57325,0.00651437,0.249925,0.392222,All
1.88954,0.00325719,0.470562,0.205449,All
2.20583,0,0.691198,0.060701,All
2.52213,0,0.911835,0.0186772,All
2.83842,0,1.13247,0.00933861,All
3.15471,0,1.35311,0.0046693,All
3.471,0,1.57375,0.0046693,All
3.78729,0,1.79438,0,All
4.10358,0,2.01502,0.0046693,All
4.41987,0,2.23566,0.0046693,All
4.73617,0.00325719,2.45629,0.0046693,All
