trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,split
25.1,0.806752,-0.232982,25.1,0.0110326,0.114455,All
26.998,0.443468,-0.239784,26.998,0.054309,0.111278,All
28.896,0.080184,-0.246587,28.896,0.0975854,0.108101,All
30.7939,-0.149661,-0.253389,30.7939,0.116521,0.104924,All
32.6919,-0.298724,-0.260192,32.6919,0.121451,0.101747,All
34.5899,-0.3756,-0.266994,34.5899,0.114913,0.0985704,All
36.4879,-0.411556,-0.273797,36.4879,0.102887,0.0953935,All
38.3859,-0.416014,-0.280599,38.3859,0.0875309,0.0922165,All
40.2838,-0.398055,-0.287402,40.2838,0.0717568,0.0890396,All
42.1818,-0.376761,-0.294204,42.1818,0.0597231,0.0858627,All
44.0798,-0.365364,-0.301007,44.0798,0.0537516,0.0826858,All
45.9778,-0.372668,-0.307809,45.9778,0.0576376,0.0795089,All
47.8758,-0.366999,-0.314612,47.8758,0.074648,0.0763319,All
49.7737,-0.318748,-0.321414,49.7737,0.103147,0.073155,All
51.6717,-0.488845,-0.328217,51.6717,0.0795978,0.0699781,All
53.5697,-0.542603,-0.335019,53.5697,0.0336469,0.0668012,All
55.4677,-0.303529,-0.341822,55.4677,0.0456205,0.0636242,All
57.3657,-0.467906,-0.348624,57.3657,0.0536936,0.0604473,All
59.2636,-0.372722,-0.355427,59.2636,0.0265182,0.0572704,All
61.1616,-0.439604,-0.362229,61.1616,0.0773019,0.0540935,All
63.0596,-0.411793,-0.369032,63.0596,0.0458347,0.0509166,All
64.9576,-0.209445,-0.375834,64.9576,0.101856,0.0477396,All
66.8556,-0.487585,-0.382637,66.8556,0.0112086,0.0445627,All
68.7535,-0.322426,-0.389439,68.7535,0.0717056,0.0413858,All
70.6515,-0.51537,-0.396242,70.6515,-0.0647202,0.0382089,All
72.5495,-0.199878,-0.403044,72.5495,0.0759091,0.035032,All
74.4475,-0.425636,-0.409847,74.4475,0.0119487,0.031855,All
76.3455,-0.445882,-0.416649,76.3455,0.0278045,0.0286781,All
78.2434,-0.563501,-0.423452,78.2434,-0.0339911,0.0255012,All
80.1414,-0.425103,-0.430254,80.1414,0.0493525,0.0223243,All
82.0394,-0.467072,-0.437057,82.0394,0.00911843,0.0191474,All
83.9374,-0.52357,-0.443859,83.9374,-0.00432253,0.0159704,All
85.8354,-0.284925,-0.450662,85.8354,0.00669996,0.0127935,All
87.7333,-0.540377,-0.457464,87.7333,-0.0224389,0.00961659,All
89.6313,-0.332793,-0.464267,89.6313,0.0294473,0.00643967,All
91.5293,-0.432283,-0.471069,91.5293,0.0816281,0.00326275,All
93.4273,-0.540865,-0.477872,93.4273,-0.0778267,8.58305e-05,All
95.3253,-0.378309,-0.484674,95.3253,-0.018611,-0.00309109,All
97.2232,-0.534668,-0.491477,97.2232,0.0242447,-0.00626801,All
99.1212,-0.558974,-0.498279,99.1212,0.0386593,-0.00944493,All
101.019,-0.412552,-0.505082,101.019,-0.0244512,-0.0126219,All
102.917,-0.515298,-0.511884,102.917,-0.0376114,-0.0157988,All
104.815,-0.461023,-0.518687,104.815,0.00471256,-0.0189757,All
106.713,-0.446582,-0.52549,106.713,0.00199707,-0.0221526,All
108.611,-0.540941,-0.532292,108.611,-0.0229426,-0.0253295,All
110.509,-0.594715,-0.539095,110.509,-0.0150705,-0.0285065,All
112.407,-0.558814,-0.545897,112.407,-0.0105426,-0.0316834,All
114.305,-0.499663,-0.5527,114.305,-0.0206242,-0.0348603,All
