popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.0240628,16.991,0.0240628,-6.74682,6.79495,0.0166074,2.6145,0.0166074,-6.75428,6.78749,All
0.0286498,16.9479,0.0286498,-6.74223,6.79953,0.0195858,2.61377,0.0195858,-6.7513,6.79047,All
0.0341112,16.9039,0.0341112,-6.73677,6.805,0.0230982,2.6129,0.0230982,-6.74779,6.79398,All
0.0406137,16.8518,0.0406137,-6.73027,6.8115,0.0272406,2.61188,0.0272406,-6.74364,6.79812,All
0.0483558,16.7897,0.0483558,-6.72253,6.81924,0.0321258,2.61068,0.0321258,-6.73876,6.80301,All
0.0575737,16.7157,0.0575737,-6.71331,6.82846,0.0378872,2.60926,0.0378872,-6.733,6.80877,All
0.0685487,16.6277,0.0685487,-6.70234,6.83943,0.0446817,2.60759,0.0446817,-6.7262,6.81557,All
0.0816159,16.5229,0.0816159,-6.68927,6.8525,0.0526948,2.60562,0.0526948,-6.71819,6.82358,All
0.097174,16.3981,0.097174,-6.67371,6.86806,0.062145,2.60329,0.062145,-6.70874,6.83303,All
0.115698,16.2605,0.115698,-6.65519,6.88658,0.0732898,2.60054,0.0732898,-6.69759,6.84417,All
0.137753,16.1243,0.137753,-6.63313,6.90864,0.0864334,2.59731,0.0864334,-6.68445,6.85732,All
0.164012,15.9719,0.164012,-6.60687,6.9349,0.101934,2.59404,0.101934,-6.66895,6.87282,All
0.195277,15.8456,0.195277,-6.57561,6.96616,0.120215,2.59043,0.120215,-6.65067,6.8911,All
0.232502,15.7336,0.232502,-6.53838,7.00339,0.141774,2.58744,0.141774,-6.62911,6.91266,All
0.276823,15.6004,0.276823,-6.49406,7.04771,0.167199,2.58598,0.167199,-6.60368,6.93808,All
0.329593,15.4417,0.329593,-6.44129,7.10048,0.197184,2.58427,0.197184,-6.5737,6.96807,All
0.392422,15.3921,0.392422,-6.37846,7.16331,0.232546,2.58224,0.232546,-6.53834,7.00343,All
0.467228,15.4167,0.467228,-6.30366,7.23811,0.27425,2.57985,0.27425,-6.49663,7.04513,All
0.556294,15.5293,0.556294,-6.21459,7.32718,0.323433,2.57703,0.323433,-6.44745,7.09432,All
0.662339,15.7612,0.662339,-6.10855,7.43322,0.381437,2.57371,0.381437,-6.38945,7.15232,All
0.788598,16.0874,0.788598,-5.98229,7.55948,0.449843,2.57206,0.449843,-6.32104,7.22073,All
0.938925,16.4277,0.938925,-5.83196,7.70981,0.530516,2.58899,0.530516,-6.24037,7.3014,All
1.11791,16.5887,1.11791,-5.65297,7.88879,0.625657,2.60895,0.625657,-6.14523,7.39654,All
1.33101,16.4469,1.33101,-5.43987,8.1019,0.737861,2.63248,0.737861,-6.03302,7.50874,All
