iteration,convergenceIndicator,phase,Vpop_pop,Clpop_pop,thetaAge_pop,thetaCr_pop,omega_V,omega_Cl,a
1,65126.6,1,0.82,0.67,-0.24,2.49,0.2283,0.3013,1
2,13713.5,1,0.826399,0.651055,-0.24525,2.10333,0.592523,0.85568,4.6228
3,14336.4,1,0.848185,0.625879,-0.243019,1.84185,0.630823,0.903754,5.22326
4,14409.1,1,0.864245,0.581843,-0.243915,1.66089,0.625148,0.914239,5.33399
5,14447.8,1,0.854761,0.567626,-0.244789,1.53721,0.624414,0.929008,5.34726
6,14348.9,1,0.861047,0.55629,-0.244871,1.45108,0.614156,0.92966,5.2335
7,14210.8,1,0.851014,0.539265,-0.244687,1.41631,0.598605,0.913139,5.20634
8,14197.5,1,0.852327,0.535456,-0.24498,1.3308,0.583448,0.952859,5.07584
9,13903.7,1,0.895756,0.535339,-0.244622,1.20385,0.568675,0.934684,4.94732
10,13835.3,1,0.874818,0.540496,-0.244911,1.19089,0.554276,0.927885,4.82205
11,13557.5,1,0.871689,0.529268,-0.245501,1.15241,0.540241,0.90439,4.69995
12,13479.4,1,0.855881,0.530046,-0.245915,1.12306,0.526562,0.90213,4.58095
13,13412.7,1,0.84005,0.524968,-0.245375,1.10687,0.514385,0.902106,4.46495
14,13254.5,1,0.831165,0.526373,-0.245715,1.09676,0.50136,0.906357,4.3519
15,13184.5,1,0.828587,0.522795,-0.246161,1.0596,0.490869,0.92119,4.24171
16,13077.4,1,0.837144,0.516556,-0.245843,1.0527,0.47994,0.897865,4.19353
17,13015.3,1,0.861216,0.511844,-0.246438,1.02298,0.476624,0.908213,4.0881
18,13025.4,1,0.865542,0.519766,-0.245459,0.994997,0.476876,0.923524,4.05602
19,13009.7,1,0.864808,0.523523,-0.246818,0.98479,0.472384,0.911139,4.09552
20,12897.9,1,0.846182,0.525651,-0.246385,0.985274,0.460423,0.912742,4.05726
21,12929.1,1,0.850754,0.522412,-0.246017,0.99849,0.450556,0.920961,4.08774
22,12863.4,1,0.865718,0.523236,-0.246885,0.973886,0.439148,0.93954,4.05634
23,12856.2,1,0.876149,0.517985,-0.245943,0.955485,0.434043,0.930245,4.06453
24,12734.3,1,0.872593,0.524146,-0.246334,0.943591,0.424621,0.924993,3.98057
25,12839.9,1,0.85017,0.519759,-0.246197,0.960108,0.437239,0.913312,4.07224
26,12833.3,1,0.840202,0.520012,-0.246215,0.978663,0.428274,0.919926,4.0997
27,12850.2,1,0.854026,0.524886,-0.246338,0.939874,0.425909,0.904032,4.18222
28,12783,1,0.868976,0.520892,-0.246708,0.925448,0.426742,0.895957,4.112
29,12761.4,1,0.886215,0.524194,-0.246713,0.89104,0.428806,0.896309,4.06968
30,12650.2,1,0.888168,0.519915,-0.246162,0.870515,0.417948,0.883797,4.04376
31,12614.8,1,0.890853,0.52072,-0.246378,0.847725,0.407366,0.88312,4.06741
32,12639.7,1,0.884828,0.526516,-0.246635,0.845854,0.406048,0.883794,4.09176
33,12600.2,1,0.903778,0.515115,-0.246701,0.840277,0.395767,0.880812,4.1445
34,12463.7,1,0.906962,0.506441,-0.24615,0.830433,0.385822,0.872025,4.03956
35,12465.9,1,0.89691,0.498414,-0.247603,0.832707,0.400393,0.859808,3.97589
36,12411.1,1,0.891524,0.505257,-0.246257,0.826852,0.40037,0.853363,3.92658
37,12401.6,1,0.888983,0.50654,-0.245807,0.828181,0.393466,0.85322,3.95952
38,12452.2,1,0.890188,0.50802,-0.246332,0.839,0.389903,0.884926,3.95427
39,12432,1,0.904596,0.503949,-0.247265,0.829878,0.380031,0.882724,4.01866
40,12464.2,1,0.913277,0.501578,-0.247138,0.835618,0.38037,0.873531,4.06653
41,12300.5,1,0.890153,0.499272,-0.247276,0.857065,0.370739,0.851689,3.99705
42,12357.9,1,0.895207,0.492544,-0.246981,0.836118,0.368759,0.859915,4.05182
43,12548.5,1,0.883839,0.499503,-0.246486,0.861442,0.376209,0.861855,4.24351
44,12485.6,1,0.893672,0.49592,-0.246217,0.848913,0.366683,0.874645,4.19082
45,12545.6,1,0.883348,0.504491,-0.247089,0.868238,0.373071,0.87418,4.22433
46,12537.5,1,0.881618,0.50982,-0.246705,0.872459,0.372203,0.880585,4.20049
47,12500.9,1,0.877539,0.50737,-0.246027,0.867529,0.372192,0.868298,4.18948
48,12448.1,1,0.890129,0.509462,-0.246798,0.854518,0.370787,0.868185,4.13009
49,12484,1,0.901282,0.50362,-0.24714,0.838868,0.378222,0.86752,4.12545
50,12518,1,0.908658,0.502588,-0.246854,0.823635,0.374363,0.892292,4.12284
51,12468.9,1,0.895807,0.509996,-0.245506,0.83902,0.371421,0.893719,4.07633
52,12512.5,1,0.902124,0.511627,-0.246842,0.831913,0.371561,0.908701,4.08826
53,12474.7,1,0.890212,0.511243,-0.24692,0.835236,0.373331,0.885693,4.10927
54,12461.8,1,0.878494,0.517308,-0.246766,0.858587,0.377531,0.865331,4.1089
55,12443.5,1,0.886477,0.51454,-0.246056,0.832716,0.367972,0.8942,4.08776
56,12472.6,1,0.880893,0.519431,-0.246321,0.831435,0.371559,0.883654,4.11002
57,12479.3,1,0.87824,0.514423,-0.246234,0.840838,0.373362,0.874651,4.13282
58,12484.3,1,0.890163,0.512599,-0.246347,0.823765,0.380802,0.867127,4.10903
59,12491.7,1,0.874097,0.506305,-0.246276,0.84252,0.382059,0.886314,4.05307
60,12502.8,1,0.895049,0.504571,-0.246956,0.837594,0.386309,0.867494,4.09391
61,12459.6,1,0.879408,0.495038,-0.246792,0.831392,0.387175,0.862032,4.04841
62,12381.9,1,0.85026,0.497224,-0.247094,0.862045,0.38702,0.852005,3.98124
