time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1.86667,0.869604,1.86667,0.189787,1.86667,0.752349,0.0240628,2.0963,0.0166074,0.631107,0.0240628,1.54312,All
2.0731,0.831638,2.0731,0.209287,2.0731,0.744733,0.0286498,2.08255,0.0195858,0.630206,0.0286498,1.53855,All
2.30237,0.789473,2.30237,0.230943,2.30237,0.736276,0.0341112,2.06835,0.0230982,0.629142,0.0341112,1.53379,All
2.55699,0.760628,2.55699,0.249883,2.55699,0.730794,0.0406137,2.0515,0.0272406,0.627888,0.0406137,1.52814,All
2.83976,0.742659,2.83976,0.266832,2.83976,0.727776,0.0483558,2.03144,0.0321258,0.626409,0.0483558,1.52141,All
3.15381,0.722703,3.15381,0.285655,3.15381,0.724423,0.0575737,2.00756,0.0378872,0.624665,0.0575737,1.5134,All
3.50259,0.734499,3.50259,0.296049,3.50259,0.728183,0.0685487,1.97913,0.0446817,0.622608,0.0685487,1.50386,All
3.88995,0.749042,3.88995,0.307147,3.88995,0.732677,0.0816159,1.94527,0.0526948,0.620182,0.0816159,1.49251,All
4.32014,0.776896,4.32014,0.315329,4.32014,0.740306,0.097174,1.90496,0.062145,0.617321,0.097174,1.47899,All
4.7979,0.830282,4.7979,0.316196,4.7979,0.75387,0.115698,1.86019,0.0732898,0.613947,0.115698,1.46389,All
5.3285,0.896685,5.3285,0.313554,5.3285,0.77066,0.137753,1.81507,0.0864334,0.609968,0.137753,1.44848,All
5.91778,0.977321,5.91778,0.304749,5.91778,0.79125,0.164012,1.76423,0.101934,0.605407,0.164012,1.43103,All
6.57223,1.05957,6.57223,0.292259,6.57223,0.81307,0.195277,1.71993,0.120215,0.60009,0.195277,1.41535,All
7.29905,1.12357,7.29905,0.278782,7.29905,0.832191,0.232502,1.67854,0.141774,0.594127,0.232502,1.40025,All
8.10626,1.13788,8.10626,0.269551,8.10626,0.842258,0.276823,1.62925,0.167199,0.587597,0.276823,1.38227,All
8.90533,1.06881,8.90533,0.271639,8.90533,0.835299,0.329593,1.57057,0.197184,0.579895,0.329593,1.36086,All
