Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-2.28336,-2.17264,-0.225214,-3.05542,-1.66941,-0.207274
-2.24197,-1.85797,-0.221197,-3.00209,-1.52849,-0.203843
-2.20059,-1.55421,-0.21718,-2.94876,-1.38758,-0.200413
-2.1592,-1.3025,-0.213163,-2.89543,-1.25748,-0.196983
-2.11782,-1.08649,-0.209147,-2.84209,-1.15195,-0.193553
-2.07643,-0.87047,-0.20513,-2.78876,-1.06081,-0.190123
-2.03504,-0.686502,-0.201113,-2.73543,-0.969665,-0.186692
-1.99366,-0.539884,-0.197097,-2.6821,-0.878521,-0.183262
-1.95227,-0.434898,-0.19308,-2.62877,-0.787376,-0.179832
-1.91089,-0.329911,-0.189063,-2.57543,-0.696232,-0.176402
-1.8695,-0.224924,-0.185046,-2.5221,-0.611279,-0.172972
-1.82811,-0.150915,-0.18103,-2.46877,-0.550323,-0.169542
-1.78673,-0.0977143,-0.177013,-2.41544,-0.492524,-0.166111
-1.74534,-0.0605889,-0.172996,-2.36211,-0.445037,-0.162681
-1.70396,-0.0393309,-0.16898,-2.30877,-0.403861,-0.159251
-1.66257,-0.0292374,-0.164963,-2.25544,-0.362684,-0.155821
-1.62118,-0.0305598,-0.160946,-2.20211,-0.324501,-0.152391
-1.5798,-0.0388168,-0.156929,-2.14878,-0.293788,-0.148961
-1.53841,-0.0544392,-0.152913,-2.09545,-0.267932,-0.14553
-1.49703,-0.0756721,-0.148896,-2.04211,-0.244045,-0.1421
-1.45564,-0.100409,-0.144879,-1.98878,-0.224033,-0.13867
-1.41425,-0.126842,-0.140863,-1.93545,-0.206745,-0.13524
-1.37287,-0.153356,-0.136846,-1.88212,-0.191768,-0.13181
-1.33148,-0.178899,-0.132829,-1.82879,-0.178846,-0.128379
-1.2901,-0.200876,-0.128812,-1.77545,-0.16664,-0.124949
-1.24871,-0.218474,-0.124796,-1.72212,-0.155876,-0.121519
-1.20733,-0.22943,-0.120779,-1.66879,-0.145708,-0.118089
-1.16594,-0.232228,-0.116762,-1.61546,-0.135754,-0.114659
-1.12455,-0.225329,-0.112746,-1.56213,-0.125597,-0.111229
-1.08317,-0.207367,-0.108729,-1.50879,-0.114833,-0.107798
-1.04178,-0.181116,-0.104712,-1.45546,-0.103005,-0.104368
-1.0004,-0.151527,-0.100696,-1.40213,-0.089916,-0.100938
-0.95901,-0.123591,-0.0966788,-1.3488,-0.0753413,-0.0975079
-0.917624,-0.101044,-0.0926621,-1.29547,-0.0592087,-0.0940777
-0.876238,-0.0825442,-0.0886454,-1.24213,-0.0414286,-0.0906476
-0.834852,-0.0656029,-0.0846287,-1.1888,-0.0219165,-0.0872174
-0.793466,-0.0538397,-0.080612,-1.13547,-0.00110952,-0.0837872
-0.75208,-0.0778394,-0.0765952,-1.08214,0.0120854,-0.080357
-0.710694,-0.158809,-0.0725785,-1.02881,0.00206263,-0.0769269
-0.669308,-0.162818,-0.0685618,-0.975474,-0.0401736,-0.0734967
-0.627922,-0.0019451,-0.0645451,-0.922142,-0.0843914,-0.0700665
-0.586536,-0.0520684,-0.0605284,-0.86881,-0.101034,-0.0666363
-0.54515,-0.12019,-0.0565117,-0.815477,-0.0937727,-0.0632062
-0.503764,-0.0271751,-0.052495,-0.762145,-0.082189,-0.059776
-0.462378,-0.0342977,-0.0484783,-0.708813,-0.0435486,-0.0563458
-0.420992,-0.0914929,-0.0444615,-0.655481,0.00457135,-0.0529156
-0.379606,0.0393839,-0.0404448,-0.602149,-0.0606134,-0.0494855
-0.33822,-0.0234321,-0.0364281,-0.548817,-0.0847139,-0.0460553
-0.296834,-0.0185605,-0.0324114,-0.495485,0.0408481,-0.0426251
-0.255449,-0.00141074,-0.0283947,-0.442153,-0.0471907,-0.0391949
-0.214063,0.002069,-0.024378,-0.388821,-0.0464119,-0.0357648
-0.172677,-0.00354917,-0.0203613,-0.335489,-0.00391929,-0.0323346
-0.131291,-0.0330761,-0.0163446,-0.282157,-0.0336872,-0.0289044
-0.0899048,-0.0613167,-0.0123279,-0.228825,0.0199957,-0.0254742
-0.0485188,0.165847,-0.00831115,-0.175493,-0.064669,-0.0220441
-0.00713286,-0.0153199,-0.00429444,-0.122161,-0.0300714,-0.0186139
0.0342531,0.0780717,-0.000277724,-0.0688292,0.0222113,-0.0151837
0.075639,0.0178687,0.00373899,-0.0154972,-0.00340221,-0.0117535
0.117025,0.0830495,0.0077557,0.0378348,-0.0098441,-0.00832335
0.158411,0.00316309,0.0117724,0.0911669,0.0354328,-0.00489318
0.199797,0.0767499,0.0157891,0.144499,-0.0495519,-0.001463
0.241183,-0.00693665,0.0198058,0.197831,-0.00995533,0.00196717
0.282569,0.0544067,0.0238225,0.251163,-0.027834,0.00539735
0.323955,0.0169656,0.0278393,0.304495,-0.0101815,0.00882752
0.365341,0.0577555,0.031856,0.357827,0.011639,0.0122577
0.406727,0.00954314,0.0358727,0.411159,0.0117754,0.0156879
0.448113,0.0273918,0.0398894,0.464491,0.00847025,0.019118
0.489498,0.00317703,0.0439061,0.517823,0.0283798,0.0225482
0.530884,0.0729109,0.0479228,0.571155,0.0260606,0.0259784
0.57227,0.0530033,0.0519395,0.624487,-0.0156198,0.0294086
0.613656,-0.0337254,0.0559562,0.677819,0.00785173,0.0328387
0.655042,0.0288756,0.0599729,0.731151,0.100155,0.0362689
0.696428,0.0612161,0.0639897,0.784483,0.0522995,0.0396991
0.737814,0.0495819,0.0680064,0.837815,0.0279477,0.0431293
0.7792,0.0281712,0.0720231,0.891147,0.0299936,0.0465594
0.820586,0.0309774,0.0760398,0.944479,0.0151084,0.0499896
0.861972,0.0644794,0.0800565,0.997811,0.0227015,0.0534198
0.903358,0.0928571,0.0840732,1.05114,0.0438911,0.05685
0.944744,0.0908426,0.0880899,1.10448,0.0613515,0.0602801
0.98613,0.0651828,0.0921066,1.15781,0.0720451,0.0637103
1.02752,0.0271485,0.0961234,1.21114,0.0791924,0.0671405
1.0689,-0.0120498,0.10014,1.26447,0.085491,0.0705707
1.11029,-0.044555,0.104157,1.3178,0.0913023,0.0740009
