V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
5.78869,0,0.0410702,0,All
14.2867,0.000999001,0.130606,0.000999001,All
14.5867,0.001998,0.180899,0.001998,All
17.9825,0.002997,0.18468,0.002997,All
22.3685,0.003996,0.195429,0.003996,All
23.013,0.004995,0.196942,0.004995,All
23.0281,0.00599401,0.210902,0.00599401,All
24.8933,0.00699301,0.237342,0.00699301,All
25.0633,0.00799201,0.237395,0.00799201,All
25.9553,0.00899101,0.289738,0.00899101,All
26.4772,0.00999001,0.309101,0.00999001,All
26.7706,0.010989,0.310124,0.010989,All
26.9641,0.011988,0.320842,0.011988,All
27.5954,0.012987,0.33369,0.012987,All
27.8654,0.013986,0.349084,0.013986,All
28.1798,0.014985,0.359796,0.014985,All
28.2722,0.015984,0.364619,0.015984,All
28.318,0.016983,0.367024,0.016983,All
28.408,0.017982,0.382643,0.017982,All
28.9959,0.018981,0.390555,0.018981,All
29.3353,0.01998,0.393876,0.01998,All
29.3707,0.020979,0.394784,0.020979,All
30.1881,0.021978,0.40001,0.021978,All
30.2248,0.022977,0.404996,0.022977,All
30.2509,0.023976,0.412427,0.023976,All
30.2924,0.024975,0.415136,0.024975,All
30.4805,0.025974,0.417155,0.025974,All
30.6517,0.026973,0.418881,0.026973,All
30.902,0.027972,0.421316,0.027972,All
31.0994,0.028971,0.429791,0.028971,All
31.8598,0.02997,0.434334,0.02997,All
31.9301,0.030969,0.440147,0.030969,All
32.0318,0.031968,0.448334,0.031968,All
32.336,0.032967,0.455576,0.032967,All
32.4612,0.033966,0.459524,0.033966,All
32.8146,0.034965,0.460706,0.034965,All
33.0096,0.035964,0.46165,0.035964,All
33.4297,0.036963,0.463035,0.036963,All
33.6744,0.037962,0.466015,0.037962,All
33.8134,0.038961,0.466825,0.038961,All
34.1216,0.03996,0.4671,0.03996,All
34.5524,0.040959,0.474377,0.040959,All
34.774,0.041958,0.475944,0.041958,All
34.8641,0.042957,0.479432,0.042957,All
34.9683,0.043956,0.480519,0.043956,All
35.1047,0.044955,0.480933,0.044955,All
35.4977,0.045954,0.485357,0.045954,All
35.6099,0.046953,0.488488,0.046953,All
35.9551,0.047952,0.492708,0.047952,All
36.1805,0.048951,0.496754,0.048951,All
36.2907,0.04995,0.496973,0.04995,All
36.3688,0.0509491,0.499202,0.0509491,All
36.4281,0.0519481,0.507727,0.0519481,All
36.5564,0.0529471,0.510433,0.0529471,All
36.9237,0.0539461,0.516557,0.0539461,All
37.2471,0.0549451,0.530165,0.0549451,All
37.4444,0.0559441,0.535442,0.0559441,All
37.6716,0.0569431,0.535579,0.0569431,All
37.8962,0.0579421,0.535743,0.0579421,All
37.9506,0.0589411,0.539216,0.0589411,All
38.065,0.0599401,0.541761,0.0599401,All
38.0725,0.0609391,0.54436,0.0609391,All
38.6264,0.0619381,0.557654,0.0619381,All
38.6748,0.0629371,0.568735,0.0629371,All
38.6954,0.0639361,0.572185,0.0639361,All
38.6981,0.0649351,0.578036,0.0649351,All
38.934,0.0659341,0.578069,0.0659341,All
39.0402,0.0669331,0.594982,0.0669331,All
39.0624,0.0679321,0.600024,0.0679321,All
39.0815,0.0689311,0.603975,0.0689311,All
39.2547,0.0699301,0.614896,0.0699301,All
