V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
18.0321,0.000412598,0.300932,0.12097,All
25.5228,0.00220052,0.641585,0.260085,All
33.0135,0.00467611,0.982239,0.420371,All
40.5043,0.00825196,1.32289,0.338716,All
47.995,0.0111401,1.66354,0.22077,All
55.4857,0.0156787,2.0042,0.257061,All
62.9765,0.0163664,2.34485,0.178431,All
70.4672,0.0159538,2.6855,0.196576,All
77.9579,0.014716,3.02616,0.148188,All
85.4487,0.0118278,3.36681,0.108873,All
92.9394,0.00893962,3.70746,0.148188,All
100.43,0.00618897,4.04812,0.072582,All
107.921,0.00522624,4.38877,0.0786305,All
115.412,0.00412598,4.72942,0.060485,All
122.902,0.00288819,5.07008,0.0544365,All
130.393,0.00220052,5.41073,0.060485,All
137.884,0.000825196,5.75138,0.0514122,All
145.375,0.00137533,6.09203,0.0423395,All
152.865,0.000962728,6.43269,0.036291,All
160.356,0.00123779,6.77334,0.0181455,All
167.847,0.000275065,7.11399,0.0332667,All
175.337,0.000412598,7.45465,0.0211697,All
182.828,0.000137533,7.7953,0.0272182,All
190.319,0,8.13595,0.0151212,All
197.81,0.000412598,8.47661,0.0181455,All
205.3,0.000137533,8.81726,0.012097,All
212.791,0.000412598,9.15791,0.00907275,All
220.282,0.000137533,9.49856,0.00907275,All
227.773,0.000137533,9.83922,0,All
235.263,0,10.1799,0.00302425,All
242.754,0.000137533,10.5205,0,All
250.245,0.000275065,10.8612,0.0060485,All
