V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
5.78869,1.64867e-05,1.38267e-05,0.0410702,0.00227332,1.85327e-05,All
14.3096,0.00101554,0.00293816,0.723854,0.345372,0.1499,All
22.8306,0.00395331,0.0231923,1.40664,0.29646,0.376396,All
31.3515,0.00716545,0.0709957,2.08942,0.209758,0.548344,All
39.8725,0.00936437,0.142317,2.7722,0.145406,0.668212,All
48.3934,0.0103414,0.22707,3.45499,0.102087,0.751708,All
56.9144,0.0103715,0.31586,4.13777,0.0730855,0.810861,All
65.4353,0.00980669,0.402138,4.82055,0.05336,0.853609,All
73.9562,0.00893031,0.482109,5.50334,0.0396667,0.885092,All
82.4772,0.00793389,0.553994,6.18612,0.0299664,0.90868,All
90.9981,0.00693358,0.617311,6.86891,0.0229648,0.926624,All
99.5191,0.00599305,0.672328,7.55169,0.0178249,0.940461,All
108.04,0.00514243,0.719701,8.23447,0.0139942,0.951262,All
116.561,0.00439183,0.76025,8.91726,0.0111001,0.959784,All
125.082,0.00374004,0.794827,9.60004,0.00888672,0.966574,All
133.603,0.00318007,0.824248,10.2828,0.00717514,0.972033,All
142.124,0.00270239,0.849256,10.9656,0.00583823,0.976457,All
150.645,0.00229676,0.870507,11.6484,0.00478433,0.98007,All
159.166,0.00195329,0.888573,12.3312,0.00394652,0.98304,All
167.687,0.00166291,0.903945,13.014,0.0032753,0.985497,All
176.208,0.00141756,0.91704,13.6967,0.00273368,0.987542,All
184.729,0.00121027,0.928211,14.3795,0.0022937,0.989253,All
193.249,0.00103501,0.937756,15.0623,0.00193407,0.990692,All
201.77,0.000886715,0.945926,15.7451,0.00163841,0.991908,All
210.291,0.000761071,0.952932,16.4279,0.001394,0.992941,All
218.812,0.000654469,0.95895,17.1107,0.00119094,0.993821,All
227.333,0.000563878,0.964131,17.7934,0.00102141,0.994575,All
235.854,0.000486763,0.968598,18.4762,0.00087924,0.995222,All
244.375,0.000421003,0.972458,19.159,0.000759492,0.995781,All
252.896,0.000364824,0.9758,19.8418,0.000658223,0.996264,All
261.417,0.000316739,0.978698,20.5246,0.000572251,0.996683,All
269.938,0.000275506,0.981217,21.2074,0.000498997,0.997048,All
278.459,0.00024008,0.98341,21.8901,0.000436362,0.997367,All
286.98,0.000209588,0.985323,22.5729,0.000382628,0.997646,All
295.501,0.000183293,0.986994,23.2557,0.000336384,0.997891,All
304.022,0.000160575,0.988456,23.9385,0.000296465,0.998107,All
312.543,0.000140912,0.989739,24.6213,0.000261906,0.998297,All
321.064,0.000123863,0.990865,25.3041,0.000231904,0.998466,All
329.585,0.000109053,0.991856,25.9868,0.00020579,0.998615,All
338.106,9.61671e-05,0.992729,26.6696,0.000183,0.998747,All
346.626,8.49351e-05,0.9935,27.3524,0.000163064,0.998865,All
355.147,7.51286e-05,0.994181,28.0352,0.000145582,0.998971,All
363.668,6.65527e-05,0.994784,28.718,0.000130218,0.999065,All
372.189,5.90409e-05,0.995318,29.4008,0.000116686,0.999149,All
380.71,5.24509e-05,0.995792,30.0835,0.000104742,0.999224,All
389.231,4.66605e-05,0.996214,30.7663,9.41783e-05,0.999292,All
397.752,4.15651e-05,0.996589,31.4491,8.48174e-05,0.999353,All
406.273,3.70747e-05,0.996924,32.1319,7.65067e-05,0.999408,All
414.794,3.31118e-05,0.997223,32.8147,6.91147e-05,0.999458,All
423.315,2.96094e-05,0.99749,33.4975,6.25283e-05,0.999503,All
431.836,2.65098e-05,0.997729,34.1802,5.66498e-05,0.999543,All
440.357,2.3763e-05,0.997942,34.863,5.13944e-05,0.99958,All
448.878,2.13255e-05,0.998134,35.5458,4.66885e-05,0.999614,All
