pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.17397,0.000634115,-4,0,All
-1.84028,0.000634115,-3.44897,0.00126823,-2.77939,0.000634115,All
-1.78608,0.00126823,-2.98741,0.00190235,-2.3537,0.00126823,All
-1.7286,0.00190235,-2.91879,0.00253646,-2.2604,0.00190235,All
-1.60429,0.00253646,-2.8862,0.00317058,-2.25229,0.00253646,All
-1.53073,0.00317058,-2.37379,0.00380469,-2.11961,0.00317058,All
-1.49764,0.00380469,-2.22132,0.00443881,-2.09327,0.00380469,All
-1.48964,0.00443881,-2.07142,0.00507292,-2.06732,0.00443881,All
-1.47768,0.00507292,-2.02441,0.00570704,-2.05969,0.00507292,All
-1.47404,0.00570704,-1.82819,0.00634115,-1.95663,0.00570704,All
-1.46783,0.00634115,-1.82091,0.00697527,-1.94653,0.00634115,All
-1.46103,0.00697527,-1.59376,0.00760938,-1.92811,0.00697527,All
-1.45825,0.00760938,-1.54777,0.0082435,-1.92247,0.00760938,All
-1.45496,0.0082435,-1.53278,0.00887762,-1.92109,0.0082435,All
-1.45116,0.00887762,-1.53007,0.00951173,-1.92009,0.00887762,All
-1.44479,0.00951173,-1.47004,0.0101458,-1.90815,0.00951173,All
-1.42451,0.0101458,-1.34124,0.01078,-1.88597,0.0101458,All
-1.42249,0.01078,-1.31266,0.0114141,-1.88571,0.01078,All
-1.4197,0.0114141,-1.29064,0.0120482,-1.87729,0.0114141,All
-1.4054,0.0120482,-1.26494,0.0126823,-1.84728,0.0120482,All
-1.39659,0.0126823,-1.22306,0.0133164,-1.84569,0.0126823,All
-1.39631,0.0133164,-1.20417,0.0139505,-1.83781,0.0133164,All
-1.39568,0.0139505,-1.20362,0.0145847,-1.83204,0.0139505,All
-1.37925,0.0145847,-1.19802,0.0152188,-1.82623,0.0145847,All
-1.3746,0.0152188,-1.16669,0.0158529,-1.82282,0.0152188,All
-1.36972,0.0158529,-1.16161,0.016487,-1.77707,0.0158529,All
-1.367,0.016487,-1.12851,0.0171211,-1.77284,0.016487,All
-1.35408,0.0171211,-1.09598,0.0177552,-1.77045,0.0171211,All
-1.34269,0.0177552,-1.09583,0.0183893,-1.73971,0.0177552,All
-1.33589,0.0183893,-1.09466,0.0190235,-1.71795,0.0183893,All
-1.33131,0.0190235,-1.09335,0.0196576,-1.7065,0.0190235,All
-1.33058,0.0196576,-1.08989,0.0202917,-1.70561,0.0196576,All
-1.32999,0.0202917,-1.08704,0.0209258,-1.70077,0.0202917,All
-1.32603,0.0209258,-1.08201,0.0215599,-1.69913,0.0209258,All
-1.32382,0.0215599,-1.072,0.022194,-1.65958,0.0215599,All
-1.32033,0.022194,-1.06617,0.0228282,-1.6389,0.022194,All
-1.3161,0.0228282,-1.06252,0.0234623,-1.60276,0.0228282,All
-1.3071,0.0234623,-1.0575,0.0240964,-1.59731,0.0234623,All
-1.30476,0.0240964,-1.02713,0.0247305,-1.5837,0.0240964,All
-1.28727,0.0247305,-1.02678,0.0253646,-1.58005,0.0247305,All
-1.28715,0.0253646,-1.02616,0.0259987,-1.56908,0.0253646,All
-1.28611,0.0259987,-1.01681,0.0266328,-1.55998,0.0259987,All
-1.28541,0.0266328,-0.989461,0.027267,-1.55375,0.0266328,All
-1.28463,0.027267,-0.983112,0.0279011,-1.55252,0.027267,All
-1.2846,0.0279011,-0.982597,0.0285352,-1.54881,0.0279011,All
-1.28132,0.0285352,-0.972793,0.0291693,-1.54863,0.0285352,All
-1.27708,0.0291693,-0.966959,0.0298034,-1.54677,0.0291693,All
-1.2697,0.0298034,-0.958582,0.0304375,-1.54418,0.0298034,All
-1.26437,0.0304375,-0.957768,0.0310717,-1.5403,0.0304375,All
-1.26335,0.0310717,-0.951861,0.0317058,-1.53526,0.0310717,All
-1.24681,0.0317058,-0.944912,0.0323399,-1.52063,0.0317058,All
-1.24676,0.0323399,-0.93065,0.032974,-1.51815,0.0323399,All
-1.24464,0.032974,-0.92005,0.0336081,-1.51614,0.032974,All
-1.23959,0.0336081,-0.918327,0.0342422,-1.51611,0.0336081,All
-1.23476,0.0342422,-0.915247,0.0348763,-1.49479,0.0342422,All
-1.22378,0.0348763,-0.911569,0.0355105,-1.4914,0.0348763,All
-1.22098,0.0355105,-0.902173,0.0361446,-1.48538,0.0355105,All
-1.21352,0.0361446,-0.901632,0.0367787,-1.46023,0.0361446,All
-1.21127,0.0367787,-0.886159,0.0374128,-1.45046,0.0367787,All
-1.21066,0.0374128,-0.874435,0.0380469,-1.44631,0.0374128,All
-1.21059,0.0380469,-0.867325,0.038681,-1.445,0.0380469,All
-1.20622,0.038681,-0.863569,0.0393152,-1.4336,0.038681,All
-1.20537,0.0393152,-0.855858,0.0399493,-1.42933,0.0393152,All
-1.19839,0.0399493,-0.854006,0.0405834,-1.42406,0.0399493,All
-1.19535,0.0405834,-0.845469,0.0412175,-1.41971,0.0405834,All
-1.18998,0.0412175,-0.839989,0.0418516,-1.41152,0.0412175,All
-1.18966,0.0418516,-0.812972,0.0424857,-1.41024,0.0418516,All
-1.18346,0.0424857,-0.804372,0.0431198,-1.3909,0.0424857,All
-1.17866,0.0431198,-0.803854,0.043754,-1.3892,0.0431198,All
-1.17458,0.043754,-0.793322,0.0443881,-1.38557,0.043754,All
-1.1726,0.0443881,-0.789835,0.0450222,-1.3809,0.0443881,All
-1.17119,0.0450222,-0.787305,0.0456563,-1.36419,0.0450222,All
-1.16544,0.0456563,-0.780114,0.0462904,-1.36385,0.0456563,All
-1.16306,0.0462904,-0.776003,0.0469245,-1.36238,0.0462904,All
-1.15621,0.0469245,-0.771116,0.0475587,-1.35475,0.0469245,All
-1.1522,0.0475587,-0.767666,0.0481928,-1.34249,0.0475587,All
-1.15176,0.0481928,-0.765108,0.0488269,-1.34077,0.0481928,All
-1.15007,0.0488269,-0.760426,0.049461,-1.33837,0.0488269,All
