pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.6397,0.0243034,-4.06953,0.00311157,-2.70867,0.00459575,All
-1.23854,0.168504,-3.86064,0,-2.56725,0,All
-0.837387,0.398576,-3.65176,0,-2.42582,0,All
-0.436228,0.479588,-3.44287,0.00311157,-2.28439,0.0137873,All
-0.03507,0.383994,-3.23398,0,-2.14296,0.00919151,All
0.366088,0.366172,-3.02509,0.00311157,-2.00153,0.018383,All
0.767246,0.21549,-2.8162,0.00622314,-1.86011,0.0643406,All
1.1684,0.189567,-2.60732,0,-1.71868,0.0459575,All
1.56956,0.126378,-2.39843,0.00311157,-1.57725,0.0873193,All
1.97072,0.0599485,-2.18954,0.00311157,-1.43582,0.0781278,All
2.37188,0.0453664,-1.98065,0.00622314,-1.29439,0.124085,All
2.77304,0.0324046,-1.77177,0.00622314,-1.15297,0.248171,All
3.1742,0.0194427,-1.56288,0.0155578,-1.01154,0.220596,All
3.57535,0.00648092,-1.35399,0.0124463,-0.87011,0.284937,All
3.97651,0.0162023,-1.1451,0.0560082,-0.728682,0.321703,All
4.37767,0.00324046,-0.936215,0.0871239,-0.587254,0.409022,All
4.77883,0.00810115,-0.727327,0.227144,-0.445826,0.390639,All
5.17999,0.00324046,-0.51844,0.510297,-0.304398,0.418214,All
5.58115,0,-0.309552,0.756111,-0.16297,0.36766,All
5.9823,0,-0.100664,0.95214,-0.0215416,0.386043,All
6.38346,0,0.108223,0.809008,0.119886,0.321703,All
6.78462,0,0.317111,0.566305,0.261314,0.45498,All
7.18578,0,0.525999,0.345384,0.402742,0.399831,All
7.58694,0,0.734887,0.230256,0.54417,0.36766,All
7.9881,0,0.943774,0.102682,0.685598,0.271149,All
8.38925,0,1.15266,0.0653429,0.827026,0.243575,All
8.79041,0,1.36155,0.0591198,0.968454,0.238979,All
9.19157,0,1.57044,0.0093347,1.10988,0.252766,All
9.59273,0,1.77933,0.0248925,1.25131,0.248171,All
9.99389,0.00162023,1.98821,0.0093347,1.39274,0.197617,All
10.395,0,2.1971,0.0155578,1.53417,0.160851,All
10.7962,0.00162023,2.40599,0.00622314,1.67559,0.0919151,All
11.1974,0,2.61488,0,1.81702,0.0827236,All
11.5985,0,2.82376,0,1.95845,0.0735321,All
11.9997,0,3.03265,0.00311157,2.09988,0.0781278,All
12.4008,0.00162023,3.24154,0.00311157,2.24131,0.0597448,All
12.802,0.00162023,3.45043,0,2.38273,0.0413618,All
13.2032,0,3.65931,0.00311157,2.52416,0.0459575,All
13.6043,0,3.8682,0,2.66559,0.0505533,All
14.0055,0.00162023,4.07709,0.00311157,2.80702,0.0735321,All
