standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-4.17323,0.00539461,-4.55565,0.00434276,All
-3.98226,0,-4.31842,0,All
-3.79129,0,-4.0812,0,All
-3.60031,0,-3.84397,0.00434276,All
-3.40934,0,-3.60674,0,All
-3.21837,0,-3.36951,0,All
-3.0274,0,-3.13229,0,All
-2.83643,0.0161838,-2.89506,0,All
-2.64545,0,-2.65783,0.0130283,All
-2.45448,0.00539461,-2.42061,0.0217138,All
-2.26351,0.0215784,-2.18338,0.00434276,All
-2.07254,0.00539461,-1.94615,0.0217138,All
-1.88156,0.026973,-1.70892,0.034742,All
-1.69059,0.0377622,-1.4717,0.0477703,All
-1.49962,0.0647353,-1.23447,0.104226,All
-1.30865,0.102498,-0.997242,0.160682,All
-1.11768,0.129471,-0.760015,0.20411,All
-0.926704,0.21039,-0.522787,0.321364,All
-0.735732,0.275125,-0.28556,0.469018,All
-0.54476,0.285914,-0.048333,0.607986,All
-0.353788,0.507093,0.188894,0.673127,All
-0.162815,0.927872,0.426121,0.555873,All
0.0281568,1.15445,0.663349,0.34742,All
0.219129,0.722877,0.900576,0.277936,All
0.410101,0.420779,1.1378,0.186738,All
0.601073,0.167233,1.37503,0.156339,All
0.792046,0.0863137,1.61226,0.0607986,All
0.983018,0.0971029,1.84948,0.0521131,All
1.17399,0.0647353,2.08671,0.0130283,All
1.36496,0.0323676,2.32394,0,All
1.55593,0.0215784,2.56117,0,All
1.74691,0.0107892,2.79839,0.00434276,All
