trans_Cl_vs_AGE_abscissa,trans_Cl_vs_AGE_spline,trans_Cl_vs_AGE_regression,trans_Cl_vs_CrCl_abscissa,trans_Cl_vs_CrCl_spline,trans_Cl_vs_CrCl_regression,trans_Cl_vs_CrCl_log_scaled_abscissa,trans_Cl_vs_CrCl_log_scaled_spline,trans_Cl_vs_CrCl_log_scaled_regression,trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_Cl_vs_logWT_abscissa,trans_Cl_vs_logWT_spline,trans_Cl_vs_logWT_regression,trans_V_vs_AGE_abscissa,trans_V_vs_AGE_spline,trans_V_vs_AGE_regression,trans_V_vs_CrCl_abscissa,trans_V_vs_CrCl_spline,trans_V_vs_CrCl_regression,trans_V_vs_CrCl_log_scaled_abscissa,trans_V_vs_CrCl_log_scaled_spline,trans_V_vs_CrCl_log_scaled_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,trans_V_vs_logWT_abscissa,trans_V_vs_logWT_spline,trans_V_vs_logWT_regression,split
19,1.76335,1.56157,4.09551,-0.85119,-0.110951,-3.19528,-1.40835,-1.52575,25.1,1.08038,0.269972,3.22287,1.02637,0.0095235,19,4.01728,4.36405,4.09551,4.10805,4.1882,-3.19528,4.0524,3.98879,25.1,3.38794,3.85555,3.22287,3.18631,3.47393,All
19.7273,1.63057,1.54609,7.08214,-0.626891,-0.0616092,-3.15191,-1.40265,-1.48459,26.998,0.819197,0.281232,3.24447,0.932908,0.0208513,19.7273,4.08082,4.36334,7.08214,4.18595,4.19725,-3.15191,4.05388,3.99518,26.998,3.50747,3.87082,3.24447,3.24022,3.48982,All
20.4545,1.4978,1.53061,10.0688,-0.379397,-0.0122679,-3.10855,-1.39494,-1.44343,28.896,0.558009,0.292492,3.26607,0.839449,0.0321792,20.4545,4.14436,4.36264,10.0688,4.19138,4.20629,-3.10855,4.05567,4.00157,28.896,3.627,3.88609,3.26607,3.29413,3.50572,All
21.1818,1.38486,1.51513,13.0554,-0.277592,0.0370735,-3.06518,-1.36532,-1.40228,30.7939,0.403927,0.303752,3.28767,0.74599,0.043507,21.1818,4.20309,4.36194,13.0554,4.19663,4.21534,-3.06518,4.06097,4.00797,30.7939,3.71098,3.90136,3.28767,3.34804,3.52161,All
21.9091,1.33142,1.49966,16.042,-0.0730045,0.0864149,-3.02182,-1.3357,-1.36112,32.6919,0.31338,0.315012,3.30927,0.65253,0.0548349,21.9091,4.24739,4.36123,16.042,4.19875,4.22438,-3.02182,4.06627,4.01436,32.6919,3.77278,3.91663,3.30927,3.40195,3.53751,All
22.6364,1.31013,1.48418,19.0286,-0.0158102,0.135756,-2.97845,-1.30607,-1.31996,34.5899,0.277733,0.326272,3.33087,0.559071,0.0661627,22.6364,4.28145,4.36053,19.0286,4.20254,4.23343,-2.97845,4.07157,4.02075,34.5899,3.81381,3.9319,3.33087,3.45587,3.5534,All
23.3636,1.30573,1.4687,22.0153,0.0831737,0.185098,-2.93509,-1.27645,-1.2788,36.4879,0.271397,0.337532,3.35247,0.465612,0.0774906,23.3636,4.3086,4.35983,22.0153,4.22726,4.24247,-2.93509,4.07687,4.02714,36.4879,3.84215,3.94717,3.35247,3.50978,3.5693,All
24.0909,1.31519,1.45322,25.0019,0.17448,0.234439,-2.89172,-1.24682,-1.23764,38.3859,0.28602,0.348792,3.37407,0.380503,0.0888184,24.0909,4.32906,4.35912,25.0019,4.24218,4.25152,-2.89172,4.08217,4.03353,38.3859,3.85992,3.96244,3.37407,3.56021,3.58519,All
24.8182,1.33559,1.43774,27.9885,0.20772,0.28378,-2.84836,-1.2172,-1.19648,40.2838,0.312069,0.360052,3.39567,0.341186,0.100146,24.8182,4.34073,4.35842,27.9885,4.26324,4.26057,-2.84836,4.08747,4.03992,40.2838,3.8684,3.97771,3.39567,3.59154,3.60109,All
25.5455,1.35627,1.42227,30.9751,0.355373,0.333122,-2.80499,-1.17122,-1.15532,42.1818,0.333013,0.371312,3.41727,0.301869,0.111474,25.5455,4.34548,4.35772,30.9751,4.29139,4.26961,-2.80499,4.09489,4.04632,42.1818,3.87206,3.99298,3.41727,3.62287,3.61698,All
