popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.1747,13.1417,0.1747,-5.58186,5.93126,0.626177,1.10872,0.626177,-5.13039,6.38274,All
0.19852,13.1352,0.19852,-5.55804,5.95508,0.68701,1.17438,0.68701,-5.06955,6.44357,All
0.225588,13.1293,0.225588,-5.53098,5.98215,0.753752,1.24642,0.753752,-5.00281,6.51032,All
0.256347,13.128,0.256347,-5.50022,6.01291,0.826978,1.32546,0.826978,-4.92959,6.58354,All
0.291299,13.1266,0.291299,-5.46527,6.04786,0.907318,1.41218,0.907318,-4.84925,6.66388,All
0.331017,13.125,0.331017,-5.42555,6.08758,0.995462,1.50732,0.995462,-4.7611,6.75203,All
0.37615,13.1231,0.37615,-5.38041,6.13271,1.09217,1.61171,1.09217,-4.66439,6.84873,All
0.427437,13.121,0.427437,-5.32913,6.184,1.19827,1.72624,1.19827,-4.55829,6.95484,All
0.485717,13.1186,0.485717,-5.27085,6.24228,1.31468,1.85189,1.31468,-4.44188,7.07125,All
0.551944,13.1159,0.551944,-5.20462,6.30851,1.4424,1.98975,1.4424,-4.31416,7.19897,All
0.6272,13.1129,0.6272,-5.12936,6.38376,1.58253,2.141,1.58253,-4.17403,7.3391,All
0.712717,13.1174,0.712717,-5.04385,6.46928,1.73627,2.30695,1.73627,-4.02029,7.49284,All
0.809895,13.1381,0.809895,-4.94667,6.56646,1.90488,2.48894,1.90488,-3.85168,7.66145,All
0.920322,13.1697,0.920322,-4.83624,6.67689,1.90495,2.48901,1.90495,-3.85161,7.66151,All
1.04581,13.2128,1.04581,-4.71076,6.80237,2.09001,2.68877,2.09001,-3.66655,7.84658,All
1.1884,13.2763,1.1884,-4.56817,6.94496,2.29306,2.89574,2.29306,-3.46351,8.04962,All
1.35043,13.358,1.35043,-4.40613,7.107,2.51582,3.07366,2.51582,-3.24074,8.27239,All
1.53456,13.4721,1.53456,-4.222,7.29113,2.76023,3.26887,2.76023,-2.99633,8.5168,All
1.7438,13.6108,1.7438,-4.01277,7.50036,3.02838,3.47578,3.02838,-2.72818,8.78495,All
1.98156,13.778,1.98156,-3.77501,7.73812,3.18359,3.58895,3.18359,-2.57298,8.94015,All
2.25174,13.9836,2.25174,-3.50483,8.0083,3.32259,3.6902,3.32259,-2.43398,9.07915,All
2.25514,13.9863,2.25514,-3.50142,8.0117,3.64537,3.92531,3.64537,-2.11119,9.40194,All
2.55876,14.2173,2.55876,-3.19781,8.31532,3.99952,4.18395,3.99952,-1.75705,9.75608,All
2.90764,14.4751,2.90764,-2.84893,8.6642,4.38807,4.47571,4.38807,-1.3685,10.1446,All
3.30409,14.7261,3.30409,-2.45248,9.06065,4.46229,4.53329,4.46229,-1.29427,10.2189,All
3.75459,14.9233,3.75459,-2.00197,9.51116,4.81436,4.81878,4.81436,-0.942204,10.5709,All
4.26652,14.9707,4.26652,-1.49004,10.0231,5.28207,5.23352,5.28207,-0.474494,11.0386,All
4.33558,14.9663,4.33558,-1.42098,10.0921,5.741,5.69411,5.741,-0.0155669,11.4976,All
4.84825,14.7892,4.84825,-0.908312,10.6048,5.79522,5.75154,5.79522,0.0386522,11.5518,All
5.5093,14.5202,5.5093,-0.247264,11.2659,6.35821,6.34146,6.35821,0.60165,12.1148,All
6.26048,14.8047,6.26048,0.503916,12.017,6.97591,6.86485,6.97591,1.21934,12.7325,All
6.41602,14.8886,6.41602,0.659456,12.1726,7.0197,6.8971,7.0197,1.26314,12.7763,All
7.11408,14.2117,7.11408,1.35752,12.8706,7.65361,7.48528,7.65361,1.89704,13.4102,All
8.08407,15.2436,8.08407,2.3275,13.8406,8.29841,8.18995,8.29841,2.54184,14.055,All
8.49646,14.6122,8.49646,2.7399,14.253,8.39715,8.31202,8.39715,2.64058,14.1537,All
9.18631,14.8837,9.18631,3.42975,14.9429,9.21292,9.13614,9.21292,3.45635,14.9695,All
10.4388,15.6148,10.4388,4.68228,16.1954,9.57711,9.39219,9.57711,3.82055,15.3337,All
10.5769,15.6247,10.5769,4.82034,16.3335,10.1079,9.99215,10.1079,4.35138,15.8645,All
11.8622,15.5194,11.8622,6.10559,17.6187,10.8558,10.6281,10.8558,5.09925,16.6124,All
12.6573,15.9081,12.6573,6.90078,18.4139,11.0899,10.7994,11.0899,5.33335,16.8465,All
13.4795,16.5396,13.4795,7.72297,19.2361,12.1345,12.2355,12.1345,6.37796,17.8911,All
14.7378,17.3212,14.7378,8.98122,20.4943,12.1673,12.2842,12.1673,6.41072,17.9239,All
15.3174,16.6501,15.3174,9.56087,21.074,13.3493,13.305,13.3493,7.59276,19.1059,All
16.8182,17.6795,16.8182,11.0617,22.5748,13.4132,13.3968,13.4132,7.65666,19.1698,All
17.4059,17.4774,17.4059,11.6494,23.1625,14.6462,14.5788,14.6462,8.88963,20.4028,All
18.8987,18.1699,18.8987,13.1421,24.6552,14.6919,14.5981,14.6919,8.93537,20.4485,All
19.7792,18.1956,19.7792,14.0226,25.5358,15.9706,15.9488,15.9706,10.2141,21.7272,All
20.9791,18.7224,20.9791,15.2225,26.7357,16.0691,15.9807,16.0691,10.3125,21.8256,All
22.476,18.3255,22.476,16.7195,28.2326,17.2493,17.0454,17.2493,11.4928,23.0059,All
23.0595,19.8077,23.0595,17.303,28.8161,17.6301,17.6893,17.6301,11.8736,23.3867,All
25.14,20.232,25.14,19.3834,30.8965,18.528,18.6743,18.528,12.7715,24.2846,All
25.5406,20.1993,25.5406,19.784,31.2971,19.3429,19.2453,19.3429,13.5863,25.0995,All
