iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,a
1,23987.4,1,1.53,4.58,0.374,0.389,1
2,11167.1,1,1.17787,4.30346,0.574041,0.561631,2.7793
3,11619.7,1,1.12874,4.3333,0.585725,0.591943,3.05884
4,11744,1,1.08892,4.37998,0.594039,0.579153,3.19591
5,11934.2,1,1.07442,4.35908,0.59412,0.60351,3.30434
6,12006.9,1,1.06143,4.31288,0.590922,0.609827,3.36968
7,12024.9,1,1.06415,4.34725,0.592825,0.599241,3.42054
8,11984.4,1,1.05547,4.29147,0.584623,0.592838,3.43075
9,12025.1,1,1.01496,4.42215,0.589644,0.62021,3.35429
10,11983.5,1,1.01425,4.54702,0.576385,0.62481,3.34337
11,11987.5,1,1.01497,4.57128,0.589566,0.618831,3.31954
12,11869.4,1,1.01207,4.44082,0.574638,0.616159,3.31483
13,12011,1,0.994188,4.51907,0.578878,0.63312,3.3333
14,12009,1,1.01888,4.51348,0.589117,0.629376,3.30796
15,12052.3,1,1.01494,4.45683,0.5742,0.653253,3.34331
16,12019.3,1,1.02842,4.3927,0.582784,0.636712,3.34728
17,11965.6,1,1.01416,4.47321,0.568027,0.62059,3.40509
18,12046.2,1,1.02072,4.44975,0.583394,0.619459,3.40314
19,12030.8,1,0.991295,4.53303,0.568622,0.62748,3.43519
20,12078.1,1,0.995747,4.52287,0.566952,0.630269,3.46144
21,12056.9,1,1.00334,4.58009,0.568252,0.637871,3.40716
22,11960,1,0.964368,4.60519,0.553864,0.64428,3.37927
23,12050.9,1,0.972186,4.54525,0.541164,0.638391,3.50593
24,11954.1,1,0.976677,4.61962,0.527461,0.636385,3.46703
25,11993.6,1,0.975042,4.67711,0.530485,0.631832,3.51122
26,12018.3,1,0.978363,4.65795,0.52845,0.633308,3.54265
27,12006.4,1,0.946202,4.72597,0.53453,0.62745,3.52142
28,12036.7,1,0.968317,4.66305,0.546809,0.628443,3.50177
29,12009.5,1,0.959756,4.6696,0.551264,0.639254,3.41499
30,11963,1,0.979171,4.63906,0.540453,0.639401,3.40963
31,11987.6,1,1.00249,4.62354,0.532494,0.643249,3.45799
32,11862.7,1,0.978728,4.75643,0.523414,0.632326,3.39662
33,11787.4,1,0.966018,4.65365,0.518974,0.640359,3.31062
34,11778.5,1,0.974938,4.66072,0.519367,0.645171,3.28083
35,11770.4,1,0.974194,4.66928,0.519384,0.628835,3.33158
36,11876.2,1,0.949971,4.72751,0.529412,0.644301,3.34294
37,11782.5,1,0.921599,4.77527,0.516007,0.627987,3.4253
38,11928.7,1,0.930135,4.69743,0.513065,0.659516,3.41564
39,11917,1,0.930031,4.78033,0.519408,0.660017,3.37419
40,11829.2,1,0.938209,4.71278,0.510091,0.643305,3.40731
41,11783.9,1,0.952276,4.74085,0.517011,0.627016,3.38415
42,11865.7,1,0.962463,4.83352,0.514258,0.644916,3.39431
43,11912.6,1,0.938585,4.87761,0.519873,0.645611,3.41654
44,11884.4,1,0.955454,4.83702,0.512759,0.651657,3.39758
45,11861.7,1,0.949492,4.78849,0.503388,0.657915,3.39261
46,11956.3,1,0.957114,4.76876,0.517225,0.663554,3.41654
47,11955.6,1,0.972088,4.67075,0.518328,0.657198,3.4335
48,11938.5,1,0.966682,4.73317,0.533328,0.648253,3.38138
49,11980.9,1,0.975425,4.63724,0.544688,0.64463,3.39352
50,11991.1,1,0.982197,4.69433,0.534794,0.646853,3.43821
51,11982.8,1,0.978542,4.66121,0.536081,0.655825,3.39328
52,12117,1,0.969249,4.55059,0.555166,0.680817,3.3782
53,12073.9,1,0.972866,4.49643,0.551819,0.663578,3.43703
54,12039.9,1,0.985022,4.5821,0.566027,0.646776,3.36673
55,11937.6,1,0.978121,4.6135,0.555692,0.641817,3.31361
56,12045.5,1,0.972258,4.6181,0.551884,0.649762,3.41657
57,12097.4,1,0.97629,4.57711,0.548689,0.652553,3.47713
58,12136.8,1,0.991458,4.57532,0.53721,0.660176,3.54405
59,12052.8,1,0.994026,4.55116,0.523607,0.649616,3.55815
60,12070.4,1,0.997392,4.53219,0.519517,0.657309,3.55715
61,12109.4,1,1.00177,4.51693,0.508506,0.653998,3.66417
62,12101.1,1,0.997674,4.58835,0.517774,0.65122,3.62144
63,12076.2,1,1.01169,4.59643,0.504664,0.650618,3.6591
64,12006.1,1,1.01886,4.53454,0.506328,0.643972,3.59295
65,12044.4,1,0.978838,4.57973,0.493508,0.65899,3.64147
66,11997.2,1,0.974304,4.66222,0.4964,0.65123,3.59972
67,11969.9,1,0.977243,4.64882,0.501332,0.651948,3.54354
68,11984.5,1,0.974446,4.56913,0.506039,0.648617,3.54982
69,11952.7,1,0.991925,4.58702,0.503984,0.639324,3.55789
70,11980,1,0.983821,4.56711,0.517694,0.638148,3.53007
71,11968.4,1,0.981757,4.63669,0.520448,0.629239,3.53681
72,11991.1,1,0.975526,4.67595,0.512047,0.634018,3.58227
73,12019.5,1,0.983528,4.74698,0.510304,0.652828,3.55573
74,11968.8,1,0.976302,4.62051,0.508469,0.641854,3.54511
75,11959.9,1,0.997066,4.64693,0.510617,0.628325,3.5759
76,11972.7,1,0.997397,4.56931,0.51095,0.633344,3.5706
77,11990.7,1,0.981105,4.62704,0.517897,0.633352,3.5583
78,12032.4,1,0.960078,4.6531,0.516621,0.630231,3.62116
79,11957.8,1,0.960993,4.6452,0.518222,0.614273,3.58846
80,11958.8,1,0.970607,4.62695,0.516123,0.620909,3.57489
81,12005.7,1,0.958755,4.68616,0.542681,0.638856,3.48437
82,11939.2,1,0.952681,4.64097,0.54971,0.627282,3.39614
83,11976.9,1,0.955618,4.64473,0.542133,0.636423,3.42617
84,11995.5,1,0.988959,4.60461,0.54425,0.648937,3.39745
85,12080.5,1,0.996678,4.63826,0.554005,0.645585,3.46239
86,12098.9,1,0.992903,4.62169,0.564422,0.645975,3.43916
87,12046.4,1,1.00797,4.46928,0.57322,0.629619,3.41819
88,11966.7,1,1.01588,4.52064,0.581789,0.613676,3.35406
89,12068.9,1,1.00081,4.51981,0.567058,0.643671,3.44112
90,12164,1,0.995061,4.4397,0.590189,0.646881,3.40795
91,12123.8,1,0.997468,4.55244,0.589837,0.641739,3.38364
92,11997.9,1,0.965472,4.55327,0.574902,0.637068,3.31948
93,11936,1,0.959583,4.5963,0.566593,0.630787,3.30578
94,11940.2,1,0.979082,4.62845,0.573815,0.624287,3.30663
95,11914.2,1,0.999345,4.63286,0.579369,0.616217,3.28801
96,11960.5,1,1.00192,4.64642,0.574724,0.620107,3.34074
97,11993.5,1,1.00086,4.64543,0.578759,0.624232,3.34615
98,11974.5,1,0.985511,4.70874,0.570419,0.611116,3.40267
