time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1.86667,0.631474,1.86667,0.122178,1.86667,0.529875,0.1747,1.82813,0.626177,0.13788,0.1747,1.53692,All
2.0731,0.583219,2.0731,0.134043,2.0731,0.513644,0.19852,1.8213,0.68701,0.13926,0.19852,1.52882,All
2.30237,0.529628,2.30237,0.14722,2.30237,0.495617,0.225588,1.81387,0.753752,0.140774,0.225588,1.51997,All
2.55699,0.490505,2.55699,0.158821,2.55699,0.480857,0.256347,1.8068,0.826978,0.142435,0.256347,1.51139,All
2.83976,0.463034,2.83976,0.16926,2.83976,0.468615,0.291299,1.79877,0.907318,0.144257,0.291299,1.50163,All
3.15381,0.432525,3.15381,0.180853,3.15381,0.45502,0.331017,1.78964,0.995462,0.146257,0.331017,1.49054,All
3.50259,0.437397,3.50259,0.187278,3.50259,0.45022,0.37615,1.77926,1.09217,0.148451,0.37615,1.47795,All
3.88995,0.444456,3.88995,0.19414,3.88995,0.445327,0.427437,1.76747,1.19827,0.150858,0.427437,1.46363,All
4.32014,0.465797,4.32014,0.1991,4.32014,0.443665,0.485717,1.75407,1.31468,0.153498,0.485717,1.44736,All
4.7979,0.515478,4.7979,0.199273,4.7979,0.449174,0.551944,1.73885,1.4424,0.156395,0.551944,1.42887,All
5.3285,0.579165,5.3285,0.196932,5.3285,0.45805,0.6272,1.72155,1.58253,0.159574,0.6272,1.40787,All
5.91778,0.658809,5.91778,0.189877,5.91778,0.471599,0.712717,1.70393,1.73627,0.163062,0.712717,1.38621,All
6.57223,0.740321,6.57223,0.179241,6.57223,0.486562,0.809895,1.68782,1.90488,0.166886,0.809895,1.36582,All
7.29905,0.801902,7.29905,0.165827,7.29905,0.498344,0.920322,1.67167,1.90495,0.166888,0.920322,1.34502,All
8.10626,0.808827,8.10626,0.151745,8.10626,0.499281,1.04581,1.65515,2.09001,0.171086,1.04581,1.32343,All
8.90533,0.724844,8.90533,0.14156,8.90533,0.481055,1.1884,1.64028,2.29306,0.17221,1.1884,1.30325,All
9.00273,0.709664,9.00273,0.140585,9.00273,0.47774,1.35043,1.62599,2.51582,0.159395,1.35043,1.2833,All
9.99834,0.530671,9.99834,0.133789,9.99834,0.435746,1.53456,1.61586,2.76023,0.145336,1.53456,1.2678,All
11.1041,0.429915,11.1041,0.127872,11.1041,0.398667,1.7438,1.60704,3.02838,0.127837,1.7438,1.25343,All
12.3321,0.416378,12.3321,0.101911,12.3321,0.357032,1.98156,1.60022,3.18359,0.115826,1.98156,1.24116,All
13.6959,0.338651,13.6959,0.047791,13.6959,0.280082,2.25174,1.59845,3.32259,0.105038,2.25174,1.23524,All
15.2105,0.239785,15.2105,0.036142,15.2105,0.215217,2.25514,1.59844,3.64537,0.0799871,2.25514,1.23518,All
15.944,0.219403,15.944,0.0487431,15.944,0.207516,2.55876,1.59943,3.99952,0.0526976,2.55876,1.23408,All
16.8926,0.248055,16.8926,0.0545413,16.8926,0.2275,2.90764,1.6014,4.38807,0.0250428,2.90764,1.23591,All
18.7608,0.394705,18.7608,0.0613843,18.7608,0.31177,3.30409,1.5994,4.46229,0.0202876,3.30409,1.23835,All
20.8355,0.315041,20.8355,0.0367688,20.8355,0.284651,3.75459,1.58392,4.81436,0.00126128,3.75459,1.23395,All
22.9827,0.231643,22.9827,0.0404055,22.9827,0.209408,4.26652,1.53595,5.28207,-0.0138713,4.26652,1.20733,All
23.1397,0.231438,23.1397,0.0296553,23.1397,0.207208,4.33558,1.52754,5.741,-0.0133971,4.33558,1.20228,All
25.6988,0.274476,25.6988,0.0197698,25.6988,0.220282,4.84825,1.438,5.79522,-0.0124796,4.84825,1.14315,All
28.5408,0.26134,28.5408,-0.00126576,28.5408,0.256418,5.5093,1.30479,6.35821,-0.00478873,5.5093,1.04946,All
30.0213,0.308935,30.0213,-0.0016407,30.0213,0.233293,6.26048,1.22987,6.97591,-0.0317323,6.26048,0.994944,All
31.6971,0.245219,31.6971,0.00123768,31.6971,0.185512,6.41602,1.21453,7.0197,-0.0350331,6.41602,0.98588,All
35.2025,0.196198,35.2025,0.0229561,35.2025,0.153878,7.11408,0.950537,7.65361,-0.048098,7.11408,0.838876,All
37.06,0.213647,37.06,-0.0205482,37.06,0.171581,8.08407,1.00578,8.29841,-0.0309889,8.08407,0.883958,All
39.0956,0.172266,39.0956,-0.0333442,39.0956,0.148477,8.49646,0.86228,8.39715,-0.0243231,8.49646,0.769948,All
43.4192,0.270186,43.4192,0.0241147,43.4192,0.240086,9.18631,0.794855,9.21292,-0.0219386,9.18631,0.709245,All
44.0987,0.221252,44.0987,0.0157541,44.0987,0.18424,10.4388,0.765215,9.57711,-0.0528398,10.4388,0.692961,All
48.2209,0.182972,48.2209,-0.00436212,48.2209,0.122774,10.5769,0.740132,10.1079,-0.0330866,10.5769,0.666826,All
51.1373,0.182063,51.1373,-0.0227543,51.1373,0.140312,11.8622,0.539713,10.8558,-0.0650599,11.8622,0.486283,All
53.5536,0.183763,53.5536,0.00595028,53.5536,0.151003,12.6573,0.527145,11.0899,-0.0830088,12.6573,0.476392,All
58.176,0.1443,58.176,-0.0240626,58.176,0.127516,13.4795,0.51975,12.1345,0.0288474,13.4795,0.473888,All
59.4762,0.185739,59.4762,0.00429528,59.4762,0.15681,14.7378,0.47432,12.1673,0.033399,14.7378,0.442675,All
