Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-2.32118,-1.86132,-0.16095,-2.74009,-1.36634,-0.131353
-2.28107,-1.78163,-0.157872,-2.6898,-1.23374,-0.129157
-2.24096,-1.70195,-0.154795,-2.6395,-1.10115,-0.126962
-2.20084,-1.62226,-0.151717,-2.58921,-0.993726,-0.124766
-2.16073,-1.54257,-0.14864,-2.53892,-0.89521,-0.12257
-2.12062,-1.46288,-0.145562,-2.48862,-0.796694,-0.120375
-2.08051,-1.3832,-0.142485,-2.43833,-0.698178,-0.118179
-2.0404,-1.30351,-0.139407,-2.38804,-0.619756,-0.115984
-2.00029,-1.22382,-0.136329,-2.33774,-0.553329,-0.113788
-1.96017,-1.14413,-0.133252,-2.28745,-0.493074,-0.111593
-1.92006,-1.06445,-0.130174,-2.23716,-0.441913,-0.109397
-1.87995,-0.98476,-0.127097,-2.18687,-0.393089,-0.107202
-1.83984,-0.909397,-0.124019,-2.13657,-0.353692,-0.105006
-1.79973,-0.844704,-0.120942,-2.08628,-0.320267,-0.102811
-1.75962,-0.780011,-0.117864,-2.03599,-0.290328,-0.100615
-1.7195,-0.715318,-0.114787,-1.98569,-0.265848,-0.0984195
-1.67939,-0.650625,-0.111709,-1.9354,-0.244359,-0.096224
-1.63928,-0.585932,-0.108632,-1.88511,-0.226494,-0.0940284
-1.59917,-0.527502,-0.105554,-1.83481,-0.210986,-0.0918329
-1.55906,-0.471941,-0.102476,-1.78452,-0.197475,-0.0896373
-1.51895,-0.419716,-0.0993989,-1.73423,-0.185259,-0.0874418
-1.47883,-0.370516,-0.0963214,-1.68394,-0.173803,-0.0852462
-1.43872,-0.324554,-0.0932438,-1.63364,-0.162464,-0.0830507
-1.39861,-0.281798,-0.0901663,-1.58335,-0.15065,-0.0808552
-1.3585,-0.242334,-0.0870887,-1.53306,-0.13775,-0.0786596
-1.31839,-0.206392,-0.0840112,-1.48276,-0.123164,-0.0764641
-1.27828,-0.174029,-0.0809336,-1.43247,-0.106475,-0.0742685
-1.23816,-0.145439,-0.0778561,-1.38218,-0.0886599,-0.072073
-1.19805,-0.120564,-0.0747785,-1.33188,-0.0713615,-0.0698774
-1.15794,-0.0997192,-0.071701,-1.28159,-0.0562131,-0.0676819
-1.11783,-0.0828733,-0.0686235,-1.2313,-0.0448672,-0.0654864
-1.07772,-0.0702606,-0.0655459,-1.18101,-0.0387549,-0.0632908
-1.03761,-0.0619653,-0.0624684,-1.13071,-0.0370753,-0.0610953
-0.997494,-0.0579751,-0.0593908,-1.08042,-0.0376691,-0.0588997
-0.957383,-0.0577453,-0.0563133,-1.03013,-0.0384023,-0.0567042
-0.917271,-0.0606253,-0.0532357,-0.979833,-0.0378469,-0.0545086
-0.87716,-0.0659711,-0.0501582,-0.92954,-0.0351213,-0.0523131
-0.837048,-0.0701383,-0.0470806,-0.879247,-0.0323463,-0.0501176
-0.796936,-0.0609944,-0.0440031,-0.828954,-0.0372945,-0.047922
-0.756825,-0.0340257,-0.0409255,-0.778661,-0.0217585,-0.0457265
-0.716713,-0.0196896,-0.037848,-0.728368,0.0233362,-0.0435309
-0.676601,-0.04531,-0.0347704,-0.678075,-0.0555691,-0.0413354
-0.63649,-0.0894387,-0.0316929,-0.627782,-0.0430741,-0.0391398
-0.596378,-0.0384842,-0.0286153,-0.577489,0.0178878,-0.0369443
-0.556266,0.0204415,-0.0255378,-0.527196,-0.0097353,-0.0347488
-0.516155,-0.0875187,-0.0224602,-0.476903,0.0230445,-0.0325532
-0.476043,-0.0115746,-0.0193827,-0.42661,-0.0385908,-0.0303577
-0.435931,-0.0318798,-0.0163051,-0.376317,-0.0598584,-0.0281621
-0.39582,-0.0117593,-0.0132276,-0.326024,-0.00292156,-0.0259666
-0.355708,0.0788038,-0.01015,-0.275731,-0.0225578,-0.023771
-0.315596,0.0136884,-0.0070725,-0.225438,-0.0100975,-0.0215755
-0.275485,0.00984449,-0.00399495,-0.175145,0.0192975,-0.01938
-0.235373,0.0384117,-0.000917406,-0.124852,-0.0175705,-0.0171844
-0.195261,0.0167161,0.00216014,-0.0745588,0.00600045,-0.0149889
-0.15515,0.0307077,0.00523769,-0.0242658,-0.00614544,-0.0127933
-0.115038,-0.0145392,0.00831524,0.0260272,-0.0338634,-0.0105978
-0.0749263,0.0634655,0.0113928,0.0763202,0.0176848,-0.00840224
-0.0348147,-0.0391969,0.0144703,0.126613,-0.0347285,-0.00620669
0.00529699,0.0323438,0.0175479,0.176906,-0.0368312,-0.00401115
0.0454087,0.0160698,0.0206254,0.227199,0.0554322,-0.00181561
0.0855203,0.0887699,0.023703,0.277492,-0.0367308,0.000379936
0.125632,0.0803273,0.0267805,0.327785,0.0473801,0.00257548
0.165744,0.0259141,0.0298581,0.378078,-0.00485436,0.00477102
0.205855,0.0410825,0.0329356,0.428371,0.0230148,0.00696657
0.245967,0.0759736,0.0360132,0.478664,-0.0690342,0.00916211
0.286079,0.0107955,0.0390907,0.528957,-0.0202044,0.0113577
0.32619,0.116531,0.0421683,0.57925,0.000457786,0.0135532
0.366302,0.0324692,0.0452458,0.629543,-0.0530511,0.0157487
0.406414,0.033509,0.0483234,0.679836,-0.0532973,0.0179443
0.446525,0.0807688,0.0514009,0.730129,0.11123,0.0201398
0.486637,-0.00949118,0.0544784,0.780422,0.0218747,0.0223354
0.526749,0.0503611,0.057556,0.830715,-0.00733339,0.0245309
0.56686,0.0789053,0.0606335,0.881009,0.0194489,0.0267265
0.606972,0.0528372,0.0637111,0.931302,-0.0067031,0.028922
0.647084,0.0340547,0.0667886,0.981595,0.0188362,0.0311175
0.687195,0.0322183,0.0698662,1.03189,0.0450439,0.0333131
0.727307,0.065667,0.0729437,1.08218,0.0428016,0.0355086
0.767419,0.101931,0.0760213,1.13247,0.0380771,0.0377042
0.80753,0.107711,0.0790988,1.18277,0.0413589,0.0398997
0.847642,0.0892847,0.0821764,1.23306,0.0499613,0.0420953
0.887753,0.06346,0.0852539,1.28335,0.0611458,0.0442908
0.927865,0.0375749,0.0883315,1.33365,0.0736576,0.0464863
0.967977,0.0136494,0.091409,1.38394,0.0870713,0.0486819
1.00809,-0.00625961,0.0944866,1.43423,0.100956,0.0508774
1.0482,-0.0206748,0.0975641,1.48452,0.114889,0.053073
1.08831,-0.0292757,0.100642,1.53482,0.128444,0.0552685
1.12842,-0.0329395,0.103719,1.58511,0.141063,0.0574641
1.16854,-0.0326261,0.106797,1.6354,0.152504,0.0596596
1.20865,-0.0290285,0.109874,1.6857,0.162585,0.0618551
1.24876,-0.0230805,0.112952,1.73599,0.170308,0.0640507
1.28887,-0.0156783,0.116029,1.78628,0.175071,0.0662462
1.32898,-0.00753878,0.119107,1.83658,0.177938,0.0684418
1.36909,0.000416813,0.122184,1.88687,0.175153,0.0706373
1.40921,0.00718995,0.125262,1.93716,0.172175,0.0728329
1.44932,0.0125425,0.12834,1.98745,0.155175,0.0750284
1.48943,0.0146404,0.131417,2.03775,0.132172,0.0772239
1.52954,0.00723731,0.134495,2.08804,0.109169,0.0794195
1.56965,-0.000165723,0.137572,2.13833,0.0861657,0.081615
1.60976,-0.00756876,0.14065,2.18863,0.0631627,0.0838106
1.64988,-0.0188008,0.143727,2.23892,0.0401597,0.0860061
