V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
8.128,0,0.0495998,0,All
15.6328,0.000999001,0.153994,0.000999001,All
19.6892,0.001998,0.168708,0.001998,All
22.7594,0.002997,0.205772,0.002997,All
23.1347,0.003996,0.214447,0.003996,All
23.4358,0.004995,0.228103,0.004995,All
24.9505,0.00599401,0.242857,0.00599401,All
25.6306,0.00699301,0.259515,0.00699301,All
26.3106,0.00799201,0.262685,0.00799201,All
27.0328,0.00899101,0.27847,0.00899101,All
28.8266,0.00999001,0.306169,0.00999001,All
29.073,0.010989,0.320976,0.010989,All
29.5264,0.011988,0.321083,0.011988,All
29.5403,0.012987,0.3247,0.012987,All
29.5957,0.013986,0.324833,0.013986,All
30.0693,0.014985,0.335831,0.014985,All
30.3256,0.015984,0.338865,0.015984,All
30.5326,0.016983,0.340363,0.016983,All
30.5917,0.017982,0.353267,0.017982,All
30.6146,0.018981,0.376795,0.018981,All
30.8383,0.01998,0.377864,0.01998,All
30.968,0.020979,0.39671,0.020979,All
31.6215,0.021978,0.401606,0.021978,All
32.032,0.022977,0.424941,0.022977,All
32.4187,0.023976,0.427316,0.023976,All
33.0667,0.024975,0.429426,0.024975,All
34.0606,0.025974,0.430496,0.025974,All
34.1278,0.026973,0.43937,0.026973,All
34.3542,0.027972,0.441358,0.027972,All
34.4383,0.028971,0.442289,0.028971,All
34.6499,0.02997,0.457817,0.02997,All
35.3327,0.030969,0.459451,0.030969,All
35.4999,0.031968,0.466981,0.031968,All
35.902,0.032967,0.467391,0.032967,All
35.9453,0.033966,0.477185,0.033966,All
35.9822,0.034965,0.477816,0.034965,All
36.0627,0.035964,0.481505,0.035964,All
36.1099,0.036963,0.496678,0.036963,All
36.1881,0.037962,0.505758,0.037962,All
36.2489,0.038961,0.508138,0.038961,All
36.3279,0.03996,0.51564,0.03996,All
36.591,0.040959,0.518946,0.040959,All
36.7368,0.041958,0.528079,0.041958,All
36.8138,0.042957,0.535057,0.042957,All
37.0509,0.043956,0.536269,0.043956,All
37.1965,0.044955,0.539384,0.044955,All
38.3275,0.045954,0.539748,0.045954,All
38.4292,0.046953,0.54318,0.046953,All
38.4469,0.047952,0.546015,0.047952,All
39.0457,0.048951,0.547993,0.048951,All
39.1983,0.04995,0.549386,0.04995,All
39.4525,0.0509491,0.558546,0.0509491,All
39.5797,0.0519481,0.560821,0.0519481,All
39.6585,0.0529471,0.563892,0.0529471,All
39.7876,0.0539461,0.566298,0.0539461,All
40.0129,0.0549451,0.567896,0.0549451,All
40.0772,0.0559441,0.569764,0.0559441,All
40.1162,0.0569431,0.573726,0.0569431,All
40.1299,0.0579421,0.574866,0.0579421,All
40.2173,0.0589411,0.590362,0.0589411,All
40.4401,0.0599401,0.602173,0.0599401,All
40.7472,0.0609391,0.605684,0.0609391,All
40.7679,0.0619381,0.611557,0.0619381,All
40.9106,0.0629371,0.615217,0.0629371,All
41.0199,0.0639361,0.616374,0.0639361,All
41.3747,0.0649351,0.616641,0.0649351,All
41.5646,0.0659341,0.617131,0.0659341,All
41.6044,0.0669331,0.619448,0.0669331,All
41.7069,0.0679321,0.620801,0.0679321,All
41.7604,0.0689311,0.621474,0.0689311,All
42.364,0.0699301,0.623097,0.0699301,All
42.4439,0.0709291,0.632998,0.0709291,All
42.4603,0.0719281,0.633237,0.0719281,All
42.5942,0.0729271,0.637938,0.0729271,All
42.6116,0.0739261,0.639714,0.0739261,All
42.7941,0.0749251,0.641288,0.0749251,All
42.8815,0.0759241,0.643898,0.0759241,All
42.901,0.0769231,0.652323,0.0769231,All
42.9372,0.0779221,0.653311,0.0779221,All
43.0364,0.0789211,0.6563,0.0789211,All
43.3352,0.0799201,0.658674,0.0799201,All
43.5066,0.0809191,0.659719,0.0809191,All
43.5775,0.0819181,0.668689,0.0819181,All
43.6482,0.0829171,0.675069,0.0829171,All
43.665,0.0839161,0.676522,0.0839161,All
43.6937,0.0849151,0.679169,0.0849151,All
44.2214,0.0859141,0.682678,0.0859141,All
44.4166,0.0869131,0.691648,0.0869131,All
44.6335,0.0879121,0.695886,0.0879121,All
44.6541,0.0889111,0.696743,0.0889111,All
44.7446,0.0899101,0.70007,0.0899101,All
44.8465,0.0909091,0.700134,0.0909091,All
44.9944,0.0919081,0.701902,0.0919081,All
45.052,0.0929071,0.702779,0.0929071,All
45.0579,0.0939061,0.708548,0.0939061,All
45.2681,0.0949051,0.710117,0.0949051,All
45.2756,0.0959041,0.710383,0.0959041,All
45.2788,0.0969031,0.711619,0.0969031,All
45.3028,0.0979021,0.718187,0.0979021,All
45.3385,0.0989011,0.718923,0.0989011,All
