V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
21.0466,0.000761186,0.339583,0.113797,All
31.8741,0.00352048,0.710761,0.338616,All
42.7016,0.00751671,1.08194,0.3858,All
53.5291,0.0158898,1.45312,0.316411,All
64.3567,0.0187442,1.8243,0.247023,All
75.1842,0.0171267,2.19547,0.252574,All
86.0117,0.0101809,2.56665,0.147104,All
96.8392,0.00666038,2.93783,0.166532,All
107.667,0.00361563,3.30901,0.124899,All
118.494,0.0027593,3.68019,0.0860417,All
129.322,0.00209326,4.05137,0.0915928,All
140.149,0.00152237,4.42255,0.0693885,All
150.977,0.000666038,4.79372,0.0555108,All
161.804,0.000856334,5.1649,0.0416331,All
172.632,0.00104663,5.53608,0.0527352,All
183.459,0.000475741,5.90726,0.0471841,All
194.287,0.000666038,6.27844,0.0416331,All
205.114,0,6.64962,0.0249798,All
215.942,0.000380593,7.02079,0.0277554,All
226.77,0.000190296,7.39197,0.0194288,All
237.597,9.51482e-05,7.76315,0.0416331,All
248.425,0,8.13433,0.00832661,All
259.252,9.51482e-05,8.50551,0.0138777,All
270.08,9.51482e-05,8.87669,0.0138777,All
280.907,0,9.24786,0.00277554,All
291.735,9.51482e-05,9.61904,0.0138777,All
302.562,9.51482e-05,9.99022,0.0194288,All
313.39,0,10.3614,0.00555108,All
324.217,0,10.7326,0,All
335.045,0,11.1038,0.00277554,All
345.872,0,11.4749,0.00277554,All
356.7,9.51482e-05,11.8461,0.00277554,All
