V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
8.128,2.86872e-05,3.0832e-05,0.0495998,0.00335143,3.41366e-05,All
14.1076,0.000541781,0.00128307,0.614154,0.379529,0.12368,All
20.0872,0.00214744,0.00876723,1.17871,0.357694,0.341052,All
26.0667,0.00457005,0.0286204,1.74326,0.262293,0.515929,All
32.0463,0.00709213,0.0636036,2.30782,0.184927,0.640975,All
38.0259,0.00916825,0.112525,2.87237,0.130986,0.729182,All
44.0055,0.010567,0.171883,3.43692,0.0942801,0.792107,All
49.9851,0.0112846,0.237533,4.00148,0.0691237,0.837796,All
55.9647,0.011431,0.305697,4.56603,0.0515989,0.871583,All
61.9442,0.0111512,0.373389,5.13058,0.039162,0.897008,All
67.9238,0.0105831,0.438483,5.69514,0.0301727,0.916446,All
73.9034,0.00984081,0.499609,6.25969,0.0235629,0.931522,All
79.883,0.00901113,0.555998,6.82425,0.0186255,0.943365,All
85.8626,0.00815579,0.607324,7.3888,0.0148839,0.952776,All
91.8422,0.00731629,0.653567,7.95335,0.0120113,0.960333,All
97.8217,0.00651875,0.694906,8.51791,0.00977972,0.966459,All
103.801,0.00577811,0.73164,9.08246,0.00802727,0.971466,All
109.781,0.0051015,0.764135,9.64701,0.00663754,0.97559,All
115.76,0.00449086,0.792781,10.2116,0.00552554,0.979012,All
121.74,0.00394474,0.817971,10.7761,0.00462842,0.98187,All
127.72,0.00345966,0.840079,11.3407,0.00389917,0.98427,All
133.699,0.00303105,0.859458,11.9052,0.00330223,0.986297,All
139.679,0.00265382,0.87643,12.4698,0.00281044,0.988018,All
145.658,0.00232279,0.891287,13.0343,0.00240285,0.989486,All
151.638,0.00203294,0.904291,13.5989,0.00206316,0.990744,All
157.618,0.00177955,0.915672,14.1634,0.00177858,0.991826,All
163.597,0.00155826,0.925637,14.728,0.00153901,0.992761,All
169.577,0.00136515,0.934364,15.2926,0.00133641,0.993571,All
175.556,0.00119669,0.942012,15.8571,0.00116435,0.994275,All
181.536,0.00104975,0.948718,16.4217,0.00101763,0.99489,All
