pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.12914,0.000634115,-4,0,All
-1.88792,0.000634115,-3.64127,0.00126823,-3.31385,0.000634115,All
-1.50133,0.00126823,-3.0339,0.00190235,-2.38328,0.00126823,All
-1.49564,0.00190235,-3.02443,0.00253646,-2.27418,0.00190235,All
-1.44876,0.00253646,-2.9875,0.00317058,-2.26675,0.00253646,All
-1.44054,0.00317058,-2.96396,0.00380469,-2.19133,0.00317058,All
-1.43412,0.00380469,-2.87616,0.00443881,-2.18651,0.00380469,All
-1.42581,0.00443881,-2.65469,0.00507292,-2.17118,0.00443881,All
-1.41525,0.00507292,-2.61954,0.00570704,-2.1436,0.00507292,All
-1.3879,0.00570704,-2.53797,0.00634115,-2.09231,0.00570704,All
-1.38169,0.00634115,-2.34668,0.00697527,-1.99174,0.00634115,All
-1.37385,0.00697527,-2.25092,0.00760938,-1.96566,0.00697527,All
-1.36887,0.00760938,-2.2498,0.0082435,-1.92711,0.00760938,All
-1.35817,0.0082435,-2.19352,0.00887762,-1.92109,0.0082435,All
-1.34432,0.00887762,-1.97187,0.00951173,-1.91429,0.00887762,All
-1.33903,0.00951173,-1.90345,0.0101458,-1.87729,0.00951173,All
-1.33132,0.0101458,-1.81965,0.01078,-1.83488,0.0101458,All
-1.33098,0.01078,-1.76189,0.0114141,-1.83404,0.01078,All
-1.31883,0.0114141,-1.74133,0.0120482,-1.81467,0.0114141,All
-1.3188,0.0120482,-1.73657,0.0126823,-1.80588,0.0120482,All
-1.31475,0.0126823,-1.7087,0.0133164,-1.80372,0.0126823,All
-1.31036,0.0133164,-1.70843,0.0139505,-1.80154,0.0133164,All
-1.30496,0.0139505,-1.70569,0.0145847,-1.79175,0.0139505,All
-1.30239,0.0145847,-1.69346,0.0152188,-1.78784,0.0145847,All
-1.29781,0.0152188,-1.66592,0.0158529,-1.77291,0.0152188,All
-1.29499,0.0158529,-1.63541,0.016487,-1.76485,0.0158529,All
-1.29196,0.016487,-1.60858,0.0171211,-1.75859,0.016487,All
-1.287,0.0171211,-1.58973,0.0177552,-1.73893,0.0171211,All
-1.2841,0.0177552,-1.53775,0.0183893,-1.72627,0.0177552,All
-1.28385,0.0183893,-1.51698,0.0190235,-1.70842,0.0183893,All
-1.27744,0.0190235,-1.49841,0.0196576,-1.70633,0.0190235,All
-1.27674,0.0196576,-1.45299,0.0202917,-1.69904,0.0196576,All
-1.27464,0.0202917,-1.40061,0.0209258,-1.69251,0.0202917,All
-1.27034,0.0209258,-1.37683,0.0215599,-1.6877,0.0209258,All
-1.26847,0.0215599,-1.3604,0.022194,-1.68741,0.0215599,All
-1.26582,0.022194,-1.33635,0.0228282,-1.67831,0.022194,All
-1.2589,0.0228282,-1.33322,0.0234623,-1.67321,0.0228282,All
-1.25576,0.0234623,-1.31523,0.0240964,-1.66935,0.0234623,All
-1.25353,0.0240964,-1.28914,0.0247305,-1.65972,0.0240964,All
-1.25209,0.0247305,-1.2641,0.0253646,-1.65698,0.0247305,All
-1.24687,0.0253646,-1.26315,0.0259987,-1.64755,0.0253646,All
-1.23978,0.0259987,-1.25377,0.0266328,-1.64385,0.0259987,All
-1.23749,0.0266328,-1.25169,0.027267,-1.63791,0.0266328,All
-1.23666,0.027267,-1.24196,0.0279011,-1.63323,0.027267,All
-1.23182,0.0279011,-1.2403,0.0285352,-1.6304,0.0279011,All
-1.22433,0.0285352,-1.21456,0.0291693,-1.62745,0.0285352,All
-1.22382,0.0291693,-1.20928,0.0298034,-1.62134,0.0291693,All
-1.21885,0.0298034,-1.2069,0.0304375,-1.62004,0.0298034,All
-1.21158,0.0304375,-1.20638,0.0310717,-1.60323,0.0304375,All
-1.20824,0.0310717,-1.15802,0.0317058,-1.59696,0.0310717,All
-1.2061,0.0317058,-1.15504,0.0323399,-1.58534,0.0317058,All
-1.20485,0.0323399,-1.15199,0.032974,-1.57964,0.0323399,All
-1.20351,0.032974,-1.14058,0.0336081,-1.576,0.032974,All
-1.20172,0.0336081,-1.09907,0.0342422,-1.55753,0.0336081,All
-1.19434,0.0342422,-1.09519,0.0348763,-1.55603,0.0342422,All
-1.19286,0.0348763,-1.08116,0.0355105,-1.55021,0.0348763,All
-1.19259,0.0355105,-1.0751,0.0361446,-1.54325,0.0355105,All
-1.19184,0.0361446,-1.05916,0.0367787,-1.53713,0.0361446,All
-1.19139,0.0367787,-1.04389,0.0374128,-1.53242,0.0367787,All
-1.18698,0.0374128,-1.03532,0.0380469,-1.53234,0.0374128,All
-1.17244,0.0380469,-1.01218,0.038681,-1.52995,0.0380469,All
-1.17091,0.038681,-0.984836,0.0393152,-1.52723,0.038681,All
-1.16822,0.0393152,-0.980973,0.0399493,-1.5268,0.0393152,All
-1.1668,0.0399493,-0.962913,0.0405834,-1.52414,0.0399493,All
-1.16123,0.0405834,-0.960874,0.0412175,-1.5192,0.0405834,All
-1.15396,0.0412175,-0.954964,0.0418516,-1.51861,0.0412175,All
-1.15345,0.0418516,-0.94,0.0424857,-1.51205,0.0418516,All
-1.15333,0.0424857,-0.916544,0.0431198,-1.50936,0.0424857,All
-1.15293,0.0431198,-0.907855,0.043754,-1.50591,0.0431198,All
-1.14674,0.043754,-0.892778,0.0443881,-1.50501,0.043754,All
-1.14377,0.0443881,-0.890035,0.0450222,-1.49651,0.0443881,All
