pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.61974,0.0157536,-4.048,0.00400524,-3.23646,0.00419904,All
-1.08338,0.33325,-3.88572,0,-3.08167,0,All
-0.547024,0.491998,-3.72344,0,-2.92688,0,All
-0.0106655,0.412018,-3.56116,0.00400524,-2.77209,0,All
0.525693,0.277506,-3.39888,0,-2.6173,0,All
1.06205,0.152689,-3.2366,0,-2.46251,0,All
1.59841,0.0872508,-3.07432,0.00801048,-2.30772,0.0125971,All
2.13477,0.0448372,-2.91204,0.0120157,-2.15293,0.0209952,All
2.67113,0.0242363,-2.74976,0,-1.99814,0.0167962,All
3.20748,0.0193891,-2.58748,0.0120157,-1.84335,0.0461895,All
3.74384,0.0145418,-2.4252,0.00400524,-1.68856,0.096578,All
4.2802,0.0121182,-2.26292,0.0120157,-1.53377,0.117573,All
4.81656,0.00484727,-2.10064,0,-1.37898,0.167962,All
5.35292,0.00605909,-1.93836,0.00801048,-1.22419,0.214151,All
5.88928,0.00363545,-1.77608,0.0280367,-1.0694,0.268739,All
6.42563,0,-1.6138,0.0240314,-0.914612,0.272938,All
6.96199,0.00121182,-1.45152,0.0200262,-0.759822,0.356919,All
7.49835,0.00121182,-1.28925,0.0520681,-0.605033,0.314928,All
8.03471,0,-1.12697,0.0440576,-0.450243,0.373715,All
8.57107,0.00242363,-0.964686,0.0640838,-0.295453,0.373715,All
9.10743,0,-0.802407,0.112147,-0.140664,0.382113,All
9.64378,0,-0.640127,0.17623,0.0141256,0.453497,All
10.1801,0,-0.477848,0.240314,0.168915,0.323326,All
10.7165,0,-0.315568,0.372487,0.323705,0.369516,All
11.2529,0,-0.153288,0.765001,0.478494,0.411506,All
11.7892,0,0.00899113,1.04537,0.633284,0.35272,All
12.3256,0,0.171271,0.817069,0.788073,0.251943,All
12.8619,0,0.33355,0.865132,0.942863,0.293933,All
13.3983,0,0.49583,0.58076,1.09765,0.209952,All
13.9347,0.00121182,0.658109,0.41254,1.25244,0.172161,All
14.471,0.00121182,0.820389,0.300393,1.40723,0.17636,All
15.0074,0,0.982668,0.132173,1.56202,0.0839809,All
15.5437,0.00121182,1.14495,0.0560733,1.71681,0.100777,All
16.0801,0,1.30723,0.0640838,1.8716,0.0797819,All
16.6164,0,1.46951,0.0320419,2.02639,0.0461895,All
17.1528,0,1.63179,0.0320419,2.18118,0.0503885,All
17.6892,0,1.79407,0.00400524,2.33597,0.0419904,All
18.2255,0,1.95635,0.00400524,2.49076,0.0587866,All
18.7619,0.00121182,2.11863,0,2.64555,0.0377914,All
19.2982,0.00121182,2.2809,0.00801048,2.80034,0.0671847,All
