standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-3.86915,0.000999001,-3.8617,0.000999001,All
-3.02369,0.001998,-3.13152,0.001998,All
-2.54317,0.002997,-2.92961,0.002997,All
-2.3455,0.003996,-2.41225,0.003996,All
-2.24018,0.004995,-2.37298,0.004995,All
-2.18453,0.00599401,-2.32803,0.00599401,All
-2.0627,0.00699301,-2.19615,0.00699301,All
-2.02838,0.00799201,-2.16689,0.00799201,All
-1.96742,0.00899101,-2.15919,0.00899101,All
-1.90302,0.00999001,-2.0534,0.00999001,All
-1.82744,0.010989,-2.01527,0.010989,All
-1.75941,0.011988,-2.00075,0.011988,All
-1.74555,0.012987,-1.9119,0.012987,All
-1.59579,0.013986,-1.90725,0.013986,All
-1.58131,0.014985,-1.83276,0.014985,All
-1.57382,0.015984,-1.82488,0.015984,All
-1.5673,0.016983,-1.80678,0.016983,All
-1.55655,0.017982,-1.78438,0.017982,All
-1.53497,0.018981,-1.78313,0.018981,All
-1.52129,0.01998,-1.77881,0.01998,All
-1.51112,0.020979,-1.77081,0.020979,All
-1.508,0.021978,-1.7644,0.021978,All
-1.50525,0.022977,-1.75576,0.022977,All
-1.48053,0.023976,-1.69468,0.023976,All
-1.46964,0.024975,-1.6113,0.024975,All
-1.46277,0.025974,-1.5967,0.025974,All
-1.35307,0.026973,-1.58357,0.026973,All
-1.34778,0.027972,-1.56806,0.027972,All
-1.31737,0.028971,-1.41664,0.028971,All
-1.30402,0.02997,-1.3942,0.02997,All
-1.29544,0.030969,-1.3734,0.030969,All
-1.28975,0.031968,-1.36409,0.031968,All
-1.28063,0.032967,-1.31181,0.032967,All
-1.2534,0.033966,-1.30801,0.033966,All
-1.24281,0.034965,-1.30799,0.034965,All
-1.22478,0.035964,-1.30341,0.035964,All
-1.22303,0.036963,-1.22936,0.036963,All
-1.22143,0.037962,-1.21309,0.037962,All
-1.21249,0.038961,-1.1882,0.038961,All
-1.20977,0.03996,-1.17183,0.03996,All
-1.20379,0.040959,-1.13652,0.040959,All
-1.19287,0.041958,-1.11997,0.041958,All
-1.17431,0.042957,-1.11584,0.042957,All
-1.17337,0.043956,-1.09431,0.043956,All
-1.13711,0.044955,-1.06552,0.044955,All
-1.12592,0.045954,-1.06438,0.045954,All
-1.12207,0.046953,-1.0627,0.046953,All
-1.10922,0.047952,-1.05554,0.047952,All
-1.10781,0.048951,-1.04742,0.048951,All
-1.10083,0.04995,-1.03944,0.04995,All
-1.09007,0.0509491,-1.03351,0.0509491,All
-1.08659,0.0519481,-1.01013,0.0519481,All
-1.08176,0.0529471,-1.0019,0.0529471,All
-1.07603,0.0539461,-0.990175,0.0539461,All
-1.07602,0.0549451,-0.985581,0.0549451,All
-1.06032,0.0559441,-0.983428,0.0559441,All
-1.04338,0.0569431,-0.981734,0.0569431,All
-1.03976,0.0579421,-0.972647,0.0579421,All
-1.02863,0.0589411,-0.969097,0.0589411,All
-1.02656,0.0599401,-0.946482,0.0599401,All
-1.01816,0.0609391,-0.93595,0.0609391,All
-1.00251,0.0619381,-0.909657,0.0619381,All
-1.00051,0.0629371,-0.89696,0.0629371,All
-0.99451,0.0639361,-0.892862,0.0639361,All
-0.988854,0.0649351,-0.872831,0.0649351,All
-0.983357,0.0659341,-0.866156,0.0659341,All
-0.973776,0.0669331,-0.854404,0.0669331,All
-0.973715,0.0679321,-0.849102,0.0679321,All
-0.96491,0.0689311,-0.842884,0.0689311,All
-0.960996,0.0699301,-0.825025,0.0699301,All
-0.94753,0.0709291,-0.823815,0.0709291,All
-0.942982,0.0719281,-0.822953,0.0719281,All
-0.930711,0.0729271,-0.822114,0.0729271,All
-0.924687,0.0739261,-0.811698,0.0739261,All
-0.923497,0.0749251,-0.811251,0.0749251,All
-0.917883,0.0759241,-0.808254,0.0759241,All
-0.899501,0.0769231,-0.808052,0.0769231,All
-0.896052,0.0779221,-0.807065,0.0779221,All
-0.893496,0.0789211,-0.800362,0.0789211,All
-0.890581,0.0799201,-0.797162,0.0799201,All
-0.890186,0.0809191,-0.785291,0.0809191,All
-0.862122,0.0819181,-0.78389,0.0819181,All
-0.858443,0.0829171,-0.779532,0.0829171,All
-0.85553,0.0839161,-0.779226,0.0839161,All
-0.852411,0.0849151,-0.777937,0.0849151,All
-0.852234,0.0859141,-0.775857,0.0859141,All
-0.850038,0.0869131,-0.771977,0.0869131,All
-0.848015,0.0879121,-0.770347,0.0879121,All
-0.845983,0.0889111,-0.767456,0.0889111,All
-0.839885,0.0899101,-0.76352,0.0899101,All
-0.830655,0.0909091,-0.760476,0.0909091,All
-0.82478,0.0919081,-0.754565,0.0919081,All
-0.796474,0.0929071,-0.747509,0.0929071,All
-0.786913,0.0939061,-0.746125,0.0939061,All
-0.784523,0.0949051,-0.733181,0.0949051,All
-0.782955,0.0959041,-0.731701,0.0959041,All
-0.782942,0.0969031,-0.720043,0.0969031,All
