standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-3.7717,0.00528599,-3.76196,0.00516442,All
-3.5768,0,-3.56248,0,All
-3.38191,0,-3.36299,0,All
-3.18701,0,-3.16351,0.00516442,All
-2.99211,0.00528599,-2.96403,0.00516442,All
-2.79722,0,-2.76454,0,All
-2.60232,0.00528599,-2.56506,0,All
-2.40742,0.00528599,-2.36557,0.0154933,All
-2.21253,0.010572,-2.16609,0.0154933,All
-2.01763,0.015858,-1.96661,0.0258221,All
-1.82274,0.021144,-1.76712,0.0516442,All
-1.62784,0.0317159,-1.56764,0.0206577,All
-1.43294,0.0475739,-1.36815,0.0413154,All
-1.23805,0.0845758,-1.16867,0.0413154,All
-1.04315,0.142722,-0.969186,0.108453,All
-0.848253,0.18501,-0.769702,0.211741,All
-0.653357,0.296015,-0.570218,0.278879,All
-0.45846,0.412307,-0.370734,0.320194,All
-0.263564,0.761182,-0.17125,0.526771,All
-0.0686677,1.15235,0.0282342,0.542265,All
0.126229,0.681892,0.227718,0.697197,All
0.321125,0.539171,0.427202,0.511278,All
0.516021,0.317159,0.626686,0.392496,All
0.710918,0.195582,0.82617,0.392496,All
0.905814,0.13215,1.02565,0.247892,All
1.10071,0.0475739,1.22514,0.258221,All
1.29561,0.0951478,1.42462,0.123946,All
1.4905,0.021144,1.62411,0.160097,All
1.6854,0.0422879,1.82359,0.0981241,All
1.8803,0.015858,2.02307,0.0568087,All
2.07519,0.015858,2.22256,0.00516442,All
2.27009,0.00528599,2.42204,0.0103288,All
