trans_Cl_vs_AGE_abscissa,trans_Cl_vs_AGE_spline,trans_Cl_vs_AGE_regression,trans_Cl_vs_AnionGap_abscissa,trans_Cl_vs_AnionGap_spline,trans_Cl_vs_AnionGap_regression,trans_Cl_vs_BUN_abscissa,trans_Cl_vs_BUN_spline,trans_Cl_vs_BUN_regression,trans_Cl_vs_Ca_abscissa,trans_Cl_vs_Ca_spline,trans_Cl_vs_Ca_regression,trans_Cl_vs_Chloride_abscissa,trans_Cl_vs_Chloride_spline,trans_Cl_vs_Chloride_regression,trans_Cl_vs_Creatinine_abscissa,trans_Cl_vs_Creatinine_spline,trans_Cl_vs_Creatinine_regression,trans_Cl_vs_Glucose_abscissa,trans_Cl_vs_Glucose_spline,trans_Cl_vs_Glucose_regression,trans_Cl_vs_HCO3_abscissa,trans_Cl_vs_HCO3_spline,trans_Cl_vs_HCO3_regression,trans_Cl_vs_HCT_abscissa,trans_Cl_vs_HCT_spline,trans_Cl_vs_HCT_regression,trans_Cl_vs_HR_abscissa,trans_Cl_vs_HR_spline,trans_Cl_vs_HR_regression,trans_Cl_vs_Hb_abscissa,trans_Cl_vs_Hb_spline,trans_Cl_vs_Hb_regression,trans_Cl_vs_K_abscissa,trans_Cl_vs_K_spline,trans_Cl_vs_K_regression,trans_Cl_vs_LacticAcid_abscissa,trans_Cl_vs_LacticAcid_spline,trans_Cl_vs_LacticAcid_regression,trans_Cl_vs_Na_abscissa,trans_Cl_vs_Na_spline,trans_Cl_vs_Na_regression,trans_Cl_vs_P_abscissa,trans_Cl_vs_P_spline,trans_Cl_vs_P_regression,trans_Cl_vs_PLT_abscissa,trans_Cl_vs_PLT_spline,trans_Cl_vs_PLT_regression,trans_Cl_vs_Temperature_abscissa,trans_Cl_vs_Temperature_spline,trans_Cl_vs_Temperature_regression,trans_Cl_vs_WBC_abscissa,trans_Cl_vs_WBC_spline,trans_Cl_vs_WBC_regression,trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_Cl_vs_logtAGE_abscissa,trans_Cl_vs_logtAGE_spline,trans_Cl_vs_logtAGE_regression,trans_Cl_vs_logtCreatinine_abscissa,trans_Cl_vs_logtCreatinine_spline,trans_Cl_vs_logtCreatinine_regression,trans_Cl_vs_logtWT_abscissa,trans_Cl_vs_logtWT_spline,trans_Cl_vs_logtWT_regression,trans_V_vs_AGE_abscissa,trans_V_vs_AGE_spline,trans_V_vs_AGE_regression,trans_V_vs_AnionGap_abscissa,trans_V_vs_AnionGap_spline,trans_V_vs_AnionGap_regression,trans_V_vs_BUN_abscissa,trans_V_vs_BUN_spline,trans_V_vs_BUN_regression,trans_V_vs_Ca_abscissa,trans_V_vs_Ca_spline,trans_V_vs_Ca_regression,trans_V_vs_Chloride_abscissa,trans_V_vs_Chloride_spline,trans_V_vs_Chloride_regression,trans_V_vs_Creatinine_abscissa,trans_V_vs_Creatinine_spline,trans_V_vs_Creatinine_regression,trans_V_vs_Glucose_abscissa,trans_V_vs_Glucose_spline,trans_V_vs_Glucose_regression,trans_V_vs_HCO3_abscissa,trans_V_vs_HCO3_spline,trans_V_vs_HCO3_regression,trans_V_vs_HCT_abscissa,trans_V_vs_HCT_spline,trans_V_vs_HCT_regression,trans_V_vs_HR_abscissa,trans_V_vs_HR_spline,trans_V_vs_HR_regression,trans_V_vs_Hb_abscissa,trans_V_vs_Hb_spline,trans_V_vs_Hb_regression,trans_V_vs_K_abscissa,trans_V_vs_K_spline,trans_V_vs_K_regression,trans_V_vs_LacticAcid_abscissa,trans_V_vs_LacticAcid_spline,trans_V_vs_LacticAcid_regression,trans_V_vs_Na_abscissa,trans_V_vs_Na_spline,trans_V_vs_Na_regression,trans_V_vs_P_abscissa,trans_V_vs_P_spline,trans_V_vs_P_regression,trans_V_vs_PLT_abscissa,trans_V_vs_PLT_spline,trans_V_vs_PLT_regression,trans_V_vs_Temperature_abscissa,trans_V_vs_Temperature_spline,trans_V_vs_Temperature_regression,trans_V_vs_WBC_abscissa,trans_V_vs_WBC_spline,trans_V_vs_WBC_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,trans_V_vs_logtAGE_abscissa,trans_V_vs_logtAGE_spline,trans_V_vs_logtAGE_regression,trans_V_vs_logtCreatinine_abscissa,trans_V_vs_logtCreatinine_spline,trans_V_vs_logtCreatinine_regression,trans_V_vs_logtWT_abscissa,trans_V_vs_logtWT_spline,trans_V_vs_logtWT_regression,split
19,1.87899,1.47149,6,1.028,1.0367,1,1.58744,1.1161,4.6,0.534621,0.695839,74,0.386748,0.584839,0.2,0.613442,1.09596,30,0.577241,0.605939,8,0.123177,0.183259,15.8,0.300197,0.310932,39,0.270536,0.371175,4.8,0.0473924,0.201311,2.5,0.511724,0.780492,0.5,0.577711,0.662359,118,1.01844,0.717895,0.4,1.43796,1.13307,12,0.858889,0.591796,34.4,-0.154901,0.0518754,0.1,0.71551,0.617375,25.1,1.7162,0.402711,-1.16414,2.07851,1.86725,-1.76722,0.953376,1.94579,-1.15298,1.71725,0.294297,19,4.22497,4.35658,6,4.27454,4.31341,1,4.54351,4.35558,4.6,4.28321,4.25995,74,4.73965,4.35208,0.2,3.94583,4.32731,30,4.18116,4.21595,8,4.57752,4.20579,15.8,4.12279,4.07696,39,4.14494,4.25922,4.8,4.05689,4.0616,2.5,4.06965,4.25179,0.5,4.15498,4.29202,118,4.58888,4.28968,0.4,4.40239,4.37396,12,4.11527,4.29032,34.4,4.21594,4.09448,0.1,4.16858,4.28369,25.1,3.92386,3.85333,-1.16414,4.23077,4.36203,-1.76722,3.94297,4.32016,-1.15298,3.77022,3.50996,All
19.7273,1.71411,1.45629,6.33333,1.05475,1.01892,2.77778,1.26235,1.08276,4.72323,0.465917,0.690189,74.7677,0.412375,0.583733,0.294949,1.06712,1.05013,35.596,0.692137,0.602832,8.36364,0.0685073,0.192806,16.198,0.261302,0.316713,40.3535,0.479711,0.375291,4.95051,0.187594,0.210706,2.56061,0.687496,0.771719,0.664646,0.514075,0.652025,118.576,0.938771,0.71301,0.507071,1.07662,1.11422,23.9697,0.555362,0.588686,35.1071,0.0356253,0.0572662,0.823232,0.453469,0.613679,26.998,1.21647,0.407217,-1.14832,1.99006,1.84932,-1.72812,0.98871,1.91427,-1.13138,1.54595,0.298909,19.7273,4.22443,4.35554,6.33333,4.28346,4.31267,2.77778,4.20725,4.35195,4.72323,4.17702,4.26114,74.7677,4.6829,4.35062,0.294949,4.26364,4.32447,35.596,4.34421,4.21958,8.36364,4.37834,4.20812,16.198,4.08767,4.08241,40.3535,4.19469,4.26004,4.95051,4.04488,4.06801,2.56061,4.14831,4.25329,0.664646,4.20545,4.2921,118.576,4.51012,4.28976,0.507071,4.30546,4.37138,23.9697,4.13088,4.29047,35.1071,4.20857,4.09667,0.823232,4.24563,4.28413,26.998,3.86818,3.86776,-1.14832,4.22884,4.36109,-1.72812,3.97512,4.31955,-1.13138,3.76019,3.52465,All
20.4545,1.54924,1.44109,6.66667,1.0815,1.00114,4.55556,1.22481,1.04942,4.84646,0.397213,0.684539,75.5354,0.438002,0.582627,0.389899,1.16364,1.0043,41.1919,0.65451,0.599725,8.72727,0.0138373,0.202353,16.596,0.24402,0.322494,41.7071,0.589915,0.379407,5.10101,0.327797,0.220102,2.62121,0.809059,0.762946,0.829293,0.588662,0.641691,119.152,0.859105,0.708125,0.614141,0.8572,1.09537,35.9394,0.569778,0.585576,35.8141,0.217314,0.062657,1.54646,0.551369,0.609983,28.896,0.716733,0.411723,-1.1325,1.90161,1.83138,-1.68901,1.02404,1.88275,-1.10978,1.37465,0.30352,20.4545,4.22388,4.3545,6.66667,4.29239,4.31194,4.55556,4.21475,4.34832,4.84646,4.07082,4.26234,75.5354,4.62615,4.34915,0.389899,4.25309,4.32163,41.1919,4.37305,4.22321,8.72727,4.17916,4.21045,16.596,4.06309,4.08786,41.7071,4.2185,4.26086,5.10101,4.03288,4.07443,2.62121,4.21544,4.25478,0.829293,4.26609,4.29217,119.152,4.43136,4.28985,0.614141,4.24662,4.3688,35.9394,4.18581,4.29062,35.8141,4.20252,4.09886,1.54646,4.23261,4.28457,28.896,3.81249,3.88218,-1.1325,4.22691,4.36016,-1.68901,4.00727,4.31893,-1.10978,3.75015,3.53934,All
21.1818,1.40822,1.42589,7,1.10825,0.983362,6.33333,1.19005,1.01609,4.9697,0.328509,0.678889,76.303,0.463629,0.581521,0.484848,1.2074,0.95847,46.7879,0.552073,0.596618,9.09091,-0.0315628,0.211901,16.9939,0.234631,0.328276,43.0606,0.609629,0.383522,5.25152,0.467999,0.229498,2.68182,0.829946,0.754173,0.993939,0.574711,0.631357,119.727,0.779439,0.703239,0.721212,0.662125,1.07651,47.9091,0.714667,0.582466,36.5212,0.389368,0.0680478,2.2697,0.627452,0.606287,30.7939,0.434311,0.416229,-1.11668,1.81316,1.81344,-1.64991,1.05938,1.85123,-1.08818,1.20335,0.308132,21.1818,4.22647,4.35346,7,4.30132,4.3112,6.33333,4.2831,4.34469,4.9697,3.96463,4.26353,76.303,4.5694,4.34769,0.484848,4.27545,4.31879,46.7879,4.3286,4.22683,9.09091,4.02586,4.21278,16.9939,4.04256,4.09331,43.0606,4.2186,4.26168,5.25152,4.02087,4.08084,2.68182,4.26115,4.25628,0.993939,4.27602,4.29224,119.727,4.35259,4.28994,0.721212,4.19463,4.36623,47.9091,4.31389,4.29077,36.5212,4.19787,4.10105,2.2697,4.33031,4.285,30.7939,3.78546,3.8966,-1.11668,4.22498,4.35922,-1.64991,4.03942,4.31832,-1.08818,3.74012,3.55404,All
21.9091,1.33877,1.41069,7.33333,1.08677,0.965583,8.11111,1.06469,0.982747,5.09293,0.259805,0.673239,77.0707,0.489256,0.580415,0.579798,1.08327,0.912641,52.3838,0.440297,0.593512,9.45455,-0.0491537,0.221448,17.3919,0.250786,0.334057,44.4141,0.629343,0.387638,5.40202,0.605845,0.238893,2.74242,0.800654,0.745399,1.15859,0.673187,0.621023,120.303,0.699774,0.698354,0.828283,0.58844,1.05766,59.8788,0.417817,0.579356,37.2283,0.556438,0.0734387,2.99293,0.680447,0.60259,32.6919,0.279833,0.420734,-1.10085,1.72471,1.79551,-1.61081,1.09471,1.81971,-1.06658,1.03205,0.312744,21.9091,4.23843,4.35242,7.33333,4.30981,4.31047,8.11111,4.31798,4.34106,5.09293,3.85844,4.26472,77.0707,4.51265,4.34623,0.579798,4.2916,4.31595,52.3838,4.24371,4.23046,9.45455,4.01023,4.21511,17.3919,4.03517,4.09875,44.4141,4.21869,4.2625,5.40202,4.00932,4.08726,2.74242,4.28379,4.25778,1.15859,4.28684,4.29231,120.303,4.27383,4.29003,0.828283,4.1775,4.36365,59.8788,4.16075,4.29093,37.2283,4.19395,4.10324,2.99293,4.33219,4.28544,32.6919,3.77589,3.91102,-1.10085,4.22304,4.35829,-1.61081,4.07157,4.31771,-1.06658,3.73009,3.56873,All
22.6364,1.3083,1.39549,7.66667,1.0653,0.947804,9.88889,1.22848,0.949408,5.21616,0.19908,0.667589,77.8384,0.514882,0.579309,0.674747,0.95973,0.866811,57.9798,0.396809,0.590405,9.81818,-0.0667445,0.230995,17.7899,0.266942,0.339838,45.7677,0.649057,0.391754,5.55253,0.57052,0.248289,2.80303,0.750433,0.736626,1.32323,0.734134,0.610689,120.879,0.620108,0.693469,0.935354,0.578425,1.0388,71.8485,0.510294,0.576246,37.9354,0.710393,0.0788295,3.71616,0.624855,0.598894,34.5899,0.234505,0.42524,-1.08503,1.63626,1.77757,-1.5717,1.13004,1.78818,-1.04498,0.860745,0.317356,22.6364,4.25448,4.35138,7.66667,4.3183,4.30973,9.88889,4.37712,4.33743,5.21616,3.76972,4.26592,77.8384,4.4559,4.34477,0.674747,4.318,4.31311,57.9798,4.16788,4.23408,9.81818,3.9946,4.21744,17.7899,4.02777,4.1042,45.7677,4.21879,4.26332,5.55253,4.03128,4.09367,2.80303,4.29488,4.25928,1.32323,4.32076,4.29238,120.879,4.19507,4.29011,0.935354,4.18016,4.36107,71.8485,4.31557,4.29108,37.9354,4.1919,4.10544,3.71616,4.30465,4.28588,34.5899,3.78208,3.92544,-1.08503,4.22111,4.35735,-1.5717,4.10372,4.3171,-1.04498,3.72005,3.58342,All
23.3636,1.29851,1.38028,8,1.04383,0.930025,11.6667,1.1314,0.91607,5.33939,0.19122,0.661939,78.6061,0.540509,0.578203,0.769697,0.851482,0.820982,63.5758,0.49086,0.587298,10.1818,-0.0684717,0.240542,18.1879,0.299594,0.34562,47.1212,0.659703,0.39587,5.70303,0.510843,0.257685,2.86364,0.711154,0.727853,1.48788,0.659626,0.600355,121.455,0.574455,0.688583,1.04242,0.591171,1.01995,83.8182,0.569645,0.573136,38.6424,0.859231,0.0842203,4.43939,0.639991,0.595198,36.4879,0.246043,0.429746,-1.06921,1.5478,1.75963,-1.5326,1.16538,1.75666,-1.02338,0.689443,0.321967,23.3636,4.27206,4.35034,8,4.32678,4.30899,11.6667,4.31894,4.3338,5.33939,3.79677,4.26711,78.6061,4.39916,4.34331,0.769697,4.31913,4.31027,63.5758,4.1479,4.23771,10.1818,4.01862,4.21977,18.1879,4.02977,4.10965,47.1212,4.21716,4.26414,5.70303,4.05745,4.10009,2.86364,4.27464,4.26078,1.48788,4.33746,4.29245,121.455,4.16032,4.2902,1.04242,4.19103,4.35849,83.8182,4.20528,4.29123,38.6424,4.19056,4.10763,4.43939,4.289,4.28632,36.4879,3.79736,3.93986,-1.06921,4.21918,4.35642,-1.5326,4.13587,4.31648,-1.02338,3.71002,3.59811,All
24.0909,1.30584,1.36508,8.33333,0.964689,0.912246,13.4444,0.949334,0.882731,5.46263,0.1975,0.656289,79.3737,0.566136,0.577097,0.864646,0.785683,0.775152,69.1717,0.597207,0.584191,10.5455,-0.0543352,0.250089,18.5859,0.338319,0.351401,48.4747,0.578154,0.399985,5.85354,0.422521,0.26708,2.92424,0.693743,0.719079,1.65253,0.596615,0.590021,122.03,0.537872,0.683698,1.14949,0.647341,1.0011,95.7879,0.533449,0.570026,39.3495,0.99826,0.0896111,5.16263,0.651984,0.591501,38.3859,0.296921,0.434252,-1.05339,1.49828,1.7417,-1.4935,1.20071,1.72514,-1.00178,0.533358,0.326579,24.0909,4.29048,4.3493,8.33333,4.32474,4.30826,13.4444,4.34197,4.33017,5.46263,3.84258,4.2683,79.3737,4.34241,4.34184,0.864646,4.28971,4.30743,69.1717,4.16438,4.24133,10.5455,4.08229,4.2221,18.5859,4.03588,4.1151,48.4747,4.19796,4.26496,5.85354,4.08787,4.1065,2.92424,4.24993,4.26228,1.65253,4.26579,4.29252,122.03,4.13732,4.29029,1.14949,4.21888,4.35591,95.7879,4.27905,4.29138,39.3495,4.19059,4.10982,5.16263,4.27071,4.28676,38.3859,3.81977,3.95428,-1.05339,4.22314,4.35548,-1.4935,4.16802,4.31587,-1.00178,3.70121,3.6128,All
24.8182,1.32711,1.34988,8.66667,0.88555,0.894467,15.2222,0.877673,0.849392,5.58586,0.217463,0.650639,80.1414,0.583165,0.575992,0.959596,0.722255,0.729323,74.7677,0.479802,0.581084,10.9091,-0.0401986,0.259636,18.9838,0.380111,0.357182,49.8283,0.492607,0.404101,6.00404,0.331415,0.276476,2.98485,0.709133,0.710306,1.81717,0.534779,0.579687,122.606,0.501289,0.678813,1.25657,0.715985,0.982243,107.758,0.526666,0.566916,40.0566,1.08363,0.095002,5.88586,0.587312,0.587805,40.2838,0.366144,0.438758,-1.03756,1.46752,1.72376,-1.45439,1.23604,1.69362,-0.980183,0.460714,0.331191,24.8182,4.30815,4.34826,8.66667,4.32269,4.30752,15.2222,4.36372,4.32654,5.58586,3.90653,4.2695,80.1414,4.29404,4.34038,0.959596,4.31947,4.30459,74.7677,4.15389,4.24496,10.9091,4.14597,4.22443,18.9838,4.04522,4.12055,49.8283,4.18215,4.26578,6.00404,4.11782,4.11291,2.98485,4.21852,4.26378,1.81717,4.27603,4.29259,122.606,4.11431,4.29038,1.25657,4.25544,4.35333,107.758,4.3322,4.29154,40.0566,4.19314,4.11201,5.88586,4.26901,4.28719,40.2838,3.84756,3.9687,-1.03756,4.22994,4.35455,-1.45439,4.20017,4.31526,-0.980183,3.69913,3.6275,All
25.5455,1.3496,1.33468,9,0.80641,0.876688,17,0.885915,0.816054,5.70909,0.260675,0.644989,80.9091,0.562113,0.574886,1.05455,0.663859,0.683493,80.3636,0.616889,0.577977,11.2727,-0.00628032,0.269183,19.3818,0.421978,0.362964,51.1818,0.406089,0.408217,6.15455,0.249842,0.285872,3.04545,0.702564,0.701533,1.98182,0.587003,0.569353,123.182,0.464707,0.673928,1.36364,0.780642,0.96339,119.727,0.537383,0.563806,40.7636,1.07479,0.100393,6.60909,0.517652,0.584109,42.1818,0.419282,0.443264,-1.02174,1.43677,1.70582,-1.41529,1.27138,1.66209,-0.958583,0.388071,0.335802,25.5455,4.32309,4.34722,9,4.32064,4.30679,17,4.30713,4.32291,5.70909,3.98735,4.27069,80.9091,4.28279,4.33892,1.05455,4.33558,4.30175,80.3636,4.23685,4.24859,11.2727,4.19094,4.22676,19.3818,4.05572,4.12599,51.1818,4.1698,4.2666,6.15455,4.1439,4.11933,3.04545,4.2343,4.26527,1.98182,4.30433,4.29266,123.182,4.0913,4.29046,1.36364,4.29721,4.35075,119.727,4.33984,4.29169,40.7636,4.20013,4.1142,6.60909,4.29033,4.28763,42.1818,3.87671,3.98312,-1.02174,4.23675,4.35361,-1.41529,4.23232,4.31465,-0.958583,3.69705,3.64219,All
