popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.491735,12.819,0.491735,0.321156,0.662313,2.25076,2.25131,2.25076,1.46999,3.03153,All
0.542059,12.7557,0.542059,0.354023,0.730094,2.40255,2.41872,2.40255,1.56913,3.23597,All
0.597533,12.6858,0.597533,0.390254,0.804812,2.56457,2.59742,2.56457,1.67495,3.4542,All
0.658684,12.6089,0.658684,0.430193,0.887176,2.73752,2.78818,2.73752,1.7879,3.68715,All
0.726094,12.541,0.726094,0.474218,0.977969,2.92214,2.98075,2.92214,1.90848,3.9358,All
0.800402,12.4784,0.800402,0.52275,1.07805,3.11921,3.18607,3.11921,2.03718,4.20123,All
0.882315,12.4102,0.882315,0.576248,1.18838,3.32956,3.4005,3.32956,2.17457,4.48456,All
0.972611,12.3611,0.972611,0.635221,1.31,3.38203,3.45315,3.38203,2.20883,4.55522,All
1.07215,12.3114,1.07215,0.700229,1.44407,3.55411,3.62585,3.55411,2.32122,4.78699,All
1.18187,12.2807,1.18187,0.77189,1.59185,3.79379,3.8619,3.79379,2.47776,5.10982,All
1.30282,12.2656,1.30282,0.850886,1.75476,4.04964,4.11113,4.04964,2.64486,5.45442,All
1.43615,12.2776,1.43615,0.937965,1.93434,4.32274,4.37585,4.32274,2.82322,5.82226,All
1.58313,12.3087,1.58313,1.03396,2.1323,4.51329,4.5603,4.51329,2.94767,6.07891,All
1.74515,12.3999,1.74515,1.13977,2.35052,4.61426,4.65822,4.61426,3.01362,6.21491,All
1.76581,12.4125,1.76581,1.15326,2.37835,4.92545,4.96179,4.92545,3.21685,6.63404,All
1.92374,12.509,1.92374,1.25641,2.59107,5.25761,5.28984,5.25761,3.43379,7.08143,All
2.12062,12.6339,2.12062,1.385,2.85624,5.61218,5.64513,5.61218,3.66537,7.55899,All
