iteration,convergenceIndicator,phase,V_pop,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtCreatinine,omega_V,omega_Cl,b
1,18435.3,1,1,0,0.5,0,0,0,1,1,0.3
2,17110.6,1,1.9604,-0.142083,0.427582,0.106674,-0.208422,-0.299609,1.02191,0.974679,0.452377
3,17557.8,1,2.28372,-0.304204,0.455039,0.107587,-0.244549,-0.345948,1.0344,0.95,0.506847
4,17613.3,1,2.66375,-0.387922,0.47343,0.152096,-0.223743,-0.383087,1.06467,0.925945,0.514744
5,17604.4,1,3.21496,-0.582529,0.517773,0.157376,-0.249201,-0.430129,1.11925,0.9025,0.521022
6,17523.1,1,3.82396,-0.850026,0.576806,0.119725,-0.319404,-0.463351,1.16834,0.879648,0.514487
7,17547.3,1,5.07303,-1.04702,0.634162,0.164475,-0.286653,-0.464762,1.24283,0.857375,0.502081
8,17394,1,6.81504,-1.08818,0.699667,0.137859,-0.375445,-0.448627,1.30141,0.835666,0.480311
9,17168.2,1,9.21737,-1.28793,0.743075,0.207326,-0.393199,-0.486275,1.34478,0.814506,0.456295
10,16714.5,1,13.5333,-1.41439,0.858716,0.190727,-0.513007,-0.477658,1.3622,0.793882,0.433481
11,16260.9,1,20.3684,-1.55347,0.928799,0.237605,-0.584581,-0.567287,1.4018,0.773781,0.411807
12,15877.6,1,28.0023,-1.29599,1.01504,0.233448,-0.563258,-0.596948,1.3663,0.754188,0.391216
13,15517.2,1,37.237,-0.845349,1.11897,0.221138,-0.614121,-0.631084,1.33171,0.735092,0.371655
14,15062.9,1,50.3628,-0.326259,1.14651,0.245129,-0.686492,-0.681746,1.29799,0.716479,0.353073
15,14732.6,1,58.5296,0.0276675,1.11595,0.298944,-0.635719,-0.67269,1.26512,0.698337,0.335419
16,14394,1,64.1954,0.347957,1.0822,0.404925,-0.72766,-0.626608,1.23309,0.680655,0.318648
17,14070.7,1,68.0088,0.461458,1.06401,0.435334,-0.750268,-0.652283,1.20187,0.66342,0.302716
18,13949.2,1,69.4428,0.490248,1.0496,0.474311,-0.739335,-0.684815,1.17143,0.646622,0.28758
19,13731.9,1,70.5195,0.539285,1.04033,0.475303,-0.784222,-0.73552,1.14177,0.630249,0.273201
20,13458,1,71.4743,0.599155,1.07106,0.483228,-0.765114,-0.76916,1.11286,0.614291,0.259541
21,13383.2,1,73.328,0.55658,1.05268,0.503449,-0.792109,-0.764896,1.08468,0.609897,0.246564
22,13144.9,1,72.7013,0.576871,1.12568,0.454675,-0.763768,-0.709822,1.05722,0.600232,0.234893
23,12936,1,74.246,0.544142,1.13742,0.437223,-0.776312,-0.73059,1.03045,0.604124,0.223685
24,12789.5,1,73.5087,0.674168,1.16367,0.423299,-0.742227,-0.736957,1.00436,0.588827,0.224752
25,12781.1,1,72.284,0.655098,1.163,0.441599,-0.757753,-0.781515,0.978927,0.573917,0.226168
26,12727.2,1,72.4894,0.681645,1.17504,0.431798,-0.786485,-0.792975,0.95414,0.572968,0.222645
27,12547,1,72.2161,0.715363,1.16773,0.453404,-0.731217,-0.797258,0.929981,0.574959,0.215391
28,12413,1,71.87,0.812073,1.19698,0.441127,-0.781972,-0.773072,0.906433,0.568959,0.209397
29,12427.8,1,72.6385,0.769801,1.20112,0.454379,-0.81594,-0.74456,0.883482,0.586623,0.21002
