time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1.86667,0.673374,1.86667,0.273966,1.86667,0.523155,0.491735,2.08443,2.25076,0.0846475,0.491735,1.43817,All
2.0731,0.612109,2.0731,0.27314,2.0731,0.498605,0.542059,2.06895,2.40255,0.102203,0.542059,1.42675,All
2.30237,0.544069,2.30237,0.272222,2.30237,0.471341,0.597533,2.0519,2.56457,0.120943,0.597533,1.41416,All
2.55699,0.493132,2.55699,0.271583,2.55699,0.448599,0.658684,2.0331,2.73752,0.140946,0.658684,1.40028,All
2.83976,0.455896,2.83976,0.271151,2.83976,0.42931,0.726094,2.01551,2.92214,0.145649,0.726094,1.3865,All
3.15381,0.414542,3.15381,0.270671,3.15381,0.407887,0.800402,1.99836,3.11921,0.150296,0.800402,1.37241,All
3.50259,0.415802,3.50259,0.270668,3.50259,0.399041,0.882315,1.9796,3.32956,0.148468,0.882315,1.35694,All
3.88995,0.419207,3.88995,0.270688,3.88995,0.389852,0.972611,1.96364,3.38203,0.146826,0.972611,1.34223,All
4.32014,0.439663,4.32014,0.27078,4.32014,0.385229,1.07215,1.94687,3.55411,0.141437,1.07215,1.32644,All
4.7979,0.494588,4.7979,0.270957,4.7979,0.391033,1.18187,1.93267,3.79379,0.128006,1.18187,1.31119,All
5.3285,0.566587,5.3285,0.270961,5.3285,0.401777,1.30282,1.92034,4.04964,0.110675,1.30282,1.29611,All
5.91778,0.659087,5.91778,0.270263,5.91778,0.419846,1.43615,1.91173,4.32274,0.0913144,1.43615,1.28211,All
6.57223,0.755615,6.57223,0.268297,6.57223,0.440831,1.58313,1.90529,4.51329,0.0786047,1.58313,1.26833,All
7.29905,0.831219,7.29905,0.263935,7.29905,0.458808,1.74515,1.90755,4.61426,0.0725461,1.74515,1.25851,All
8.10626,0.845689,8.10626,0.25564,8.10626,0.463621,1.76581,1.908,4.92545,0.058409,1.76581,1.25735,All
8.90533,0.755804,8.90533,0.243122,8.90533,0.443634,1.92374,1.91142,5.25761,0.0512619,1.92374,1.24849,All
9.00273,0.739122,9.00273,0.241409,9.00273,0.43978,2.12062,1.91638,5.61218,0.0502083,2.12062,1.23789,All
9.99834,0.538217,9.99834,0.226056,9.99834,0.39052,2.33764,1.93089,5.64456,0.0503522,2.33764,1.23219,All
11.1041,0.417684,11.1041,0.224221,11.1041,0.351046,2.57688,1.95051,5.99066,0.0532575,2.57688,1.22911,All
12.3321,0.400753,12.3321,0.205435,12.3321,0.30983,2.84059,1.97371,6.39466,0.0580727,2.84059,1.22859,All
13.6959,0.331963,13.6959,0.136134,13.6959,0.22685,3.03988,1.99025,6.77582,0.0674765,3.03988,1.22949,All
15.2105,0.22774,15.2105,0.120653,15.2105,0.165469,3.1313,1.99784,6.82591,0.0693887,3.1313,1.2299,All
15.944,0.194494,15.944,0.140528,15.944,0.158671,3.45175,2.01751,7.28625,0.0895003,3.45175,1.23182,All
16.8926,0.199137,16.8926,0.156463,16.8926,0.164008,3.80501,2.02446,7.77762,0.0837418,3.80501,1.23201,All
18.7608,0.330271,18.7608,0.160486,18.7608,0.212069,4.19441,2.0058,7.90709,0.0778956,4.19441,1.22652,All
20.8355,0.252378,20.8355,0.131248,20.8355,0.201746,4.31395,1.99278,8.30214,0.0722504,4.31395,1.22298,All
22.9827,0.192062,22.9827,0.148499,22.9827,0.143861,4.62366,1.93831,8.86202,0.10712,4.62366,1.20801,All
23.1397,0.189611,23.1397,0.128791,23.1397,0.133481,5.09685,1.80273,9.03836,0.104009,5.09685,1.16945,All
25.6988,0.259186,25.6988,0.142986,25.6988,0.178441,5.58802,1.61115,9.45967,0.0807088,5.58802,1.10971,All
28.5408,0.183205,28.5408,0.111418,28.5408,0.180408,5.61846,1.59883,10.0976,0.144053,5.61846,1.10557,All
30.0213,0.294306,30.0213,0.111702,30.0213,0.15735,6.19345,1.38546,10.1696,0.151386,6.19345,1.02265,All
31.6971,0.226066,31.6971,0.0967365,31.6971,0.102213,6.82729,1.26145,10.7786,0.0767124,6.82729,0.933078,All
35.2025,0.118614,35.2025,0.107311,35.2025,0.0415091,6.86209,1.25832,11.3009,0.115568,6.86209,0.928449,All
37.06,0.115017,37.06,0.041097,37.06,0.0571376,7.52599,1.19616,11.5055,0.127399,7.52599,0.846668,All
39.0956,0.0766932,39.0956,0.0393773,39.0956,0.0254276,8.13617,1.04536,12.2814,0.0916837,8.13617,0.790942,All
43.4192,0.227201,43.4192,0.113527,43.4192,0.163013,8.2962,0.994858,12.4322,0.103435,8.2962,0.781978,All
44.0987,0.185221,44.0987,0.106393,44.0987,0.110607,9.14523,0.850436,13.1097,0.121631,9.14523,0.652327,All
48.2209,0.174234,48.2209,0.0840582,48.2209,0.0512766,9.41024,0.823657,13.5634,0.133824,9.41024,0.672633,All
51.1373,0.0963479,51.1373,0.0625842,51.1373,0.0344211,10.0811,0.734732,13.9938,0.0708788,10.0811,0.594884,All
53.5536,0.124806,53.5536,0.0738456,53.5536,0.0540029,10.6843,0.783717,14.6947,0.137669,10.6843,0.632266,All
58.176,0.0915468,58.176,0.0772392,58.176,0.0799187,11.1128,0.726999,14.9375,0.0865645,11.1128,0.586371,All
59.4762,0.0706733,59.4762,0.0841058,59.4762,0.0112854,11.9584,0.586736,15.826,0.0897609,11.9584,0.466313,All
65.2147,0.0343266,65.2147,0.0949519,65.2147,-0.0292576,12.2501,0.559286,15.9448,0.0859055,12.2501,0.447423,All
66.0536,0.0600227,66.0536,0.0882097,66.0536,-0.00637414,13.2325,0.536647,16.9572,0.066838,13.2325,0.453231,All
72.2533,-0.00852021,72.2533,0.0273473,72.2533,-0.0722025,13.5038,0.511681,17.0202,0.0664079,13.5038,0.42101,All
73.3585,0.0223707,73.3585,0.0307995,73.3585,-0.0561394,14.5065,0.453963,18.0885,0.0797441,14.5065,0.368346,All
79.292,0.0795921,79.292,0.0709032,79.292,-0.0126845,14.8858,0.391775,18.168,0.0980348,14.8858,0.31443,All
81.4712,-0.0410916,81.4712,0.0374302,81.4712,-0.0980996,15.7806,0.328175,19.2198,0.0922137,15.7806,0.25003,All
86.3307,-0.100925,86.3307,0.0120746,86.3307,-0.132299,16.4092,0.310348,19.3932,0.106907,16.4092,0.254194,All
90.4812,-0.0274561,90.4812,0.0281502,90.4812,-0.07108,17.0547,0.247733,20.351,0.0552259,17.0547,0.197628,All
93.3693,-0.0111464,93.3693,0.0369879,93.3693,-0.0568031,18.0885,0.166558,20.7011,0.0870995,18.0885,0.116283,All
100.408,-0.0623408,100.408,0.0427486,100.408,-0.0944061,18.3287,0.174983,21.4823,0.101334,18.3287,0.124268,All
100.487,-0.0629743,100.487,0.0427448,100.487,-0.0948814,19.6028,0.118048,22.0971,0.0980761,19.6028,0.07635,All
107.447,-0.10525,107.447,0.0393992,107.447,-0.12667,19.9397,0.06726,22.6136,0.110473,19.9397,0.0481653,All
111.6,-0.120655,111.6,0.0351768,111.6,-0.138424,20.8769,0.0059103,23.5873,0.092219,20.8769,-0.0197657,All
114.485,-0.128657,114.485,0.0316478,114.485,-0.144678,21.9803,-0.0511831,23.7448,0.108454,21.9803,-0.069189,All
121.524,-0.14463,121.524,0.0223385,121.524,-0.157851,22.151,-0.0416318,24.8761,0.122622,22.151,-0.0560266,All
123.942,-0.150532,123.942,0.0192835,123.942,-0.162926,23.425,-0.202003,25.178,0.112893,23.425,-0.22222,All
128.563,-0.163143,128.563,0.0138242,128.563,-0.173947,24.2297,-0.188524,26.0074,0.113959,24.2297,-0.188016,All
135.601,-0.185436,135.601,0.00639553,135.601,-0.193774,24.6991,-0.193555,26.876,0.112315,24.6991,-0.188266,All
137.649,-0.192569,137.649,0.00442539,137.649,-0.200175,25.9732,-0.322462,27.1386,0.0947678,25.9732,-0.314468,All
142.64,-0.210951,142.64,-7.26609e-05,142.64,-0.216747,26.7094,-0.372334,28.2699,0.0311041,26.7094,-0.362974,All
149.679,-0.239195,149.679,-0.00568138,149.679,-0.24234,27.2472,-0.368039,28.6885,0.0352963,27.2472,-0.345358,All
152.872,-0.252622,152.872,-0.00802164,152.872,-0.25453,28.5213,-0.456356,29.4012,0.0871933,28.5213,-0.430448,All
156.717,-0.269368,156.717,-0.0106352,156.717,-0.269738,29.4428,-0.544754,30.5324,0.173191,29.4428,-0.511086,All
163.756,-0.301075,163.756,-0.0149988,163.756,-0.298505,29.7954,-0.579004,30.6232,0.174947,29.7954,-0.550513,All
169.778,-0.328927,169.778,-0.0183448,169.778,-0.323656,31.0695,-0.603705,31.6637,0.147556,31.0695,-0.555015,All
170.795,-0.333659,170.795,-0.0188887,170.795,-0.32792,32.3435,-0.690207,32.6884,0.0920751,32.3435,-0.637161,All
177.833,-0.366412,177.833,-0.0225997,177.833,-0.357372,32.456,-0.702281,32.795,0.0873775,32.456,-0.650428,All
184.872,-0.398847,184.872,-0.0260997,184.872,-0.386215,33.6176,-0.800433,33.9262,0.0525185,33.6176,-0.748418,All
188.554,-0.415488,188.554,-0.0279124,188.554,-0.400872,34.8917,-0.850458,34.8929,0.0403068,34.8917,-0.775262,All
191.911,-0.430294,191.911,-0.0295898,191.911,-0.413793,35.7776,-0.886408,35.0575,0.03961,35.7776,-0.799314,All
198.949,-0.46028,198.949,-0.0331848,198.949,-0.439621,36.1657,-0.905078,36.1888,0.0418452,36.1657,-0.814811,All
205.988,-0.488437,205.988,-0.0369932,205.988,-0.463338,37.4398,-0.97378,37.246,0.0508502,37.4398,-0.876956,All
209.406,-0.501228,209.406,-0.038952,209.406,-0.473844,38.7139,-1.0493,37.32,0.0515723,38.7139,-0.94807,All
213.027,-0.514181,213.027,-0.0411015,213.027,-0.484291,39.439,-1.09399,38.4513,0.0634036,39.439,-0.990374,All
220.065,-0.537499,220.065,-0.0455024,220.065,-0.502469,39.988,-1.12818,39.5825,0.0763528,39.988,-1.02252,All
227.104,-0.559113,227.104,-0.0500918,227.104,-0.518694,41.262,-1.20761,39.7579,0.0784612,41.262,-1.09596,All
232.564,-0.574687,232.564,-0.0537804,232.564,-0.529912,42.5361,-1.28704,40.7138,0.0903295,42.5361,-1.16856,All
234.143,-0.579189,234.143,-0.0548469,234.143,-0.533156,43.4752,-1.34562,41.8451,0.104917,43.4752,-1.22225,All
241.181,-0.598627,241.181,-0.0596624,241.181,-0.546884,43.8102,-1.36653,42.4391,0.112724,43.8102,-1.24153,All
248.22,-0.616173,248.22,-0.0646417,248.22,-0.558434,45.0842,-1.44611,42.9763,0.119902,45.0842,-1.31619,All
255.259,-0.632743,255.259,-0.0696776,255.259,-0.568855,46.3583,-1.52579,44.1076,0.13513,46.3583,-1.3933,All
258.283,-0.63965,258.283,-0.0718499,258.283,-0.573084,47.6324,-1.60529,45.2389,0.15031,47.6324,-1.47229,All
262.297,-0.648543,262.297,-0.0747314,262.297,-0.578379,47.9244,-1.62348,45.3011,0.151141,47.9244,-1.49052,All
269.336,-0.66376,269.336,-0.0797686,269.336,-0.587217,48.9065,-1.68442,46.3701,0.165197,48.9065,-1.55203,All
276.375,-0.678656,276.375,-0.0847165,276.375,-0.595662,50.1805,-1.76276,47.5014,0.179312,50.1805,-1.63159,All
283.413,-0.69343,283.413,-0.0896304,283.413,-0.603956,51.4546,-1.84027,48.3562,0.189009,51.4546,-1.71019,All
286.847,-0.700676,286.847,-0.0919721,286.847,-0.608036,52.7287,-1.91652,48.6327,0.192145,52.7287,-1.78674,All
290.452,-0.708333,290.452,-0.0943628,290.452,-0.612362,52.829,-1.92246,49.7639,0.204978,52.829,-1.79264,All
297.491,-0.723329,297.491,-0.0990079,297.491,-0.620859,54.0027,-1.9911,50.8952,0.215905,54.0027,-1.85991,All
304.529,-0.73889,304.529,-0.103399,304.529,-0.629963,55.2768,-2.06345,51.6173,0.221657,55.2768,-1.92798,All
311.568,-0.755153,311.568,-0.107544,311.568,-0.639835,56.5509,-2.13182,52.0265,0.224916,56.5509,-1.98545,All
318.569,-0.772535,318.569,-0.111305,318.569,-0.650987,57.825,-2.19341,53.1577,0.233928,57.825,-2.02479,All
318.607,-0.772635,318.607,-0.111323,318.607,-0.651054,58.2355,-2.21325,54.289,0.237428,58.2355,-2.03746,All
325.645,-0.791438,325.645,-0.114732,325.645,-0.663741,59.099,-2.25499,55.0983,0.238738,59.099,-2.06413,All
332.684,-0.810266,332.684,-0.118133,332.684,-0.676456,60.3731,-2.31657,55.4203,0.239259,60.3731,-2.10347,All
339.723,-0.831791,339.723,-0.120838,339.723,-0.692175,61.6472,-2.37816,56.5515,0.241091,61.6472,-2.14281,All
346.761,-0.854646,346.761,-0.123214,346.761,-0.709381,62.9213,-2.43974,57.6828,0.242923,62.9213,-2.18215,All
353.8,-0.879292,353.8,-0.12516,353.8,-0.72859,64.1953,-2.50133,58.8141,0.238814,64.1953,-2.22149,All
