V_pop,1,0.128,-0.753,-0.451,-0.0986,-0.111,0.332,0.0318,0.179,0.0748
beta_V_logtWT,0.128,1,-0.212,-0.031,0.0266,-0.0652,0.0429,-0.013,-0.115,0.0621
beta_V_SEX_1,-0.753,-0.212,1,0.298,0.0104,0.0574,-0.399,0.0677,-0.0197,-0.0326
Cl_pop,-0.451,-0.031,0.298,1,0.121,0.246,-0.768,-0.108,-0.237,-0.0675
beta_Cl_logtAGE,-0.0986,0.0266,0.0104,0.121,1,0.113,-0.043,-0.00347,-0.0794,-0.0238
beta_Cl_logtWT,-0.111,-0.0652,0.0574,0.246,0.113,1,-0.22,-0.0383,-0.0296,-0.0269
beta_Cl_SEX_1,0.332,0.0429,-0.399,-0.768,-0.043,-0.22,1,-0.0201,0.0534,0.0232
omega_V,0.0318,-0.013,0.0677,-0.108,-0.00347,-0.0383,-0.0201,1,-0.12,-0.144
omega_Cl,0.179,-0.115,-0.0197,-0.237,-0.0794,-0.0296,0.0534,-0.12,1,-0.0412
b,0.0748,0.0621,-0.0326,-0.0675,-0.0238,-0.0269,0.0232,-0.144,-0.0412,1
