V_pop,0.00223,0.000525,-0.00217,-0.00129,-0.000505,-0.000439,0.00116,3.42e-05,0.000233,2.42e-05
beta_V_logtWT,0.000525,0.00756,-0.00112,-0.000164,0.000251,-0.000474,0.000276,-2.57e-05,-0.000276,3.69e-05
beta_V_SEX_1,-0.00217,-0.00112,0.00371,0.0011,6.85e-05,0.000293,-0.0018,9.38e-05,-3.32e-05,-1.36e-05
Cl_pop,-0.00129,-0.000164,0.0011,0.0037,0.000801,0.00125,-0.00346,-0.000149,-0.000399,-2.81e-05
beta_Cl_logtAGE,-0.000505,0.000251,6.85e-05,0.000801,0.0118,0.00102,-0.000346,-8.57e-06,-0.000238,-1.77e-05
beta_Cl_logtWT,-0.000439,-0.000474,0.000293,0.00125,0.00102,0.007,-0.00136,-7.29e-05,-6.85e-05,-1.54e-05
beta_Cl_SEX_1,0.00116,0.000276,-0.0018,-0.00346,-0.000346,-0.00136,0.00548,-3.38e-05,0.000109,1.17e-05
omega_V,3.42e-05,-2.57e-05,9.38e-05,-0.000149,-8.57e-06,-7.29e-05,-3.38e-05,0.000517,-7.55e-05,-2.25e-05
omega_Cl,0.000233,-0.000276,-3.32e-05,-0.000399,-0.000238,-6.85e-05,0.000109,-7.55e-05,0.000763,-7.78e-06
b,2.42e-05,3.69e-05,-1.36e-05,-2.81e-05,-1.77e-05,-1.54e-05,1.17e-05,-2.25e-05,-7.78e-06,4.67e-05
