parameter,value,se_sa,rse_sa
V_pop,74.223312274968,2.1822810671981,2.94015586250531
beta_V_logtHb,0.357641575406052,0.132070323509341,36.9281237393594
beta_V_logtWT,0.591358582357759,0.0820030068916525,13.8668837044192
Cl_pop,1.35765660469182,0.0680759827344419,5.0142269038565
beta_Cl_SEX_1,0.370540836244285,0.0574996956460398,15.5177756462265
beta_Cl_logtAGE,-0.869371525667138,0.088974342943309,10.2343290890545
beta_Cl_logtCreatinine,-0.783916984508153,0.0566046917740685,7.22075078008209
beta_Cl_logtHCO3,0.165624389780065,0.117700237590411,71.0645562206789
beta_Cl_logtHCT,-1.25308728015229,0.489702905294819,39.0797124072079
beta_Cl_logtHb,2.03481226778445,0.478430519650542,23.5122682925176
beta_Cl_logtK,0.474907155043807,0.173590952463538,36.5526083614229
beta_Cl_logtP,-0.247466227413714,0.0783779479080091,31.6721795645177
omega_V,0.492273353401341,0.021640793889473,4.39609289025029
omega_Cl,0.627462763198851,0.0225704427433678,3.59709676289028
b,0.20770349018327,0.00685665904030032,3.30117661203009
