V_pop,1,0.087,-0.0815,-0.4,-0.0813,-0.115,-0.0583,0.0968,-0.0358,0.019,-0.0247,0.086,0.179,0.147,0.098
beta_V_logtHb,0.087,1,-0.201,-0.0035,0.0184,-0.0288,0.058,0.0391,-0.379,0.0258,-0.00583,-0.0229,0.0729,-0.00701,-0.00269
beta_V_logtWT,-0.0815,-0.201,1,0.0325,0.0546,0.0613,-0.068,-0.0859,0.0188,-0.0115,-0.0106,-0.0543,0.0287,-0.102,0.0153
Cl_pop,-0.4,-0.0035,0.0325,1,0.0346,0.0663,0.237,0.00971,0.0729,0.0261,-0.0226,-0.755,-0.139,-0.16,-0.0841
beta_Cl_logtAGE,-0.0813,0.0184,0.0546,0.0346,1,-0.258,0.0657,-0.0437,-0.0818,-0.0122,0.0379,0.00852,-0.00206,-0.0509,-0.00298
beta_Cl_logtBUN,-0.115,-0.0288,0.0613,0.0663,-0.258,1,-0.606,-0.241,0.146,-0.102,-0.102,0.0385,-0.0355,-0.0323,-0.017
beta_Cl_logtCreatinine,-0.0583,0.058,-0.068,0.237,0.0657,-0.606,1,0.327,-0.123,-0.0388,-0.153,-0.245,0.054,-0.0544,-0.0329
beta_Cl_logtHCO3,0.0968,0.0391,-0.0859,0.00971,-0.0437,-0.241,0.327,1,0.0174,-0.0353,0.0794,-0.12,0.0495,0.0162,0.0103
beta_Cl_logtHCT,-0.0358,-0.379,0.0188,0.0729,-0.0818,0.146,-0.123,0.0174,1,-0.102,0.0232,-0.0767,-0.047,0.0129,0.00374
beta_Cl_logtK,0.019,0.0258,-0.0115,0.0261,-0.0122,-0.102,-0.0388,-0.0353,-0.102,1,-0.31,-0.068,-0.00438,-0.00533,-0.000569
beta_Cl_logtP,-0.0247,-0.00583,-0.0106,-0.0226,0.0379,-0.102,-0.153,0.0794,0.0232,-0.31,1,0.0889,0.00445,-0.00524,-0.00694
beta_Cl_SEX_1,0.086,-0.0229,-0.0543,-0.755,0.00852,0.0385,-0.245,-0.12,-0.0767,-0.068,0.0889,1,0.00813,0.0317,0.0189
omega_V,0.179,0.0729,0.0287,-0.139,-0.00206,-0.0355,0.054,0.0495,-0.047,-0.00438,0.00445,0.00813,1,-0.159,-0.115
omega_Cl,0.147,-0.00701,-0.102,-0.16,-0.0509,-0.0323,-0.0544,0.0162,0.0129,-0.00533,-0.00524,0.0317,-0.159,1,-0.0802
b,0.098,-0.00269,0.0153,-0.0841,-0.00298,-0.017,-0.0329,0.0103,0.00374,-0.000569,-0.00694,0.0189,-0.115,-0.0802,1
