parameter,value,se_sa,rse_sa
V_pop,75.0100003858201,2.24810841021464,2.99707825443449
beta_V_logtHb,0.44592092813738,0.133455771698485,29.9281247587844
beta_V_logtWT,0.580358540189382,0.083413372809931,14.3727311710984
Cl_pop,1.34586238038792,0.0681528275849643,5.06387789554832
beta_Cl_SEX_1,0.379540998133971,0.0578182094576017,15.2337190822249
beta_Cl_logtAGE,-0.788035920698926,0.0917080474674793,11.6375465963711
beta_Cl_logtBUN,-0.262537212718845,0.0590917524735396,22.5079530103879
beta_Cl_logtCreatinine,-0.590039406956526,0.0700076916597633,11.864917975711
beta_Cl_logtHCO3,0.262664412788996,0.124841770185801,47.5290005449231
beta_Cl_logtHCT,0.6157209375993,0.15209577421543,24.7020630496101
beta_Cl_logtK,0.479871316430713,0.174191926783774,36.2997163655072
beta_Cl_logtP,-0.220890870659455,0.0786789405844606,35.6189191294189
omega_V,0.50051463756422,0.0218117217387238,4.35785891195345
omega_Cl,0.625478522567347,0.0218898909637934,3.49970305518148
b,0.20832606543731,0.00664473103635168,3.18958216889631
