V_pop,1,0.0715,-0.0705,-0.388,-0.0887,-0.1,-0.0799,0.0722,0.00672,0.0276,-0.0223,0.0808,0.152,0.169,0.0965
beta_V_logtHb,0.0715,1,-0.204,0.013,0.00346,-0.0183,0.0534,0.0267,-0.39,0.00158,-0.0217,-0.00834,0.0517,0.018,-0.0165
beta_V_logtWT,-0.0705,-0.204,1,0.0261,0.055,0.0572,-0.0619,-0.0831,0.0205,-0.0118,-0.0131,-0.0595,0.0633,-0.111,0.0202
Cl_pop,-0.388,0.013,0.0261,1,0.0407,0.0618,0.252,0.0277,0.0513,0.0203,-0.0291,-0.756,-0.112,-0.174,-0.0934
beta_Cl_logtAGE,-0.0887,0.00346,0.055,0.0407,1,-0.262,0.0686,-0.038,-0.048,-0.00994,0.0303,0.00547,-0.0109,-0.0476,-0.00872
beta_Cl_logtBUN,-0.1,-0.0183,0.0572,0.0618,-0.262,1,-0.593,-0.216,0.126,-0.108,-0.0996,0.0274,-0.0151,-0.0509,-0.0119
beta_Cl_logtCreatinine,-0.0799,0.0534,-0.0619,0.252,0.0686,-0.593,1,0.307,-0.121,-0.0469,-0.154,-0.238,0.0458,-0.0547,-0.0412
beta_Cl_logtHCO3,0.0722,0.0267,-0.0831,0.0277,-0.038,-0.216,0.307,1,0.0385,-0.0309,0.0897,-0.116,0.0329,0.0224,0.00736
beta_Cl_logtHb,0.00672,-0.39,0.0205,0.0513,-0.048,0.126,-0.121,0.0385,1,-0.0529,0.0531,-0.0995,-0.0416,0.0179,0.0109
beta_Cl_logtK,0.0276,0.00158,-0.0118,0.0203,-0.00994,-0.108,-0.0469,-0.0309,-0.0529,1,-0.312,-0.0702,-0.0131,0.0162,0.0115
beta_Cl_logtP,-0.0223,-0.0217,-0.0131,-0.0291,0.0303,-0.0996,-0.154,0.0897,0.0531,-0.312,1,0.0911,0.00905,-0.0164,-0.00495
beta_Cl_SEX_1,0.0808,-0.00834,-0.0595,-0.756,0.00547,0.0274,-0.238,-0.116,-0.0995,-0.0702,0.0911,1,-0.00178,0.0247,0.032
omega_V,0.152,0.0517,0.0633,-0.112,-0.0109,-0.0151,0.0458,0.0329,-0.0416,-0.0131,0.00905,-0.00178,1,-0.153,-0.123
omega_Cl,0.169,0.018,-0.111,-0.174,-0.0476,-0.0509,-0.0547,0.0224,0.0179,0.0162,-0.0164,0.0247,-0.153,1,-0.0785
b,0.0965,-0.0165,0.0202,-0.0934,-0.00872,-0.0119,-0.0412,0.00736,0.0109,0.0115,-0.00495,0.032,-0.123,-0.0785,1
