parameter,value,se_sa,rse_sa
V_pop,74.2086705802896,2.19242249728234,2.95440206668339
beta_V_logtHb,0.392054477424625,0.131945217804342,33.6548172261876
beta_V_logtWT,0.606393106532512,0.0828863135689197,13.6687427142571
Cl_pop,1.36985283206013,0.0678529064649531,4.95329898781233
beta_Cl_SEX_1,0.362522836014711,0.0568909760571292,15.6930737612404
beta_Cl_logtAGE,-0.776493881376603,0.0902857319455799,11.6273590959297
beta_Cl_logtBUN,-0.260990084424053,0.0576150885886593,22.0755852529045
beta_Cl_logtCreatinine,-0.58366505674741,0.0686408420609606,11.7603137737036
beta_Cl_logtHCO3,0.282056337025199,0.119727565454317,42.448103353062
beta_Cl_logtHb,0.757176074686195,0.146220379148773,19.3112783191641
beta_Cl_logtK,0.519591286583077,0.171506697243748,33.0080010331978
beta_Cl_logtP,-0.221226953418859,0.0771170551337371,34.858797240555
omega_V,0.492281811148458,0.0214883949439608,4.36505969900248
omega_Cl,0.617117868765969,0.0216901261787049,3.51474609252167
b,0.209534536862477,0.00673149743162637,3.21259565722304
