V_pop,1,0.0832,-0.0718,-0.382,-0.0815,-0.0875,-0.0805,0.0825,-0.0483,0.0462,0.013,0.0808,0.143,0.157,0.0964
beta_V_logtHb,0.0832,1,-0.197,0.0155,0.00575,-0.0136,0.0386,0.0281,0.00859,-0.134,-0.00223,-0.0157,0.00393,0.0286,0.00436
beta_V_logtWT,-0.0718,-0.197,1,0.034,0.0592,0.0625,-0.0721,-0.0909,-0.024,0.0291,-0.0133,-0.0606,0.0394,-0.107,0.0131
Cl_pop,-0.382,0.0155,0.034,1,0.0484,0.0453,0.255,0.0222,0.0147,-0.000146,0.0198,-0.758,-0.11,-0.178,-0.0767
beta_Cl_logtAGE,-0.0815,0.00575,0.0592,0.0484,1,-0.261,0.075,-0.0414,-0.116,0.0931,0.0233,-0.011,-0.00407,-0.045,-0.0136
beta_Cl_logtBUN,-0.0875,-0.0136,0.0625,0.0453,-0.261,1,-0.626,-0.215,0.0299,0.0105,-0.143,0.0376,0.00166,-0.0553,-0.00846
beta_Cl_logtCreatinine,-0.0805,0.0386,-0.0721,0.255,0.075,-0.626,1,0.331,-0.0339,-0.000127,-0.093,-0.232,0.0394,-0.0446,-0.0457
beta_Cl_logtHCO3,0.0825,0.0281,-0.0909,0.0222,-0.0414,-0.215,0.331,1,-0.0154,0.0258,-0.0104,-0.124,0.0219,0.0279,0.00661
beta_Cl_logtHCT,-0.0483,0.00859,-0.024,0.0147,-0.116,0.0299,-0.0339,-0.0154,1,-0.949,-0.157,0.0558,-0.038,0.031,-0.00408
beta_Cl_logtHb,0.0462,-0.134,0.0291,-0.000146,0.0931,0.0105,-0.000127,0.0258,-0.949,1,0.136,-0.0828,0.0305,-0.0248,0.00338
beta_Cl_logtK,0.013,-0.00223,-0.0133,0.0198,0.0233,-0.143,-0.093,-0.0104,-0.157,0.136,1,-0.0444,-0.00826,-0.0202,0.00861
beta_Cl_SEX_1,0.0808,-0.0157,-0.0606,-0.758,-0.011,0.0376,-0.232,-0.124,0.0558,-0.0828,-0.0444,1,-0.00137,0.0352,0.0165
omega_V,0.143,0.00393,0.0394,-0.11,-0.00407,0.00166,0.0394,0.0219,-0.038,0.0305,-0.00826,-0.00137,1,-0.146,-0.158
omega_Cl,0.157,0.0286,-0.107,-0.178,-0.045,-0.0553,-0.0446,0.0279,0.031,-0.0248,-0.0202,0.0352,-0.146,1,-0.0629
b,0.0964,0.00436,0.0131,-0.0767,-0.0136,-0.00846,-0.0457,0.00661,-0.00408,0.00338,0.00861,0.0165,-0.158,-0.0629,1
