V_pop,0.000875,0.000334,-0.000178,-0.000567,-0.000221,-0.000149,-0.000164,0.0003,-0.00069,0.000646,6.41e-05,0.000137,9.4e-05,0.000102,1.88e-05
beta_V_logtHb,0.000334,0.0184,-0.00223,0.000106,7.15e-05,-0.000106,0.000359,0.000468,0.000562,-0.0086,-5.03e-05,-0.000122,1.18e-05,8.54e-05,3.89e-06
beta_V_logtWT,-0.000178,-0.00223,0.00704,0.000143,0.000457,0.000302,-0.000415,-0.000937,-0.000974,0.00115,-0.000185,-0.000292,7.34e-05,-0.000197,7.26e-06
Cl_pop,-0.000567,0.000106,0.000143,0.00252,0.000223,0.000131,0.000878,0.000137,0.000357,-3.47e-06,0.000166,-0.00218,-0.000123,-0.000196,-2.53e-05
beta_Cl_logtAGE,-0.000221,7.15e-05,0.000457,0.000223,0.00844,-0.00138,0.000473,-0.000467,-0.00513,0.00405,0.000357,-5.83e-05,-8.3e-06,-9.11e-05,-8.2e-06
beta_Cl_logtBUN,-0.000149,-0.000106,0.000302,0.000131,-0.00138,0.00331,-0.00247,-0.00152,0.000831,0.000286,-0.00137,0.000124,2.12e-06,-7.01e-05,-3.21e-06
beta_Cl_logtCreatinine,-0.000164,0.000359,-0.000415,0.000878,0.000473,-0.00247,0.00471,0.00279,-0.00112,-4.11e-06,-0.00106,-0.000916,6e-05,-6.74e-05,-2.07e-05
beta_Cl_logtHCO3,0.0003,0.000468,-0.000937,0.000137,-0.000467,-0.00152,0.00279,0.0151,-0.000912,0.0015,-0.000212,-0.000873,5.96e-05,7.54e-05,5.35e-06
beta_Cl_logtHCT,-0.00069,0.000562,-0.000974,0.000357,-0.00513,0.000831,-0.00112,-0.000912,0.233,-0.217,-0.0127,0.00155,-0.000407,0.00033,-1.3e-05
beta_Cl_logtHb,0.000646,-0.0086,0.00115,-3.47e-06,0.00405,0.000286,-4.11e-06,0.0015,-0.217,0.224,0.0107,-0.00225,0.000321,-0.000259,1.05e-05
beta_Cl_logtK,6.41e-05,-5.03e-05,-0.000185,0.000166,0.000357,-0.00137,-0.00106,-0.000212,-0.0127,0.0107,0.0278,-0.000426,-3.06e-05,-7.4e-05,9.45e-06
beta_Cl_SEX_1,0.000137,-0.000122,-0.000292,-0.00218,-5.83e-05,0.000124,-0.000916,-0.000873,0.00155,-0.00225,-0.000426,0.0033,-1.75e-06,4.45e-05,6.24e-06
omega_V,9.4e-05,1.18e-05,7.34e-05,-0.000123,-8.3e-06,2.12e-06,6e-05,5.96e-05,-0.000407,0.000321,-3.06e-05,-1.75e-06,0.000493,-7.15e-05,-2.31e-05
omega_Cl,0.000102,8.54e-05,-0.000197,-0.000196,-9.11e-05,-7.01e-05,-6.74e-05,7.54e-05,0.00033,-0.000259,-7.4e-05,4.45e-05,-7.15e-05,0.000485,-9.12e-06
b,1.88e-05,3.89e-06,7.26e-06,-2.53e-05,-8.2e-06,-3.21e-06,-2.07e-05,5.35e-06,-1.3e-05,1.05e-05,9.45e-06,6.24e-06,-2.31e-05,-9.12e-06,4.34e-05
