Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-1.95126,-1.67489,-0.112614,-2.34835,-1.38683,-0.113909
-1.91472,-1.42417,-0.110259,-2.30529,-1.18374,-0.112153
-1.87817,-1.20694,-0.107904,-2.26224,-1.00567,-0.110397
-1.84163,-0.989718,-0.105549,-2.21919,-0.859805,-0.108641
-1.80509,-0.773445,-0.103193,-2.17613,-0.731237,-0.106885
-1.76855,-0.615376,-0.100838,-2.13308,-0.602669,-0.105129
-1.73201,-0.493304,-0.0984833,-2.09003,-0.494974,-0.103373
-1.69547,-0.39475,-0.0961282,-2.04697,-0.409952,-0.101617
-1.65893,-0.296195,-0.0937731,-2.00392,-0.348461,-0.0998605
-1.62238,-0.197641,-0.091418,-1.96086,-0.291579,-0.0981044
-1.58584,-0.122656,-0.0890629,-1.91781,-0.250136,-0.0963483
-1.5493,-0.0828375,-0.0867078,-1.87476,-0.216938,-0.0945921
-1.51276,-0.0430186,-0.0843528,-1.8317,-0.195038,-0.092836
-1.47622,-0.021381,-0.0819977,-1.78865,-0.180675,-0.0910799
-1.43968,-0.0105538,-0.0796426,-1.7456,-0.172243,-0.0893238
-1.40313,-0.00942263,-0.0772875,-1.70254,-0.168429,-0.0875677
-1.36659,-0.015891,-0.0749324,-1.65949,-0.167487,-0.0858115
-1.33005,-0.0278875,-0.0725773,-1.61643,-0.167845,-0.0840554
-1.29351,-0.0453167,-0.0702222,-1.57338,-0.168236,-0.0822993
-1.25697,-0.0642782,-0.0678671,-1.53033,-0.167051,-0.0805432
-1.22043,-0.0853293,-0.065512,-1.48727,-0.162737,-0.0787871
-1.18389,-0.106205,-0.0631569,-1.44422,-0.153806,-0.0770309
-1.14734,-0.125506,-0.0608018,-1.40117,-0.138715,-0.0752748
-1.1108,-0.141512,-0.0584468,-1.35811,-0.116044,-0.0735187
-1.07426,-0.15291,-0.0560917,-1.31506,-0.0873467,-0.0717626
-1.03772,-0.157987,-0.0537366,-1.272,-0.0582349,-0.0700065
-1.00118,-0.155384,-0.0513815,-1.22895,-0.0346092,-0.0682504
-0.964636,-0.143848,-0.0490264,-1.1859,-0.0223813,-0.0664942
-0.928095,-0.122068,-0.0466713,-1.14284,-0.0273401,-0.0647381
-0.891553,-0.0888231,-0.0443162,-1.09979,-0.0477768,-0.062982
-0.855012,-0.0463188,-0.0419611,-1.05674,-0.0674201,-0.0612259
-0.81847,-0.0123837,-0.039606,-1.01368,-0.0690524,-0.0594698
-0.781928,-0.00913856,-0.0372509,-0.970628,-0.056298,-0.0577136
-0.745387,-0.0484253,-0.0348958,-0.927574,-0.0577153,-0.0559575
-0.708845,-0.0975056,-0.0325408,-0.88452,-0.0816898,-0.0542014
-0.672304,-0.114849,-0.0301857,-0.841466,-0.0991492,-0.0524453
-0.635762,-0.0778571,-0.0278306,-0.798412,-0.0794541,-0.0506892
-0.599221,-0.0357996,-0.0254755,-0.755359,-0.0322361,-0.0489331
-0.562679,-0.0416604,-0.0231204,-0.712305,0.00135872,-0.0471769
-0.526138,-0.0432927,-0.0207653,-0.669251,-0.000535627,-0.0454208
-0.489596,-0.055024,-0.0184102,-0.626197,-0.0302784,-0.0436647
-0.453055,-0.0201766,-0.0160551,-0.583143,-0.0465612,-0.0419086
-0.416513,-0.00471844,-0.0137,-0.54009,0.00942667,-0.0401525
-0.379971,0.0242428,-0.0113449,-0.497036,0.0176994,-0.0383963
-0.34343,0.0683498,-0.00898984,-0.453982,-0.00640018,-0.0366402
-0.306888,0.0200443,-0.00663475,-0.410928,-0.0301786,-0.0348841
-0.270347,0.0155121,-0.00427966,-0.367875,-0.0688318,-0.033128
-0.233805,0.0136409,-0.00192457,-0.324821,0.00103649,-0.0313719
-0.197264,0.0802746,0.000430519,-0.281767,0.00962021,-0.0296157
-0.160722,-0.00446211,0.00278561,-0.238713,-0.0415716,-0.0278596
-0.124181,-0.0291956,0.0051407,-0.195659,-0.0234196,-0.0261035
-0.0876391,0.0638085,0.00749579,-0.152606,0.0343534,-0.0243474
-0.0510976,0.0707291,0.00985088,-0.109552,-0.00393019,-0.0225913
-0.014556,0.0253037,0.012206,-0.066498,0.0331538,-0.0208352
0.0219855,0.0563539,0.0145611,-0.0234443,-0.0252714,-0.019079
0.058527,-0.0199493,0.0169162,0.0196095,-0.0298082,-0.0173229
0.0950686,0.0625432,0.0192712,0.0626633,-0.00281585,-0.0155668
0.13161,0.0722019,0.0216263,0.105717,-0.00507774,-0.0138107
0.168152,0.00295421,0.0239814,0.148771,-0.0265333,-0.0120546
0.204693,0.0150276,0.0263365,0.191825,-0.0468771,-0.0102984
0.241235,0.0513448,0.0286916,0.234878,0.014408,-0.00854232
0.277776,0.0415537,0.0310467,0.277932,-0.0604476,-0.0067862
0.314318,0.0286101,0.0334018,0.320986,0.0287323,-0.00503008
0.350859,0.0457216,0.0357569,0.36404,-0.0420046,-0.00327397
0.387401,0.0280656,0.038112,0.407094,-0.0402712,-0.00151785
0.423942,0.00970805,0.0404671,0.450147,-0.0410597,0.000238272
0.460484,0.0651622,0.0428222,0.493201,-0.0110205,0.00199439
0.497026,-0.0255489,0.0451772,0.536255,0.0160768,0.00375051
0.533567,0.00159912,0.0475323,0.579309,-0.00392364,0.00550663
0.570109,0.0678497,0.0498874,0.622363,-0.013521,0.00726275
0.60665,0.107241,0.0522425,0.665416,0.00308847,0.00901887
0.643192,0.0672374,0.0545976,0.70847,-0.0314328,0.010775
0.679733,0.0121016,0.0569527,0.751524,-0.0167247,0.0125311
0.716275,0.00143513,0.0593078,0.794578,0.0387876,0.0142872
0.752816,0.0168251,0.0616629,0.837631,0.0428912,0.0160433
0.789358,0.0352116,0.064018,0.880685,0.0316089,0.0177995
0.825899,0.0501373,0.0663731,0.923739,0.025651,0.0195556
0.862441,0.0587945,0.0687282,0.966793,0.0244231,0.0213117
0.898983,0.0592131,0.0710832,1.00985,0.0230519,0.0230678
0.935524,0.0526393,0.0734383,1.0529,0.0156354,0.0248239
0.972066,0.0410474,0.0757934,1.09595,0.00327995,0.0265801
1.00861,0.0264308,0.0781485,1.13901,-0.00822079,0.0283362
1.04515,0.0106058,0.0805036,1.18206,-0.0132228,0.0300923
1.08169,-0.00557634,0.0828587,1.22512,-0.00947403,0.0318484
1.11823,-0.02156,0.0852138,1.26817,0.00107496,0.0336045
1.15477,-0.0368765,0.0875689,1.31122,0.0174345,0.0353606
1.19131,-0.0509093,0.089924,1.35428,0.0376585,0.0371168
1.22786,-0.0630814,0.0922791,1.39733,0.0604599,0.0388729
1.2644,-0.0730713,0.0946342,1.44038,0.084017,0.040629
1.30094,-0.0799483,0.0969892,1.48344,0.106946,0.0423851
1.33748,-0.0835236,0.0993443,1.52649,0.127668,0.0441412
1.37402,-0.083546,0.101699,1.56955,0.144169,0.0458974
1.41056,-0.078824,0.104055,1.6126,0.156092,0.0476535
1.44711,-0.0627971,0.10641,1.65565,0.158365,0.0494096
1.48365,-0.0460101,0.108765,1.69871,0.155864,0.0511657
