V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
9.32766,0,0.0473397,0,All
15.6456,0.000999001,0.155781,0.000999001,All
20.141,0.001998,0.182873,0.001998,All
22.466,0.002997,0.199983,0.002997,All
22.498,0.003996,0.202612,0.003996,All
23.1709,0.004995,0.212,0.004995,All
24.7923,0.00599401,0.225656,0.00599401,All
25.7383,0.00699301,0.23539,0.00699301,All
26.7972,0.00799201,0.23787,0.00799201,All
27.7192,0.00899101,0.261009,0.00899101,All
29.1904,0.00999001,0.269239,0.00999001,All
29.5377,0.010989,0.290816,0.010989,All
29.6191,0.011988,0.29117,0.011988,All
29.8457,0.012987,0.294078,0.012987,All
29.9246,0.013986,0.306448,0.013986,All
29.9325,0.014985,0.320609,0.014985,All
30.1148,0.015984,0.334862,0.015984,All
30.1761,0.016983,0.337097,0.016983,All
30.5865,0.017982,0.344108,0.017982,All
30.68,0.018981,0.354051,0.018981,All
31.3465,0.01998,0.355971,0.01998,All
31.3828,0.020979,0.381487,0.020979,All
32.4352,0.021978,0.402536,0.021978,All
32.9947,0.022977,0.404445,0.022977,All
33.0776,0.023976,0.405001,0.023976,All
33.477,0.024975,0.425505,0.024975,All
33.9234,0.025974,0.425833,0.025974,All
34.0171,0.026973,0.426132,0.026973,All
34.1426,0.027972,0.427006,0.027972,All
34.3428,0.028971,0.427596,0.028971,All
34.889,0.02997,0.432049,0.02997,All
35.1359,0.030969,0.435034,0.030969,All
35.2386,0.031968,0.444235,0.031968,All
35.3679,0.032967,0.445107,0.032967,All
35.6455,0.033966,0.450633,0.033966,All
35.6692,0.034965,0.460388,0.034965,All
35.7254,0.035964,0.460761,0.035964,All
36.1912,0.036963,0.472501,0.036963,All
36.2385,0.037962,0.474171,0.037962,All
36.3135,0.038961,0.475657,0.038961,All
36.4856,0.03996,0.477356,0.03996,All
36.6756,0.040959,0.477479,0.040959,All
37.472,0.041958,0.494884,0.041958,All
38.1047,0.042957,0.502567,0.042957,All
38.14,0.043956,0.509907,0.043956,All
38.2912,0.044955,0.513927,0.044955,All
38.3062,0.045954,0.517045,0.045954,All
38.8304,0.046953,0.517055,0.046953,All
39.0903,0.047952,0.519614,0.047952,All
39.2959,0.048951,0.524885,0.048951,All
39.5862,0.04995,0.527296,0.04995,All
39.6214,0.0509491,0.540113,0.0509491,All
39.7774,0.0519481,0.540663,0.0519481,All
39.8763,0.0529471,0.542062,0.0529471,All
39.9278,0.0539461,0.543344,0.0539461,All
40.1787,0.0549451,0.547829,0.0549451,All
40.2757,0.0559441,0.554374,0.0559441,All
40.582,0.0569431,0.555016,0.0569431,All
40.6425,0.0579421,0.556757,0.0579421,All
40.7994,0.0589411,0.559728,0.0589411,All
40.9793,0.0599401,0.561341,0.0599401,All
