V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
20.6672,0.000615477,0.338955,0.134982,All
30.7103,0.00307739,0.705304,0.331831,All
40.7534,0.00615477,1.07165,0.374013,All
50.7966,0.0113863,1.438,0.309334,All
60.8397,0.0193875,1.80435,0.26434,All
70.8828,0.0171308,2.1707,0.222158,All
80.9259,0.0150792,2.53705,0.157479,All
90.9691,0.0101554,2.9034,0.174352,All
101.012,0.00584704,3.26975,0.118109,All
111.055,0.00369286,3.6361,0.0787396,All
121.098,0.00266707,4.00244,0.104049,All
131.142,0.00215417,4.36879,0.0731153,All
141.185,0.000923216,4.73514,0.0562425,All
151.228,0.000923216,5.10149,0.0478062,All
161.271,0.000615477,5.46784,0.0618668,All
171.314,0.000615477,5.83419,0.0534304,All
181.357,0.000820637,6.20054,0.044994,All
191.4,0.000205159,6.56689,0.0168728,All
201.443,0,6.93324,0.0337455,All
211.487,0.000205159,7.29958,0.0253091,All
221.53,0.000205159,7.66593,0.0168728,All
231.573,0.00010258,8.03228,0.0309334,All
241.616,0.00010258,8.39863,0.0112485,All
251.659,0.000205159,8.76498,0.0140606,All
261.702,0.000205159,9.13133,0.00562425,All
271.745,0.00010258,9.49768,0.0168728,All
281.788,0,9.86403,0.00843638,All
291.832,0,10.2304,0.0112485,All
301.875,0,10.5967,0.00843638,All
311.918,0,10.9631,0.00562425,All
321.961,0,11.3294,0,All
332.004,0.00010258,11.6958,0.00281213,All
