V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
9.32766,4.30697e-05,5.25165e-05,0.0473397,0.00295659,2.75968e-05,All
15.3317,0.00062164,0.00157655,0.492735,0.340406,0.0802246,All
21.3357,0.00228744,0.00976793,0.93813,0.380876,0.24892,All
27.3398,0.00473639,0.0306363,1.38353,0.315511,0.405087,All
33.3438,0.00726501,0.0667869,1.82892,0.244918,0.529517,All
39.3478,0.00933953,0.116944,2.27432,0.18774,0.625318,All
45.3519,0.010731,0.177555,2.71971,0.144406,0.69882,All
51.3559,0.0114351,0.244421,3.16511,0.112051,0.755582,All
57.36,0.0115616,0.31371,3.6105,0.0878406,0.79984,All
63.364,0.0112566,0.38239,4.0559,0.0695739,0.834709,All
69.368,0.0106603,0.448299,4.50129,0.0556476,0.862458,All
75.3721,0.00988895,0.510051,4.94669,0.0449148,0.884752,All
81.3761,0.00903121,0.566875,5.39208,0.0365559,0.902819,All
87.3802,0.00815017,0.618453,5.83748,0.0299812,0.917579,All
93.3842,0.00728819,0.664782,6.28287,0.0247619,0.929727,All
99.3882,0.00647177,0.706062,6.72827,0.0205834,0.939791,All
105.392,0.0057159,0.742617,7.17366,0.0172116,0.948182,All
111.396,0.00502755,0.774835,7.61906,0.014471,0.955217,All
117.4,0.00440834,0.803127,8.06445,0.0122286,0.961146,All
123.404,0.00385642,0.827905,8.50985,0.0103824,0.966168,All
129.408,0.00336793,0.849562,8.95524,0.00885361,0.970442,All
135.412,0.00293787,0.868464,9.40064,0.00758089,0.974093,All
141.417,0.00256079,0.884946,9.84603,0.00651607,0.977225,All
147.421,0.00223118,0.89931,10.2914,0.00562102,0.979923,All
153.425,0.00194372,0.911823,10.7368,0.00486537,0.982253,All
159.429,0.00169344,0.922724,11.1822,0.0042248,0.984274,All
165.433,0.00147578,0.932223,11.6276,0.00367967,0.986031,All
171.437,0.00128664,0.940503,12.073,0.00321408,0.987563,All
177.441,0.00112235,0.947723,12.5184,0.00281504,0.988904,All
183.445,0.000979673,0.954023,12.9638,0.00247192,0.990079,All
189.449,0.000855757,0.959525,13.4092,0.00217597,0.991113,All
195.453,0.00074811,0.964332,13.8546,0.00191996,0.992024,All
201.457,0.000654561,0.968536,14.3,0.00169786,0.992828,All
207.461,0.000573223,0.972216,14.7454,0.00150469,0.99354,All
213.465,0.000502459,0.975441,15.1908,0.00133622,0.994172,All
219.469,0.000440853,0.978268,15.6362,0.00118896,0.994734,All
225.473,0.000387178,0.98075,16.0816,0.00105993,0.995234,All
231.477,0.000340376,0.982931,16.527,0.000946613,0.99568,All
237.481,0.000299532,0.984849,16.9724,0.000846888,0.996079,All
243.485,0.000263855,0.986538,17.4178,0.000758944,0.996436,All
249.489,0.000232663,0.988027,17.8631,0.000681233,0.996757,All
255.493,0.000205367,0.98934,18.3085,0.000612434,0.997044,All
261.497,0.000181457,0.9905,18.7539,0.000551413,0.997303,All
267.501,0.000160493,0.991525,19.1993,0.000497194,0.997537,All
273.505,0.000142093,0.992432,19.6447,0.000448938,0.997747,All
279.509,0.000125928,0.993235,20.0901,0.000405917,0.997937,All
285.513,0.000111713,0.993948,20.5355,0.000367502,0.998109,All
291.517,9.91993e-05,0.99458,20.9809,0.000333147,0.998265,All
297.522,8.81732e-05,0.995142,21.4263,0.000302378,0.998407,All
303.526,7.8448e-05,0.995642,21.8717,0.000274779,0.998535,All
309.53,6.98619e-05,0.996086,22.3171,0.00024999,0.998652,All
315.534,6.2274e-05,0.996483,22.7625,0.000227694,0.998758,All
321.538,5.55618e-05,0.996836,23.2079,0.000207615,0.998855,All
327.542,4.96185e-05,0.997151,23.6533,0.000189508,0.998943,All
333.546,4.43511e-05,0.997433,24.0987,0.00017316,0.999024,All
339.55,3.96783e-05,0.997685,24.5441,0.000158382,0.999098,All
345.554,3.5529e-05,0.997911,24.9895,0.000145007,0.999165,All
351.558,3.18414e-05,0.998113,25.4349,0.000132889,0.999227,All
357.562,2.85609e-05,0.998294,25.8803,0.000121897,0.999284,All
363.566,2.564e-05,0.998456,26.3257,0.000111916,0.999336,All
369.57,2.3037e-05,0.998602,26.7711,0.000102843,0.999384,All
375.574,2.07153e-05,0.998734,27.2164,9.45873e-05,0.999428,All
381.578,1.86426e-05,0.998852,27.6618,8.70676e-05,0.999468,All
387.582,1.67907e-05,0.998958,28.1072,8.02117e-05,0.999505,All
393.586,1.51346e-05,0.999054,28.5526,7.39549e-05,0.99954,All
399.59,1.36524e-05,0.99914,28.998,6.82398e-05,0.999571,All
405.594,1.23248e-05,0.999218,29.4434,6.30146e-05,0.999601,All
411.598,1.11346e-05,0.999288,29.8888,5.82331e-05,0.999628,All
417.602,1.00669e-05,0.999352,30.3342,5.38538e-05,0.999653,All
423.606,9.10812e-06,0.999409,30.7796,4.98396e-05,0.999676,All
429.61,8.24661e-06,0.999461,31.225,4.61569e-05,0.999697,All
435.614,7.47188e-06,0.999509,31.6704,4.27757e-05,0.999717,All
441.618,6.77466e-06,0.999551,32.1158,3.96688e-05,0.999735,All
447.622,6.14673e-06,0.99959,32.5612,3.68118e-05,0.999752,All
453.627,5.58078e-06,0.999625,33.0066,3.41825e-05,0.999768,All
459.631,5.07032e-06,0.999657,33.452,3.17611e-05,0.999783,All
465.635,4.60959e-06,0.999686,33.8974,2.95294e-05,0.999796,All
471.639,4.19344e-06,0.999713,34.3428,2.74712e-05,0.999809,All
477.643,3.81731e-06,0.999737,34.7882,2.55716e-05,0.999821,All
483.647,3.4771e-06,0.999758,35.2336,2.38173e-05,0.999832,All
489.651,3.16919e-06,0.999778,35.679,2.2196e-05,0.999842,All
495.655,2.89031e-06,0.999797,36.1244,2.06966e-05,0.999852,All
501.659,2.63756e-06,0.999813,36.5697,1.93092e-05,0.99986,All
507.663,2.40836e-06,0.999828,37.0151,1.80245e-05,0.999869,All
513.667,2.20036e-06,0.999842,37.4605,1.68342e-05,0.999877,All
519.671,2.01149e-06,0.999855,37.9059,1.57307e-05,0.999884,All
525.675,1.83988e-06,0.999866,38.3513,1.47071e-05,0.999891,All
531.679,1.68387e-06,0.999877,38.7967,1.37569e-05,0.999897,All
537.683,1.54194e-06,0.999887,39.2421,1.28745e-05,0.999903,All
543.687,1.41274e-06,0.999895,39.6875,1.20546e-05,0.999908,All
549.691,1.29507e-06,0.999904,40.1329,1.12922e-05,0.999914,All
555.695,1.18784e-06,0.999911,40.5783,1.0583e-05,0.999918,All
561.699,1.09006e-06,0.999918,41.0237,9.92297e-06,0.999923,All
567.703,1.00085e-06,0.999924,41.4691,9.30828e-06,0.999927,All
573.707,9.19408e-07,0.99993,41.9145,8.73556e-06,0.999931,All
579.711,8.45023e-07,0.999935,42.3599,8.20167e-06,0.999935,All
585.715,7.77044e-07,0.99994,42.8053,7.70373e-06,0.999939,All
591.719,7.14886e-07,0.999945,43.2507,7.2391e-06,0.999942,All
597.723,6.5802e-07,0.999949,43.6961,6.80533e-06,0.999945,All
603.727,6.05969e-07,0.999952,44.1415,6.40018e-06,0.999948,All
