pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.20917,0.000634115,-4,0,All
-1.98334,0.000634115,-3.70035,0.00126823,-3.31385,0.000634115,All
-1.5841,0.00126823,-3.09466,0.00190235,-2.54884,0.00126823,All
-1.57649,0.00190235,-3.07818,0.00253646,-2.39101,0.00190235,All
-1.57386,0.00253646,-3.04668,0.00317058,-2.30528,0.00253646,All
-1.52656,0.00317058,-3.0183,0.00380469,-2.30096,0.00317058,All
-1.51438,0.00380469,-2.90457,0.00443881,-2.22733,0.00380469,All
-1.4954,0.00443881,-2.69617,0.00507292,-2.15785,0.00443881,All
-1.49118,0.00507292,-2.63405,0.00570704,-2.11508,0.00507292,All
-1.48236,0.00570704,-2.59049,0.00634115,-2.10396,0.00570704,All
-1.46248,0.00634115,-2.33797,0.00697527,-2.10076,0.00634115,All
-1.44829,0.00697527,-2.30313,0.00760938,-2.09231,0.00697527,All
-1.44506,0.00760938,-2.28207,0.0082435,-2.07878,0.00760938,All
-1.40697,0.0082435,-2.26295,0.00887762,-2.07059,0.0082435,All
-1.40294,0.00887762,-1.97047,0.00951173,-2.03362,0.00887762,All
-1.39507,0.00951173,-1.91488,0.0101458,-2.0279,0.00951173,All
-1.39327,0.0101458,-1.85821,0.01078,-2.0137,0.0101458,All
-1.36306,0.01078,-1.83532,0.0114141,-2.01033,0.01078,All
-1.35722,0.0114141,-1.83457,0.0120482,-1.99243,0.0114141,All
-1.33538,0.0120482,-1.7842,0.0126823,-1.92271,0.0120482,All
-1.3313,0.0126823,-1.76031,0.0133164,-1.89108,0.0126823,All
-1.33098,0.0133164,-1.74975,0.0139505,-1.86786,0.0133164,All
-1.33056,0.0139505,-1.72979,0.0145847,-1.86162,0.0139505,All
-1.32486,0.0145847,-1.72921,0.0152188,-1.85555,0.0145847,All
-1.31636,0.0152188,-1.70647,0.0158529,-1.8552,0.0152188,All
-1.30486,0.0158529,-1.67042,0.016487,-1.85511,0.0158529,All
-1.29838,0.016487,-1.66156,0.0171211,-1.80735,0.016487,All
-1.29523,0.0171211,-1.64099,0.0177552,-1.79246,0.0171211,All
-1.29024,0.0177552,-1.56686,0.0183893,-1.78266,0.0177552,All
-1.28957,0.0183893,-1.55847,0.0190235,-1.77566,0.0183893,All
-1.28904,0.0190235,-1.52566,0.0196576,-1.77248,0.0190235,All
-1.28885,0.0196576,-1.46802,0.0202917,-1.77169,0.0196576,All
-1.28435,0.0202917,-1.45283,0.0209258,-1.765,0.0202917,All
-1.28157,0.0209258,-1.43961,0.0215599,-1.74765,0.0209258,All
-1.27777,0.0215599,-1.42296,0.022194,-1.7383,0.0215599,All
-1.27501,0.022194,-1.39996,0.0228282,-1.73304,0.022194,All
-1.27316,0.0228282,-1.37895,0.0234623,-1.72819,0.0228282,All
-1.27192,0.0234623,-1.36105,0.0240964,-1.71354,0.0234623,All
-1.2717,0.0240964,-1.35723,0.0247305,-1.6877,0.0240964,All
-1.27032,0.0247305,-1.33943,0.0253646,-1.67994,0.0247305,All
-1.26642,0.0253646,-1.32076,0.0259987,-1.65972,0.0253646,All
-1.25969,0.0259987,-1.314,0.0266328,-1.65819,0.0259987,All
-1.2581,0.0266328,-1.30033,0.027267,-1.6503,0.0266328,All
-1.25785,0.027267,-1.28372,0.0279011,-1.61798,0.027267,All
-1.25633,0.0279011,-1.28321,0.0285352,-1.61478,0.0279011,All
-1.25277,0.0285352,-1.27063,0.0291693,-1.60745,0.0285352,All
-1.24809,0.0291693,-1.24264,0.0298034,-1.60079,0.0291693,All
-1.24792,0.0298034,-1.21224,0.0304375,-1.60033,0.0298034,All
-1.24724,0.0304375,-1.20945,0.0310717,-1.59557,0.0304375,All
-1.247,0.0310717,-1.18578,0.0317058,-1.59444,0.0310717,All
-1.24524,0.0317058,-1.15726,0.0323399,-1.59364,0.0317058,All
-1.24511,0.0323399,-1.13976,0.032974,-1.59115,0.0323399,All
-1.24414,0.032974,-1.11611,0.0336081,-1.5887,0.032974,All
-1.22802,0.0336081,-1.08809,0.0342422,-1.5837,0.0336081,All
-1.22573,0.0342422,-1.08534,0.0348763,-1.5829,0.0342422,All
-1.22464,0.0348763,-1.07839,0.0355105,-1.5773,0.0348763,All
-1.22096,0.0355105,-1.07598,0.0361446,-1.57344,0.0355105,All
-1.22064,0.0361446,-1.04652,0.0367787,-1.56781,0.0361446,All
-1.22013,0.0367787,-1.03584,0.0374128,-1.55891,0.0367787,All
-1.21115,0.0374128,-1.02763,0.0380469,-1.5511,0.0374128,All
-1.20401,0.0380469,-1.00063,0.038681,-1.55102,0.0380469,All
-1.20224,0.038681,-0.998699,0.0393152,-1.54706,0.038681,All
-1.2013,0.0393152,-0.990893,0.0399493,-1.54467,0.0393152,All
-1.19786,0.0399493,-0.984331,0.0405834,-1.54204,0.0399493,All
-1.19715,0.0405834,-0.975697,0.0412175,-1.53777,0.0405834,All
-1.19714,0.0412175,-0.975071,0.0418516,-1.52966,0.0412175,All
-1.19037,0.0418516,-0.949133,0.0424857,-1.52472,0.0418516,All
-1.18869,0.0424857,-0.942736,0.0431198,-1.51862,0.0424857,All
-1.18573,0.0431198,-0.924862,0.043754,-1.51225,0.0431198,All
-1.18337,0.043754,-0.907629,0.0443881,-1.51114,0.043754,All
-1.18032,0.0443881,-0.900284,0.0450222,-1.50775,0.0443881,All
-1.1794,0.0450222,-0.894332,0.0456563,-1.49873,0.0450222,All
-1.17843,0.0456563,-0.892608,0.0462904,-1.49764,0.0456563,All
-1.17465,0.0462904,-0.887497,0.0469245,-1.49207,0.0462904,All
-1.17213,0.0469245,-0.876127,0.0475587,-1.48862,0.0469245,All
-1.16772,0.0475587,-0.867477,0.0481928,-1.4837,0.0475587,All
-1.162,0.0481928,-0.859891,0.0488269,-1.48032,0.0481928,All
-1.16083,0.0488269,-0.85842,0.049461,-1.47973,0.0488269,All
-1.15628,0.049461,-0.856057,0.0500951,-1.47817,0.049461,All
