pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.74872,0.00831061,-4.12654,0.00393337,-3.23646,0.00419904,All
-1.27946,0.166212,-3.9613,0,-3.08167,0,All
-0.810203,0.47232,-3.79606,0,-2.92688,0,All
-0.340946,0.483401,-3.63081,0.00393337,-2.77209,0,All
0.128311,0.380903,-3.46557,0,-2.6173,0.00419904,All
0.597567,0.253474,-3.30032,0,-2.46251,0.00419904,All
1.06682,0.13851,-3.13508,0.00786675,-2.30772,0.00839809,All
1.53608,0.106653,-2.96983,0.0118001,-2.15293,0.0293933,All
2.00534,0.0484786,-2.80459,0,-1.99814,0.0293933,All
2.47459,0.0332424,-2.63934,0.0118001,-1.84335,0.0503885,All
2.94385,0.0221616,-2.4741,0,-1.68856,0.0545876,All
3.41311,0.0124659,-2.30886,0.0157335,-1.53377,0.155365,All
3.88236,0.0193914,-2.14361,0,-1.37898,0.13017,All
4.35162,0.0152361,-1.97837,0.00786675,-1.22419,0.151166,All
4.82088,0.0013851,-1.81312,0.0236002,-1.0694,0.289734,All
5.29013,0.00969571,-1.64788,0.0275336,-0.914612,0.26454,All
5.75939,0.0027702,-1.48263,0.0236002,-0.759822,0.361118,All
6.22865,0.0013851,-1.31739,0.0472005,-0.605033,0.344322,All
6.6979,0,-1.15214,0.0393337,-0.450243,0.377914,All
7.16716,0.0013851,-0.986899,0.0511339,-0.295453,0.436701,All
7.63642,0,-0.821655,0.141601,-0.140664,0.411506,All
8.10567,0,-0.656411,0.157335,0.0141256,0.340123,All
8.57493,0,-0.491166,0.228136,0.168915,0.386312,All
9.04419,0,-0.325922,0.401204,0.323705,0.407307,All
9.51344,0,-0.160677,0.774875,0.478494,0.335924,All
9.9827,0,0.00456728,1.02661,0.633284,0.323326,All
10.452,0,0.169812,0.841742,0.788073,0.293933,All
10.9212,0,0.335056,0.735541,0.942863,0.310729,All
11.3905,0,0.500301,0.590006,1.09765,0.151166,All
11.8597,0.0013851,0.665545,0.385471,1.25244,0.17636,All
12.329,0.0013851,0.83079,0.29107,1.40723,0.193156,All
12.7982,0,0.996034,0.153402,1.56202,0.117573,All
13.2675,0,1.16128,0.0747341,1.71681,0.0839809,All
13.7368,0.0013851,1.32652,0.0393337,1.8716,0.0713838,All
14.206,0,1.49177,0.0393337,2.02639,0.0629857,All
14.6753,0,1.65701,0.031467,2.18118,0.0377914,All
15.1445,0,1.82226,0.00393337,2.33597,0.0545876,All
15.6138,0.0013851,1.9875,0.00393337,2.49076,0.0503885,All
16.083,0,2.15275,0,2.64555,0.0629857,All
16.5523,0.0013851,2.31799,0.00786675,2.80034,0.0545876,All
