standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-3.8484,0.000999001,-3.4737,0.000999001,All
-2.93661,0.001998,-2.96588,0.001998,All
-2.49234,0.002997,-2.40435,0.002997,All
-2.22848,0.003996,-2.19368,0.003996,All
-2.18782,0.004995,-2.1865,0.004995,All
-2.13624,0.00599401,-2.1703,0.00599401,All
-2.1157,0.00699301,-2.16219,0.00699301,All
-2.04859,0.00799201,-2.14734,0.00799201,All
-1.9697,0.00899101,-2.12737,0.00899101,All
-1.87976,0.00999001,-2.06865,0.00999001,All
-1.85084,0.010989,-2.0599,0.010989,All
-1.8418,0.011988,-2.05456,0.011988,All
-1.70151,0.012987,-2.05223,0.012987,All
-1.69022,0.013986,-2.01764,0.013986,All
-1.68894,0.014985,-1.93361,0.014985,All
-1.68606,0.015984,-1.90473,0.015984,All
-1.67653,0.016983,-1.75653,0.016983,All
-1.62651,0.017982,-1.74472,0.017982,All
-1.59737,0.018981,-1.68779,0.018981,All
-1.51527,0.01998,-1.66333,0.01998,All
-1.51228,0.020979,-1.63932,0.020979,All
-1.4735,0.021978,-1.58434,0.021978,All
-1.45951,0.022977,-1.58399,0.022977,All
-1.45572,0.023976,-1.58047,0.023976,All
-1.44197,0.024975,-1.47776,0.024975,All
-1.40983,0.025974,-1.4727,0.025974,All
-1.38911,0.026973,-1.46712,0.026973,All
-1.38564,0.027972,-1.4645,0.027972,All
-1.37635,0.028971,-1.4395,0.028971,All
-1.37179,0.02997,-1.40917,0.02997,All
-1.3617,0.030969,-1.37552,0.030969,All
-1.35519,0.031968,-1.35698,0.031968,All
-1.35465,0.032967,-1.3204,0.032967,All
-1.35279,0.033966,-1.30106,0.033966,All
-1.33039,0.034965,-1.29684,0.034965,All
-1.30812,0.035964,-1.29036,0.035964,All
-1.30701,0.036963,-1.2719,0.036963,All
-1.27567,0.037962,-1.2481,0.037962,All
-1.26706,0.038961,-1.24631,0.038961,All
-1.26644,0.03996,-1.24128,0.03996,All
-1.25047,0.040959,-1.23189,0.040959,All
-1.24824,0.041958,-1.20186,0.041958,All
-1.24519,0.042957,-1.15616,0.042957,All
-1.2213,0.043956,-1.13639,0.043956,All
-1.21899,0.044955,-1.13429,0.044955,All
-1.19239,0.045954,-1.11962,0.045954,All
-1.17999,0.046953,-1.11116,0.046953,All
-1.15771,0.047952,-1.08334,0.047952,All
-1.1572,0.048951,-1.07633,0.048951,All
-1.14815,0.04995,-1.07427,0.04995,All
-1.14366,0.0509491,-1.06712,0.0509491,All
-1.13797,0.0519481,-1.06209,0.0519481,All
-1.13199,0.0529471,-1.04233,0.0529471,All
-1.10285,0.0539461,-1.03919,0.0539461,All
-1.10085,0.0549451,-1.03387,0.0549451,All
-1.09674,0.0559441,-1.0332,0.0559441,All
-1.0914,0.0569431,-1.0066,0.0569431,All
-1.0756,0.0579421,-1.00609,0.0579421,All
-1.06775,0.0589411,-1.006,0.0589411,All
-1.05086,0.0599401,-0.995935,0.0599401,All
-1.04848,0.0609391,-0.990643,0.0609391,All
-1.04587,0.0619381,-0.981458,0.0619381,All
-1.03985,0.0629371,-0.964255,0.0629371,All
-1.00488,0.0639361,-0.963775,0.0639361,All
-1.00421,0.0649351,-0.961987,0.0649351,All
-1.00298,0.0659341,-0.945554,0.0659341,All
-0.998607,0.0669331,-0.936746,0.0669331,All
-0.998248,0.0679321,-0.933636,0.0679321,All
-0.996765,0.0689311,-0.930077,0.0689311,All
-0.996581,0.0699301,-0.927348,0.0699301,All
-0.98912,0.0709291,-0.919297,0.0709291,All
-0.986598,0.0719281,-0.916189,0.0719281,All
-0.983571,0.0729271,-0.913969,0.0729271,All
-0.957067,0.0739261,-0.909088,0.0739261,All
-0.951738,0.0749251,-0.900073,0.0749251,All
-0.948953,0.0759241,-0.889943,0.0759241,All
-0.943546,0.0769231,-0.886167,0.0769231,All
-0.928613,0.0779221,-0.878814,0.0779221,All
-0.925395,0.0789211,-0.878754,0.0789211,All
-0.917473,0.0799201,-0.87606,0.0799201,All
-0.912597,0.0809191,-0.871227,0.0809191,All
-0.906761,0.0819181,-0.863695,0.0819181,All
-0.905064,0.0829171,-0.856869,0.0829171,All
