standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-3.7537,0.00543964,-3.37941,0.0054631,All
-3.56431,0,-3.19083,0,All
-3.37492,0,-3.00225,0.0054631,All
-3.18553,0,-2.81367,0,All
-2.99614,0.00543964,-2.6251,0,All
-2.80675,0,-2.43652,0.0054631,All
-2.61736,0,-2.24794,0.0218524,All
-2.42797,0.00543964,-2.05936,0.0382417,All
-2.23857,0.0108793,-1.87078,0.0109262,All
-2.04918,0.0217586,-1.68221,0.0273155,All
-1.85979,0.0163189,-1.49363,0.0491679,All
-1.6704,0.0380775,-1.30505,0.0600941,All
-1.48101,0.0435171,-1.11647,0.0819465,All
-1.29162,0.0979135,-0.927895,0.15843,All
-1.10223,0.0979135,-0.739317,0.202135,All
-0.912837,0.163189,-0.550739,0.207598,All
-0.723445,0.195827,-0.362161,0.349638,All
-0.534054,0.429732,-0.173583,0.404269,All
-0.344663,0.505887,0.0149945,0.677425,All
-0.155272,0.859463,0.203572,0.644646,All
0.0341193,1.09881,0.39215,0.644646,All
0.22351,0.647317,0.580728,0.4589,All
0.412902,0.375335,0.769306,0.295007,All
0.602293,0.331818,0.957884,0.360565,All
0.791684,0.174068,1.14646,0.24584,All
0.981075,0.0870342,1.33504,0.152967,All
1.17047,0.0652757,1.52362,0.125651,All
1.35986,0.0707153,1.7122,0.109262,All
1.54925,0.0326378,1.90077,0.0437048,All
1.73864,0.0489568,2.08935,0.054631,All
1.92803,0,2.27793,0.0163893,All
2.11742,0.0163189,2.46651,0.0109262,All
