trans_Cl_vs_AGE_abscissa,trans_Cl_vs_AGE_spline,trans_Cl_vs_AGE_regression,trans_Cl_vs_AnionGap_abscissa,trans_Cl_vs_AnionGap_spline,trans_Cl_vs_AnionGap_regression,trans_Cl_vs_BUN_abscissa,trans_Cl_vs_BUN_spline,trans_Cl_vs_BUN_regression,trans_Cl_vs_Ca_abscissa,trans_Cl_vs_Ca_spline,trans_Cl_vs_Ca_regression,trans_Cl_vs_Chloride_abscissa,trans_Cl_vs_Chloride_spline,trans_Cl_vs_Chloride_regression,trans_Cl_vs_Creatinine_abscissa,trans_Cl_vs_Creatinine_spline,trans_Cl_vs_Creatinine_regression,trans_Cl_vs_Glucose_abscissa,trans_Cl_vs_Glucose_spline,trans_Cl_vs_Glucose_regression,trans_Cl_vs_HCO3_abscissa,trans_Cl_vs_HCO3_spline,trans_Cl_vs_HCO3_regression,trans_Cl_vs_HCT_abscissa,trans_Cl_vs_HCT_spline,trans_Cl_vs_HCT_regression,trans_Cl_vs_HR_abscissa,trans_Cl_vs_HR_spline,trans_Cl_vs_HR_regression,trans_Cl_vs_Hb_abscissa,trans_Cl_vs_Hb_spline,trans_Cl_vs_Hb_regression,trans_Cl_vs_K_abscissa,trans_Cl_vs_K_spline,trans_Cl_vs_K_regression,trans_Cl_vs_LacticAcid_abscissa,trans_Cl_vs_LacticAcid_spline,trans_Cl_vs_LacticAcid_regression,trans_Cl_vs_Na_abscissa,trans_Cl_vs_Na_spline,trans_Cl_vs_Na_regression,trans_Cl_vs_P_abscissa,trans_Cl_vs_P_spline,trans_Cl_vs_P_regression,trans_Cl_vs_PLT_abscissa,trans_Cl_vs_PLT_spline,trans_Cl_vs_PLT_regression,trans_Cl_vs_Temperature_abscissa,trans_Cl_vs_Temperature_spline,trans_Cl_vs_Temperature_regression,trans_Cl_vs_WBC_abscissa,trans_Cl_vs_WBC_spline,trans_Cl_vs_WBC_regression,trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_Cl_vs_logtAGE_abscissa,trans_Cl_vs_logtAGE_spline,trans_Cl_vs_logtAGE_regression,trans_Cl_vs_logtAnionGap_abscissa,trans_Cl_vs_logtAnionGap_spline,trans_Cl_vs_logtAnionGap_regression,trans_Cl_vs_logtBUN_abscissa,trans_Cl_vs_logtBUN_spline,trans_Cl_vs_logtBUN_regression,trans_Cl_vs_logtCreatinine_abscissa,trans_Cl_vs_logtCreatinine_spline,trans_Cl_vs_logtCreatinine_regression,trans_Cl_vs_logtGlucose_abscissa,trans_Cl_vs_logtGlucose_spline,trans_Cl_vs_logtGlucose_regression,trans_Cl_vs_logtHCO3_abscissa,trans_Cl_vs_logtHCO3_spline,trans_Cl_vs_logtHCO3_regression,trans_Cl_vs_logtHCT_abscissa,trans_Cl_vs_logtHCT_spline,trans_Cl_vs_logtHCT_regression,trans_Cl_vs_logtHb_abscissa,trans_Cl_vs_logtHb_spline,trans_Cl_vs_logtHb_regression,trans_Cl_vs_logtK_abscissa,trans_Cl_vs_logtK_spline,trans_Cl_vs_logtK_regression,trans_Cl_vs_logtLacticAcid_abscissa,trans_Cl_vs_logtLacticAcid_spline,trans_Cl_vs_logtLacticAcid_regression,trans_Cl_vs_logtP_abscissa,trans_Cl_vs_logtP_spline,trans_Cl_vs_logtP_regression,trans_Cl_vs_logtWT_abscissa,trans_Cl_vs_logtWT_spline,trans_Cl_vs_logtWT_regression,trans_V_vs_AGE_abscissa,trans_V_vs_AGE_spline,trans_V_vs_AGE_regression,trans_V_vs_AnionGap_abscissa,trans_V_vs_AnionGap_spline,trans_V_vs_AnionGap_regression,trans_V_vs_BUN_abscissa,trans_V_vs_BUN_spline,trans_V_vs_BUN_regression,trans_V_vs_Ca_abscissa,trans_V_vs_Ca_spline,trans_V_vs_Ca_regression,trans_V_vs_Chloride_abscissa,trans_V_vs_Chloride_spline,trans_V_vs_Chloride_regression,trans_V_vs_Creatinine_abscissa,trans_V_vs_Creatinine_spline,trans_V_vs_Creatinine_regression,trans_V_vs_Glucose_abscissa,trans_V_vs_Glucose_spline,trans_V_vs_Glucose_regression,trans_V_vs_HCO3_abscissa,trans_V_vs_HCO3_spline,trans_V_vs_HCO3_regression,trans_V_vs_HCT_abscissa,trans_V_vs_HCT_spline,trans_V_vs_HCT_regression,trans_V_vs_HR_abscissa,trans_V_vs_HR_spline,trans_V_vs_HR_regression,trans_V_vs_Hb_abscissa,trans_V_vs_Hb_spline,trans_V_vs_Hb_regression,trans_V_vs_K_abscissa,trans_V_vs_K_spline,trans_V_vs_K_regression,trans_V_vs_LacticAcid_abscissa,trans_V_vs_LacticAcid_spline,trans_V_vs_LacticAcid_regression,trans_V_vs_Na_abscissa,trans_V_vs_Na_spline,trans_V_vs_Na_regression,trans_V_vs_P_abscissa,trans_V_vs_P_spline,trans_V_vs_P_regression,trans_V_vs_PLT_abscissa,trans_V_vs_PLT_spline,trans_V_vs_PLT_regression,trans_V_vs_Temperature_abscissa,trans_V_vs_Temperature_spline,trans_V_vs_Temperature_regression,trans_V_vs_WBC_abscissa,trans_V_vs_WBC_spline,trans_V_vs_WBC_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,trans_V_vs_logtAGE_abscissa,trans_V_vs_logtAGE_spline,trans_V_vs_logtAGE_regression,trans_V_vs_logtAnionGap_abscissa,trans_V_vs_logtAnionGap_spline,trans_V_vs_logtAnionGap_regression,trans_V_vs_logtBUN_abscissa,trans_V_vs_logtBUN_spline,trans_V_vs_logtBUN_regression,trans_V_vs_logtCreatinine_abscissa,trans_V_vs_logtCreatinine_spline,trans_V_vs_logtCreatinine_regression,trans_V_vs_logtGlucose_abscissa,trans_V_vs_logtGlucose_spline,trans_V_vs_logtGlucose_regression,trans_V_vs_logtHCO3_abscissa,trans_V_vs_logtHCO3_spline,trans_V_vs_logtHCO3_regression,trans_V_vs_logtHCT_abscissa,trans_V_vs_logtHCT_spline,trans_V_vs_logtHCT_regression,trans_V_vs_logtHb_abscissa,trans_V_vs_logtHb_spline,trans_V_vs_logtHb_regression,trans_V_vs_logtK_abscissa,trans_V_vs_logtK_spline,trans_V_vs_logtK_regression,trans_V_vs_logtLacticAcid_abscissa,trans_V_vs_logtLacticAcid_spline,trans_V_vs_logtLacticAcid_regression,trans_V_vs_logtP_abscissa,trans_V_vs_logtP_spline,trans_V_vs_logtP_regression,trans_V_vs_logtWT_abscissa,trans_V_vs_logtWT_spline,trans_V_vs_logtWT_regression,split
19,1.93627,1.46829,6,0.970475,1.08534,1,1.62878,1.18845,4.6,0.470821,0.723225,74,0.566581,0.665158,0.2,0.649904,1.11906,30,0.491964,0.62195,8,-0.23834,0.122607,15.8,-0.072716,0.182366,39,0.359898,0.378733,4.8,-0.414152,0.0490002,2.5,0.399808,0.735342,0.5,0.556419,0.688441,118,1.12112,0.781555,0.4,1.53455,1.22151,12,0.815893,0.581062,34.4,-0.262707,-0.0879129,0.1,0.682184,0.634493,25.1,1.58704,0.359421,-1.16414,2.11921,1.86117,-0.902692,1.07613,1.34949,-3.26983,2.29918,2.89108,-1.76722,0.994943,1.98165,-1.52572,0.385005,0.661693,-0.962883,-0.344786,-0.170141,-0.680613,-0.15763,0.0474504,-0.742969,-0.502052,-0.156131,-0.498385,0.418005,0.780053,-1.39573,0.606016,0.812433,-2.18342,1.89763,2.06438,-1.15298,1.56937,0.210018,19,4.24257,4.32683,6,4.27708,4.29924,1,4.42576,4.33994,4.6,4.29791,4.22527,74,4.62931,4.30741,0.2,3.89449,4.32959,30,4.08284,4.20198,8,4.60555,4.2292,15.8,4.04453,4.00996,39,4.11288,4.27468,4.8,3.97699,4.00076,2.5,4.06441,4.25318,0.5,4.21727,4.28753,118,4.52966,4.25632,0.4,4.28999,4.35107,12,4.09848,4.29005,34.4,4.24722,4.14392,0.1,4.12093,4.27194,25.1,3.90598,3.8918,-1.16414,4.25406,4.31874,-0.902692,4.27763,4.30062,-3.26983,4.45156,4.4166,-1.76722,3.89381,4.3279,-1.52572,4.002,4.07888,-0.962883,4.64988,4.18754,-0.680613,4.00559,3.90673,-0.742969,3.9282,3.88244,-0.498385,4.05979,4.24078,-1.39573,4.20305,4.25197,-2.18342,4.3375,4.41428,-1.15298,3.75506,3.5845,All
19.7273,1.75284,1.45326,6.33333,1.00988,1.06609,2.77778,1.37497,1.15135,4.72323,0.40081,0.716853,74.7677,0.571716,0.662254,0.294949,1.04704,1.07194,35.596,0.649044,0.618441,8.36364,-0.211146,0.133978,16.198,0.0246248,0.191581,40.3535,0.492439,0.382848,4.95051,-0.211198,0.0628285,2.56061,0.610828,0.72849,0.664646,0.487584,0.676536,118.576,1.03377,0.775127,0.507071,1.18867,1.20008,23.9697,0.516109,0.579048,35.1071,-0.0734334,-0.0808956,0.823232,0.455735,0.630337,26.998,1.14737,0.365593,-1.14832,2.02508,1.84342,-0.883785,1.08671,1.33261,-3.21755,2.27095,2.85338,-1.72812,1.02433,1.9495,-1.49573,0.466093,0.659436,-0.945664,-0.332101,-0.15733,-0.667977,-0.0826514,0.056842,-0.728706,-0.394917,-0.142492,-0.486023,0.528651,0.774249,-1.36023,0.592389,0.805621,-2.14995,1.82554,2.041,-1.13138,1.41826,0.216351,19.7273,4.2475,4.32625,6.33333,4.27976,4.29897,2.77778,4.20893,4.33714,4.72323,4.19839,4.22767,74.7677,4.57771,4.30702,0.294949,4.20431,4.32647,35.596,4.28525,4.20621,8.36364,4.41411,4.23088,16.198,3.98669,4.01707,40.3535,4.20927,4.27509,4.95051,3.97447,4.00883,2.56061,4.15228,4.25459,0.664646,4.22,4.28788,118.576,4.45373,4.25729,0.507071,4.22807,4.34918,23.9697,4.15955,4.29015,35.1071,4.24175,4.14555,0.823232,4.21517,4.27288,26.998,3.87516,3.90492,-1.14832,4.25353,4.31837,-0.883785,4.27858,4.30044,-3.21755,4.43977,4.41459,-1.72812,3.92508,4.32709,-1.49573,4.05602,4.08308,-0.945664,4.55723,4.1894,-0.667977,3.96922,3.91396,-0.728706,3.92786,3.89037,-0.486023,4.10528,4.24205,-1.36023,4.18278,4.25299,-2.14995,4.32286,4.41239,-1.13138,3.75551,3.59777,All
20.4545,1.5694,1.43824,6.66667,1.04928,1.04684,4.55556,1.30993,1.11426,4.84646,0.3308,0.710482,75.5354,0.576851,0.659351,0.389899,1.1657,1.02482,41.1919,0.638651,0.614933,8.72727,-0.183952,0.145348,16.596,0.100155,0.200796,41.7071,0.558321,0.386962,5.10101,-0.00824454,0.0766568,2.62121,0.755875,0.721637,0.829293,0.619258,0.664632,119.152,0.946426,0.768699,0.614141,0.972889,1.17865,35.9394,0.569925,0.577033,35.8141,0.1072,-0.0738784,1.54646,0.612378,0.626181,28.896,0.707708,0.371765,-1.1325,1.93095,1.82566,-0.864878,1.09729,1.31572,-3.16526,2.24271,2.81567,-1.68901,1.05372,1.91734,-1.46574,0.547181,0.657178,-0.928444,-0.319415,-0.144518,-0.655341,-0.0205554,0.0662336,-0.714443,-0.287783,-0.128854,-0.473662,0.639296,0.768445,-1.32473,0.578761,0.798808,-2.11647,1.75344,2.01762,-1.10978,1.26716,0.222685,20.4545,4.25243,4.32568,6.66667,4.28245,4.2987,4.55556,4.18228,4.33435,4.84646,4.09888,4.23008,75.5354,4.52611,4.30663,0.389899,4.26925,4.32334,41.1919,4.35096,4.21044,8.72727,4.22268,4.23255,16.596,3.95119,4.02417,41.7071,4.25947,4.27551,5.10101,3.97195,4.0169,2.62121,4.22289,4.25599,0.829293,4.2375,4.28823,119.152,4.3778,4.25826,0.614141,4.19113,4.3473,35.9394,4.15066,4.29025,35.8141,4.23734,4.14718,1.54646,4.23574,4.27382,28.896,3.84435,3.91804,-1.1325,4.25299,4.31801,-0.864878,4.27954,4.30025,-3.16526,4.42798,4.41258,-1.68901,3.95635,4.32628,-1.46574,4.11005,4.08729,-0.928444,4.46458,4.19125,-0.655341,3.94242,3.92119,-0.714443,3.92752,3.89831,-0.473662,4.15078,4.24332,-1.32473,4.16251,4.25401,-2.11647,4.30821,4.4105,-1.10978,3.75595,3.61104,All
21.1818,1.41356,1.42321,7,1.08868,1.02759,6.33333,1.24639,1.07717,4.9697,0.260789,0.704111,76.303,0.581986,0.656447,0.484848,1.22722,0.977709,46.7879,0.552808,0.611424,9.09091,-0.161486,0.156719,16.9939,0.167522,0.21001,43.0606,0.563257,0.391076,5.25152,0.194709,0.0904851,2.68182,0.778398,0.714785,0.993939,0.581154,0.652728,119.727,0.859079,0.762271,0.721212,0.779611,1.15723,47.9091,0.690481,0.575018,36.5212,0.278412,-0.0668611,2.2697,0.664011,0.622025,30.7939,0.45946,0.377937,-1.11668,1.83681,1.80791,-0.845971,1.10787,1.29884,-3.11298,2.21448,2.77797,-1.64991,1.08311,1.88518,-1.43575,0.628268,0.654921,-0.911224,-0.30673,-0.131706,-0.642706,0.0292341,0.0756252,-0.700181,-0.180648,-0.115215,-0.4613,0.749942,0.762642,-1.28923,0.565133,0.791996,-2.08299,1.68135,1.99424,-1.08818,1.11605,0.229019,21.1818,4.25702,4.3251,7,4.28514,4.29843,6.33333,4.25592,4.33156,4.9697,3.99936,4.23249,76.303,4.47451,4.30624,0.484848,4.28238,4.32021,46.7879,4.33564,4.21467,9.09091,4.07584,4.23422,16.9939,3.92391,4.03128,43.0606,4.26745,4.27592,5.25152,3.96943,4.02497,2.68182,4.26147,4.2574,0.993939,4.27266,4.28858,119.727,4.30188,4.25923,0.721212,4.15883,4.34541,47.9091,4.33142,4.29034,36.5212,4.23408,4.14881,2.2697,4.31937,4.27476,30.7939,3.83061,3.93116,-1.11668,4.25246,4.31764,-0.845971,4.28049,4.30006,-3.11298,4.41618,4.41057,-1.64991,3.98762,4.32546,-1.43575,4.16407,4.0915,-0.911224,4.37192,4.19311,-0.642706,3.92476,3.92842,-0.700181,3.92718,3.90624,-0.4613,4.19627,4.24459,-1.28923,4.14225,4.25503,-2.08299,4.29357,4.40861,-1.08818,3.7564,3.62431,All
21.9091,1.3405,1.40818,7.33333,1.08719,1.00834,8.11111,1.11511,1.04008,5.09293,0.190779,0.697739,77.0707,0.58712,0.653543,0.579798,1.10622,0.930593,52.3838,0.448219,0.607916,9.45455,-0.153206,0.16809,17.3919,0.208468,0.219225,44.4141,0.568193,0.39519,5.40202,0.394806,0.104313,2.74242,0.745383,0.707932,1.15859,0.679285,0.640823,120.303,0.771732,0.755843,0.828283,0.698908,1.1358,59.8788,0.362668,0.573004,37.2283,0.444749,-0.0598438,2.99293,0.6932,0.617868,32.6919,0.32306,0.384109,-1.10085,1.74268,1.79016,-0.827064,1.11844,1.28195,-3.06069,2.18625,2.74026,-1.61081,1.11249,1.85302,-1.40577,0.709356,0.652664,-0.894005,-0.294045,-0.118895,-0.63007,0.0790235,0.0850168,-0.685918,-0.0735135,-0.101577,-0.448939,0.77511,0.756838,-1.25373,0.551505,0.785183,-2.04952,1.60925,1.97085,-1.06658,0.964942,0.235353,21.9091,4.26056,4.32453,7.33333,4.30531,4.29816,8.11111,4.30203,4.32876,5.09293,3.89985,4.2349,77.0707,4.42291,4.30586,0.579798,4.3038,4.31709,52.3838,4.26649,4.2189,9.45455,4.06282,4.23589,17.3919,3.92324,4.03839,44.4141,4.27542,4.27633,5.40202,3.96731,4.03304,2.74242,4.27377,4.2588,1.15859,4.27962,4.28893,120.303,4.22595,4.2602,0.828283,4.15042,4.34352,59.8788,4.17002,4.29044,37.2283,4.23142,4.15044,2.99293,4.2996,4.27571,32.6919,3.82747,3.94428,-1.10085,4.25193,4.31728,-0.827064,4.28144,4.29987,-3.06069,4.40439,4.40856,-1.61081,4.01889,4.32465,-1.40577,4.2181,4.09571,-0.894005,4.27927,4.19497,-0.63007,3.9071,3.93565,-0.685918,3.92684,3.91417,-0.448939,4.2217,4.24586,-1.25373,4.12198,4.25605,-2.04952,4.27892,4.40672,-1.06658,3.75684,3.63759,All
22.6364,1.31221,1.39316,7.66667,1.0857,0.989084,9.88889,1.30302,1.00299,5.21616,0.130584,0.691368,77.8384,0.592255,0.650639,0.674747,0.990855,0.883477,57.9798,0.405161,0.604407,9.81818,-0.144926,0.17946,17.7899,0.249415,0.22844,45.7677,0.573129,0.399304,5.55253,0.384891,0.118142,2.80303,0.690055,0.70108,1.32323,0.751229,0.628919,120.879,0.684385,0.749415,0.935354,0.678104,1.11437,71.8485,0.482094,0.570989,37.9354,0.598257,-0.0528266,3.71616,0.600463,0.613712,34.5899,0.280819,0.390282,-1.08503,1.64855,1.7724,-0.808157,1.12902,1.26506,-3.00841,2.15801,2.70256,-1.5717,1.14188,1.82086,-1.37578,0.744332,0.650407,-0.876785,-0.28136,-0.106083,-0.617434,0.128813,0.0944083,-0.671655,0.0336211,-0.0879382,-0.436578,0.782415,0.751035,-1.21823,0.537878,0.77837,-2.01604,1.53716,1.94747,-1.04498,0.813835,0.241687,22.6364,4.26342,4.32396,7.66667,4.32548,4.29789,9.88889,4.39857,4.32597,5.21616,3.81528,4.23731,77.8384,4.37131,4.30547,0.674747,4.33121,4.31396,57.9798,4.18655,4.22313,9.81818,4.04979,4.23756,17.7899,3.92257,4.0455,45.7677,4.2834,4.27675,5.55253,3.99468,4.0411,2.80303,4.27354,4.2602,1.32323,4.29219,4.28928,120.879,4.15002,4.26118,0.935354,4.15621,4.34163,71.8485,4.34112,4.29054,37.9354,4.23027,4.15207,3.71616,4.30678,4.27665,34.5899,3.83421,3.9574,-1.08503,4.2514,4.31691,-0.808157,4.2824,4.29968,-3.00841,4.3926,4.40655,-1.5717,4.05016,4.32384,-1.37578,4.25222,4.09991,-0.876785,4.18662,4.19683,-0.617434,3.88944,3.94288,-0.671655,3.92651,3.9221,-0.436578,4.24293,4.24713,-1.21823,4.10171,4.25707,-2.01604,4.26428,4.40483,-1.04498,3.75729,3.65086,All
23.3636,1.30749,1.37813,8,1.08422,0.969832,11.6667,1.17677,0.965895,5.33939,0.135419,0.684996,78.6061,0.59739,0.647736,0.769697,0.879521,0.836361,63.5758,0.495471,0.600899,10.1818,-0.134598,0.190831,18.1879,0.272413,0.237654,47.1212,0.572213,0.403419,5.70303,0.343989,0.13197,2.86364,0.663049,0.694227,1.48788,0.674675,0.617015,121.455,0.634334,0.742987,1.04242,0.679356,1.09295,83.8182,0.557373,0.568974,38.6424,0.746757,-0.0458093,4.43939,0.631131,0.609556,36.4879,0.286361,0.396454,-1.06921,1.55442,1.75465,-0.789249,1.1396,1.24818,-2.95613,2.12978,2.66485,-1.5326,1.17127,1.78871,-1.34579,0.7696,0.64815,-0.859565,-0.268675,-0.0932712,-0.604798,0.160004,0.1038,-0.657393,0.140756,-0.0742997,-0.424216,0.789721,0.745231,-1.18273,0.531185,0.771558,-1.98256,1.46506,1.92409,-1.02338,0.662729,0.248021,23.3636,4.26585,4.32338,8,4.34565,4.29761,11.6667,4.33609,4.32318,5.33939,3.82979,4.23971,78.6061,4.31971,4.30508,0.769697,4.32709,4.31083,63.5758,4.13783,4.22735,10.1818,4.0733,4.23923,18.1879,3.93937,4.05261,47.1212,4.28763,4.27716,5.70303,4.02544,4.04917,2.86364,4.24886,4.26161,1.48788,4.31118,4.28963,121.455,4.11638,4.26215,1.04242,4.16834,4.33974,83.8182,4.21662,4.29063,38.6424,4.2297,4.15371,4.43939,4.30687,4.27759,36.4879,3.84692,3.97052,-1.06921,4.25087,4.31655,-0.789249,4.28335,4.29949,-2.95613,4.3808,4.40454,-1.5326,4.08143,4.32303,-1.34579,4.28215,4.10412,-0.859565,4.09397,4.19869,-0.604798,3.88565,3.95011,-0.657393,3.92617,3.93003,-0.424216,4.26416,4.2484,-1.18273,4.1328,4.25809,-1.98256,4.24963,4.40294,-1.02338,3.75773,3.66413,All
24.0909,1.32215,1.3631,8.33333,1.00883,0.95058,13.4444,1.0073,0.928803,5.46263,0.155073,0.678625,79.3737,0.602525,0.644832,0.864646,0.793415,0.789245,69.1717,0.594445,0.597391,10.5455,-0.122222,0.202201,18.5859,0.288184,0.246869,48.4747,0.511803,0.407533,5.85354,0.264614,0.145798,2.92424,0.664648,0.687375,1.65253,0.611882,0.60511,122.03,0.59423,0.736559,1.14949,0.723441,1.07152,95.7879,0.51402,0.56696,39.3495,0.885657,-0.038792,5.16263,0.652052,0.6054,38.3859,0.323733,0.402626,-1.05339,1.50318,1.7369,-0.770342,1.15017,1.23129,-2.90384,2.10155,2.62715,-1.4935,1.20066,1.75655,-1.31581,0.7567,0.645893,-0.842346,-0.257201,-0.0804595,-0.592162,0.182183,0.113192,-0.64313,0.24789,-0.0606612,-0.411855,0.766913,0.739428,-1.14723,0.525582,0.764745,-1.94909,1.40301,1.90071,-1.00178,0.52526,0.254355,24.0909,4.26786,4.32281,8.33333,4.32565,4.29734,13.4444,4.34805,4.32038,5.46263,3.86148,4.24212,79.3737,4.26811,4.30469,0.864646,4.28576,4.30771,69.1717,4.13306,4.23158,10.5455,4.13333,4.2409,18.5859,3.9628,4.05972,48.4747,4.25384,4.27758,5.85354,4.05916,4.05724,2.92424,4.2253,4.26301,1.65253,4.27793,4.28998,122.03,4.09401,4.26312,1.14949,4.19402,4.33785,95.7879,4.2746,4.29073,39.3495,4.23024,4.15534,5.16263,4.28726,4.27854,38.3859,3.86456,3.98364,-1.05339,4.25125,4.31618,-0.770342,4.2843,4.2993,-2.90384,4.36901,4.40253,-1.4935,4.1127,4.32221,-1.31581,4.29258,4.10833,-0.842346,4.01684,4.20055,-0.592162,3.88858,3.95734,-0.64313,3.92583,3.93796,-0.411855,4.27005,4.24967,-1.14723,4.17196,4.25911,-1.94909,4.23711,4.40105,-1.00178,3.75829,3.6774,All
24.8182,1.35216,1.34808,8.66667,0.933441,0.931328,15.2222,0.92179,0.891712,5.58586,0.189067,0.672254,80.1414,0.602234,0.641928,0.959596,0.724952,0.74213,74.7677,0.468028,0.593882,10.9091,-0.109847,0.213572,18.9838,0.299192,0.256083,49.8283,0.45045,0.411647,6.00404,0.178967,0.159627,2.98485,0.709154,0.680522,1.81717,0.557897,0.593206,122.606,0.554125,0.730131,1.25657,0.781998,1.05009,107.758,0.533704,0.564945,40.0566,0.97154,-0.0317748,5.88586,0.563958,0.601243,40.2838,0.372977,0.408798,-1.03756,1.47262,1.71914,-0.751435,1.16075,1.21441,-2.85156,2.07332,2.58944,-1.45439,1.23005,1.72439,-1.28582,0.74048,0.643636,-0.825126,-0.252092,-0.0676477,-0.579526,0.204363,0.122583,-0.628867,0.355025,-0.0470227,-0.399494,0.735316,0.733624,-1.11173,0.519979,0.757933,-1.91561,1.36094,1.87733,-0.980183,0.46258,0.260689,24.8182,4.26938,4.32224,8.66667,4.30566,4.29707,15.2222,4.36183,4.31759,5.58586,3.90981,4.24453,80.1414,4.22465,4.3043,0.959596,4.31545,4.30458,74.7677,4.15836,4.23581,10.9091,4.19337,4.24258,18.9838,3.98995,4.06683,49.8283,4.22153,4.27799,6.00404,4.09186,4.06531,2.98485,4.20343,4.26442,1.81717,4.2909,4.29033,122.606,4.07165,4.26409,1.25657,4.22785,4.33596,107.758,4.34645,4.29083,40.0566,4.23268,4.15697,5.88586,4.32609,4.27948,40.2838,3.88643,3.99676,-1.03756,4.25206,4.31581,-0.751435,4.28526,4.29912,-2.85156,4.35722,4.40052,-1.45439,4.14397,4.3214,-1.28582,4.30131,4.11253,-0.825126,4.02123,4.20241,-0.579526,3.89151,3.96457,-0.628867,3.92549,3.9459,-0.399494,4.27146,4.25094,-1.11173,4.21112,4.26013,-1.91561,4.22879,4.39916,-0.980183,3.75944,3.69067,All
25.5455,1.38273,1.33305,9,0.858052,0.912075,17,0.881905,0.85462,5.70909,0.244487,0.665882,80.9091,0.577914,0.639025,1.05455,0.670305,0.695014,80.3636,0.632001,0.590374,11.2727,-0.077142,0.224942,19.3818,0.309048,0.265298,51.1818,0.389911,0.415761,6.15455,0.0990463,0.173455,3.04545,0.6913,0.67367,1.98182,0.578764,0.581302,123.182,0.514021,0.723703,1.36364,0.84046,1.02866,119.727,0.495429,0.56293,40.7636,0.964332,-0.0247575,6.60909,0.526453,0.597087,42.1818,0.402971,0.41497,-1.02174,1.44206,1.70139,-0.732528,1.15889,1.19752,-2.79927,2.04508,2.55174,-1.41529,1.25943,1.69223,-1.25583,0.72426,0.641379,-0.807906,-0.246983,-0.054836,-0.56689,0.226542,0.131975,-0.614605,0.368892,-0.0333842,-0.387132,0.703719,0.727821,-1.07623,0.514375,0.75112,-1.88213,1.31887,1.85395,-0.958583,0.3999,0.267023,25.5455,4.27053,4.32166,9,4.28566,4.2968,17,4.28253,4.31479,5.70909,3.97577,4.24694,80.9091,4.21722,4.30391,1.05455,4.32955,4.30145,80.3636,4.21327,4.24004,11.2727,4.2292,4.24425,19.3818,4.01751,4.07393,51.1818,4.19159,4.2784,6.15455,4.11992,4.07338,3.04545,4.22982,4.26582,1.98182,4.3278,4.29068,123.182,4.04928,4.26506,1.36364,4.26793,4.33408,119.727,4.37683,4.29093,40.7636,4.23844,4.1586,6.60909,4.26042,4.28042,42.1818,3.91035,4.00988,-1.02174,4.25288,4.31545,-0.732528,4.29263,4.29893,-2.79927,4.34542,4.39851,-1.41529,4.17524,4.32059,-1.25583,4.31005,4.11674,-0.807906,4.02562,4.20427,-0.56689,3.89443,3.97179,-0.614605,3.93939,3.95383,-0.387132,4.27287,4.25221,-1.07623,4.25028,4.26115,-1.88213,4.22048,4.39727,-0.958583,3.76059,3.70394,All
