popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.601665,11.3471,0.601665,0.396575,0.806754,2.2516,2.29375,2.2516,1.4841,3.01911,All
0.662411,11.3491,0.662411,0.436615,0.888207,2.40346,2.46253,2.40346,1.58419,3.22273,All
0.729291,11.3512,0.729291,0.480697,0.977884,2.56555,2.64269,2.56555,1.69103,3.44007,All
0.802923,11.3536,0.802923,0.52923,1.07662,2.73858,2.83499,2.73858,1.80508,3.67208,All
0.883989,11.3562,0.883989,0.582663,1.18531,2.92328,3.03178,2.92328,1.92682,3.91973,All
0.97324,11.359,0.97324,0.641491,1.30499,3.12043,3.23652,3.12043,2.05677,4.18409,All
1.0715,11.3689,1.0715,0.706258,1.43674,3.33088,3.44963,3.33088,2.19548,4.46628,All
1.17968,11.3948,1.17968,0.777565,1.5818,3.38349,3.50215,3.38349,2.23016,4.53682,All
1.29879,11.4314,1.29879,0.856071,1.74151,3.55552,3.67354,3.55552,2.34355,4.76749,All
1.42992,11.4934,1.42992,0.942503,1.91734,3.79531,3.90721,3.79531,2.5016,5.08902,All
1.57429,11.5628,1.57429,1.03766,2.11092,4.05128,4.15378,4.05128,2.67032,5.43224,All
1.73324,11.6391,1.73324,1.14243,2.32405,4.32451,4.41571,4.32451,2.85041,5.7986,All
1.90823,11.7369,1.90823,1.25777,2.55869,4.51537,4.59887,4.51537,2.97621,6.05453,All
2.06546,11.8398,2.06546,1.36141,2.76952,4.61616,4.69594,4.61616,3.04265,6.18968,All
2.10089,11.8661,2.10089,1.38476,2.81703,4.92749,4.9988,4.92749,3.24785,6.60712,All
2.31301,12.0267,2.31301,1.52457,3.10144,5.25981,5.32763,5.25981,3.4669,7.05272,All
2.54654,12.2035,2.54654,1.6785,3.41458,5.61454,5.68431,5.61454,3.70071,7.52838,All
2.80365,12.4041,2.80365,1.84797,3.75933,5.64725,5.71748,5.64725,3.72227,7.57223,All
3.08671,12.6341,3.08671,2.03454,4.13888,5.9932,6.07033,5.9932,3.9503,8.03611,All
3.39836,12.8835,3.39836,2.23996,4.55676,6.3974,6.48761,6.3974,4.21671,8.57808,All
3.52926,12.9836,3.52926,2.32624,4.73228,6.77914,6.89186,6.77914,4.46833,9.08994,All
3.74147,13.1391,3.74147,2.46611,5.01683,6.82885,6.9458,6.82885,4.5011,9.15661,All
4.11922,13.3819,4.11922,2.7151,5.52335,7.28941,7.43965,7.28941,4.80466,9.77415,All
4.53512,13.5793,4.53512,2.98923,6.081,7.78102,7.89074,7.78102,5.1287,10.4333,All
4.993,13.6862,4.993,3.29103,6.69496,7.91102,8.01191,7.91102,5.21439,10.6077,All
4.99306,13.6862,4.99306,3.29107,6.69504,8.3058,8.45919,8.3058,5.47459,11.137,All
5.49711,13.6621,5.49711,3.62331,7.37091,8.86596,9.06708,8.86596,5.84381,11.8881,All
6.05212,13.6456,6.05212,3.98913,8.11511,9.0429,9.20987,9.0429,5.96044,12.1254,All
6.45685,13.7947,6.45685,4.2559,8.65781,9.4639,9.58906,9.4639,6.23794,12.6899,All
6.66316,13.9535,6.66316,4.39189,8.93444,10.1022,10.4025,10.1022,6.65864,13.5457,All
7.3359,14.005,7.3359,4.83531,9.8365,10.1748,10.48,10.1748,6.7065,13.6431,All
7.92065,13.4431,7.92065,5.22074,10.6206,10.7835,10.9779,10.7835,7.10771,14.4593,All
8.07656,13.9091,8.07656,5.3235,10.8296,11.3067,11.5932,11.3067,7.45256,15.1608,All
8.892,13.9117,8.892,5.86098,11.923,11.5107,11.8298,11.5107,7.58707,15.4344,All
9.38445,13.7545,9.38445,6.18557,12.5833,12.2871,12.5369,12.2871,8.09876,16.4754,All
9.78978,14.6127,9.78978,6.45273,13.1268,12.4386,12.7049,12.4386,8.19862,16.6785,All
10.7782,14.6412,10.7782,7.10422,14.4522,13.1157,13.4551,13.1157,8.64496,17.5865,All
10.8482,14.6752,10.8482,7.1504,14.5461,13.5704,13.8984,13.5704,8.94467,18.1962,All
11.8664,14.9131,11.8664,7.82149,15.9113,14.0003,14.2335,14.0003,9.228,18.7726,All
12.312,15.4188,12.312,8.11523,16.5089,14.7023,15.0565,14.7023,9.69073,19.7139,All
13.0645,15.4828,13.0645,8.61118,17.5178,14.9445,15.2028,14.9445,9.85036,20.0386,All
13.7758,15.5848,13.7758,9.08006,18.4716,15.8342,16.1981,15.8342,10.4368,21.2316,All
14.3835,15.7927,14.3835,9.4806,19.2864,15.9524,16.3375,15.9524,10.5147,21.3901,All
15.2396,16.5023,15.2396,10.0449,20.4344,16.9661,17.3022,16.9661,11.1828,22.7493,All
15.8357,16.4882,15.8357,10.4378,21.2337,17.0283,17.373,17.0283,11.2238,22.8327,All
16.7034,16.7926,16.7034,11.0097,22.3971,18.098,18.306,18.098,11.9289,24.267,All
17.4346,17.5079,17.4346,11.4916,23.3775,18.1767,18.4836,18.1767,11.9808,24.3726,All
18.1672,17.6829,18.1672,11.9746,24.3599,19.2298,19.5702,19.2298,12.675,25.7847,All
19.1948,17.6853,19.1948,12.6519,25.7378,19.4026,19.806,19.4026,12.7888,26.0163,All
19.631,18.3413,19.631,12.9394,26.3227,20.3617,20.6135,20.3617,13.421,27.3024,All
21.0948,18.2788,21.0948,13.9042,28.2854,20.7111,21.0475,20.7111,13.6513,27.7709,All
21.1328,18.2341,21.1328,13.9293,28.3363,21.4936,21.9785,21.4936,14.1671,28.8202,All
22.5586,18.6013,22.5586,14.8691,30.2482,22.1079,22.4816,22.1079,14.572,29.6439,All
23.2664,19.3904,23.2664,15.3356,31.1973,22.6255,23.0767,22.6255,14.9131,30.3379,All
24.0224,20.0714,24.0224,15.8339,32.211,23.5989,23.9007,23.5989,15.5548,31.6431,All
25.4862,19.6952,25.4862,16.7987,34.1737,23.7574,24.1004,23.7574,15.6592,31.8556,All
25.6155,19.6638,25.6155,16.8839,34.3471,24.8893,25.5343,24.8893,16.4052,33.3733,All
26.95,20.1491,26.95,17.7636,36.1365,25.1905,25.8612,25.1905,16.6038,33.7772,All
28.2018,21.0608,28.2018,18.5886,37.8149,26.0211,26.5885,26.0211,17.1513,34.891,All
28.4138,20.9547,28.4138,18.7284,38.0993,26.8894,27.2632,26.8894,17.7236,36.0552,All
29.8776,21.3784,29.8776,19.6932,40.062,27.153,27.561,27.153,17.8974,36.4087,All
31.0491,21.1896,31.0491,20.4654,41.6328,28.2849,28.5502,28.2849,18.6434,37.9264,All
31.3414,21.2881,31.3414,20.658,42.0248,28.7029,28.8508,28.7029,18.9189,38.4869,All
32.8052,22.541,32.8052,21.6229,43.9875,29.4168,29.68,29.4168,19.3895,39.4441,All
34.184,22.7894,34.184,22.5316,45.8363,30.5487,31.422,30.5487,20.1355,40.9618,All
34.269,22.7865,34.269,22.5877,45.9503,30.6387,31.5458,30.6387,20.1949,41.0825,All
35.7328,23.0282,35.7328,23.5525,47.9131,31.6806,32.5939,31.6806,20.8816,42.4795,All
37.1966,23.6235,37.1966,24.5174,49.8758,32.7051,33.3078,32.7051,21.5569,43.8533,All
37.6353,23.7898,37.6353,24.8065,50.4641,32.8124,33.3839,32.8124,21.6276,43.9972,All
38.6604,24.0571,38.6604,25.4822,51.8386,33.9443,34.2732,33.9443,22.3737,45.5149,All
40.1242,24.2476,40.1242,26.447,53.8014,34.9108,35.138,34.9108,23.0107,46.8108,All
41.4351,24.3933,41.4351,27.3111,55.5591,35.0762,35.2939,35.0762,23.1198,47.0327,All
41.588,24.4133,41.588,27.4119,55.7641,36.2081,36.4059,36.2081,23.8658,48.5504,All
43.0518,24.6501,43.0518,28.3767,57.7269,37.2652,37.4922,37.2652,24.5626,49.9679,All
44.5156,24.9513,44.5156,29.3415,59.6896,37.34,37.5701,37.34,24.6119,50.0681,All
45.6185,25.2151,45.6185,30.0685,61.1686,38.4719,38.7581,38.4719,25.3579,51.5858,All
45.9794,25.3074,45.9794,30.3064,61.6524,39.6037,39.9651,39.6037,26.104,53.1035,All
47.4432,25.7076,47.4432,31.2712,63.6152,39.7785,40.1532,39.7785,26.2192,53.3378,All
48.907,26.1477,48.907,32.236,65.5779,40.7356,41.1901,40.7356,26.8501,54.6212,All
50.2244,26.5711,50.2244,33.1044,67.3444,41.8675,42.4308,41.8675,27.5961,56.1389,All
50.3708,26.6202,50.3708,33.2009,67.5407,42.4613,43.0857,42.4613,27.9875,56.935,All
51.8346,27.1195,51.8346,34.1657,69.5035,42.9994,43.6803,42.9994,28.3422,57.6566,All
53.2984,27.6444,53.2984,35.1305,71.4662,44.1313,44.9437,44.1313,29.0882,59.1743,All
54.7622,28.1861,54.7622,36.0954,73.429,45.2632,46.2189,45.2632,29.8343,60.692,All
55.2952,28.3877,55.2952,36.4467,74.1437,45.3249,46.2885,45.3249,29.875,60.7749,All
56.226,28.7356,56.226,37.0602,75.3917,46.395,47.4958,46.395,30.5803,62.2097,All
57.6898,29.2665,57.6898,38.025,77.3545,47.5269,48.7808,47.5269,31.3264,63.7275,All
59.1536,29.7974,59.1536,38.9899,79.3173,48.3818,49.7529,48.3818,31.8898,64.8737,All
60.6174,30.3283,60.6174,39.9547,81.28,48.6588,50.0683,48.6588,32.0725,65.2452,All
60.878,30.4228,60.878,40.1265,81.6295,49.7907,51.357,49.7907,32.8185,66.7629,All
62.0812,30.8592,62.0812,40.9195,83.2428,50.9226,52.6422,50.9226,33.5646,68.2806,All
63.545,31.3901,63.545,41.8844,85.2056,51.6448,53.4588,51.6448,34.0406,69.2489,All
