iteration,convergenceIndicator,phase,V_pop,beta_V_logtHb,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtBUN,beta_Cl_logtCreatinine,beta_Cl_logtHCO3,beta_Cl_logtHCT,beta_Cl_logtHb,beta_Cl_logtK,beta_Cl_logtP,omega_V,omega_Cl,b
1,18435.3,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0.3
2,17095.4,1,1.95769,-0.201935,-0.115017,0.43799,0.0669668,-0.118618,-0.20855,-0.131934,0.230901,-0.405704,0.55418,0.227355,0.0284917,1.02112,0.974679,0.452377
3,17598.6,1,2.30609,-0.31456,-0.201948,0.469165,0.0701658,-0.162145,-0.206638,-0.159377,0.193583,-0.66144,0.788809,0.38253,-0.00537849,1.04744,0.95,0.506767
4,17605.9,1,2.73409,-0.397002,-0.235478,0.490303,0.127488,-0.176703,-0.139029,-0.254185,0.112022,-0.220469,0.409368,0.348942,-0.0294433,1.07129,0.925945,0.517064
5,17587.9,1,3.35226,-0.291181,-0.404282,0.535604,0.15302,-0.247237,-0.170313,-0.265377,0.222744,-0.101272,0.171509,0.423874,-0.0454205,1.1141,0.9025,0.523137
6,17465,1,4.1631,-0.165547,-0.637254,0.599739,0.14718,-0.319081,-0.0625477,-0.411482,0.0246012,0.0126408,0.32546,0.446014,-0.0251967,1.13645,0.879648,0.514537
7,17387.7,1,5.52999,-0.250433,-0.815721,0.680154,0.151862,-0.339884,-0.0320772,-0.424059,0.0138702,0.291407,0.120676,0.537558,-0.0845035,1.20861,0.857375,0.49919
8,17196.3,1,7.44085,-0.416285,-0.735744,0.744028,0.143936,-0.443279,-0.0140825,-0.424836,0.0930757,-0.28696,0.660471,0.384083,-0.0647673,1.28078,0.835666,0.474231
9,17006.9,1,10.22,-0.531323,-0.899953,0.819685,0.169082,-0.438569,-0.0462061,-0.456437,0.0929261,-0.148191,0.523677,0.506473,-0.129957,1.32122,0.814506,0.450519
10,16565.1,1,15.1452,-0.577075,-1.05102,0.916956,0.167655,-0.560314,-0.0400521,-0.45004,0.0615726,-0.112058,0.479517,0.483391,-0.199911,1.38184,0.793882,0.427993
11,16179.6,1,23.7699,-0.390037,-1.12455,0.990487,0.183012,-0.61507,-0.0426928,-0.501221,0.228347,-0.126896,0.559286,0.606297,-0.241086,1.37253,0.773781,0.406593
12,15619.2,1,32.0235,-0.453281,-0.776363,1.08502,0.195672,-0.561461,-0.111329,-0.463505,0.337478,-0.410268,0.778149,0.444632,-0.10983,1.33778,0.754188,0.386264
13,15389.1,1,40.0112,-0.241778,-0.366015,1.16902,0.213785,-0.555606,-0.114818,-0.473364,0.279136,-1.09724,1.50833,0.376301,-0.16985,1.3039,0.735092,0.366951
14,14874.6,1,52.9989,0.320817,-0.217799,1.22894,0.20615,-0.57998,-0.140908,-0.48093,0.324949,-1.13998,1.74712,0.480501,-0.218142,1.27089,0.716479,0.348603
15,14603.5,1,58.6385,0.355474,0.091755,1.2059,0.23105,-0.517973,-0.196479,-0.44833,0.314561,-0.634316,1.33114,0.472867,-0.200858,1.23871,0.698337,0.331173
16,14182.1,1,64.777,0.423856,0.257195,1.18161,0.293575,-0.553752,-0.192413,-0.498448,0.328802,-1.08644,1.58616,0.621735,-0.100917,1.20734,0.680655,0.314614
17,13900.7,1,70.7017,0.642046,0.267243,1.17471,0.293623,-0.582655,-0.2219,-0.462477,0.409737,-1.2042,1.87871,0.68127,-0.151913,1.17677,0.66342,0.298884
18,13783.3,1,71.9303,0.377521,0.487033,1.17595,0.284274,-0.604835,-0.236173,-0.497957,0.45049,-1.33745,2.04247,1.00907,-0.231625,1.14698,0.646622,0.283939
19,13648.1,1,72.7622,0.324751,0.46564,1.18135,0.273826,-0.643304,-0.266059,-0.498492,0.392538,-1.17831,2.0655,1.11086,-0.315748,1.11793,0.630249,0.269742
20,13263.8,1,76.4222,0.513034,0.452058,1.13934,0.358227,-0.627068,-0.276313,-0.54217,0.390999,-1.18071,1.8875,1.09456,-0.320082,1.08963,0.614291,0.256255
21,13146.1,1,76.1617,0.403854,0.478373,1.1344,0.369242,-0.755643,-0.241278,-0.55478,0.253389,-1.32216,2.06643,0.937094,-0.287937,1.06204,0.598737,0.243669
22,12911.9,1,77.5249,0.335305,0.534613,1.1798,0.353658,-0.771535,-0.246142,-0.548081,0.260777,-1.22688,2.00508,0.900933,-0.252373,1.03515,0.583577,0.233285
23,12705.8,1,77.8599,0.272837,0.525651,1.2103,0.304264,-0.754974,-0.264814,-0.541302,0.408322,-1.36712,2.19244,0.943093,-0.258309,1.00894,0.5688,0.224498
24,12547.3,1,77.1811,0.398355,0.511193,1.23495,0.298683,-0.718043,-0.252618,-0.512256,0.512705,-1.27729,2.1185,0.763353,-0.283452,0.983389,0.554398,0.220914
25,12543.4,1,76.7425,0.420155,0.515661,1.22001,0.322378,-0.733722,-0.298492,-0.55211,0.483777,-1.4195,2.1386,0.898906,-0.235162,0.958489,0.54036,0.221553
26,12525,1,78.7398,0.476179,0.495417,1.20462,0.353121,-0.680562,-0.363847,-0.476026,0.421025,-1.42647,2.16981,0.79995,-0.281894,0.93422,0.544927,0.222099
27,12420.8,1,77.1822,0.293239,0.596555,1.1929,0.382648,-0.653739,-0.309199,-0.494979,0.351663,-1.3277,2.01242,0.677746,-0.28238,0.910565,0.551251,0.21541
28,12259.4,1,75.963,0.307295,0.709387,1.22024,0.379261,-0.722158,-0.257291,-0.526259,0.348639,-1.25679,2.04799,0.748139,-0.29893,0.887509,0.547495,0.209408
29,12240.5,1,75.5346,0.42077,0.699684,1.23712,0.373792,-0.768415,-0.257317,-0.467017,0.352403,-1.37264,2.08237,0.629109,-0.30875,0.865037,0.553513,0.20796
30,12156.8,1,76.1062,0.267619,0.651243,1.23894,0.390976,-0.763914,-0.243928,-0.505781,0.326615,-1.927,2.6653,0.584946,-0.29164,0.843134,0.547236,0.20693
31,12132.4,1,77.9514,0.228989,0.611785,1.26545,0.357072,-0.785514,-0.284925,-0.442013,0.352523,-1.35308,2.08781,0.552723,-0.26765,0.821785,0.544173,0.208828
32,12083,1,77.7467,0.265048,0.567103,1.29104,0.312009,-0.783075,-0.25883,-0.443735,0.363071,-1.2919,2.20806,0.536466,-0.301074,0.800977,0.544916,0.207427
33,12116,1,76.9196,0.23674,0.604935,1.24713,0.373262,-0.790092,-0.230056,-0.550577,0.312873,-1.27292,2.13206,0.395856,-0.225392,0.780696,0.531118,0.213032
34,12031.8,1,76.4315,0.306172,0.6113,1.21238,0.40777,-0.859062,-0.239004,-0.539469,0.348372,-1.38544,2.1316,0.462481,-0.279512,0.760928,0.529749,0.207612
35,12035.3,1,77.5318,0.15279,0.66335,1.25217,0.370249,-0.728774,-0.226425,-0.563177,0.377986,-1.2516,2.09473,0.582784,-0.29228,0.741661,0.542117,0.208575
36,12000.6,1,76.3896,0.114764,0.689491,1.24887,0.358155,-0.781354,-0.220932,-0.594136,0.265426,-1.2509,2.03114,0.596555,-0.263769,0.722882,0.545175,0.210819
37,11970.1,1,76.0012,0.159955,0.692331,1.25885,0.376457,-0.701227,-0.262827,-0.582664,0.266513,-1.76551,2.5941,0.607223,-0.220233,0.704578,0.543431,0.212607
38,11981.4,1,76.4168,0.133286,0.662406,1.29201,0.357626,-0.793365,-0.274177,-0.554886,0.303953,-1.71467,2.4949,0.709036,-0.195137,0.686738,0.567928,0.20894
39,12042.2,1,76.1777,0.253826,0.568946,1.30728,0.348167,-0.792244,-0.271962,-0.551535,0.244868,-1.59897,2.36344,0.698016,-0.20299,0.669349,0.578956,0.211791
40,12022.6,1,77.5512,0.270917,0.566019,1.28009,0.377305,-0.788285,-0.230936,-0.556376,0.232085,-1.5647,2.26487,0.511981,-0.217032,0.652401,0.581899,0.212527
41,11908.5,1,77.0366,0.317436,0.607935,1.33609,0.32549,-0.825658,-0.218908,-0.524506,0.370425,-1.51104,2.21896,0.602924,-0.250291,0.635882,0.583872,0.208213
42,11863.7,1,78.7092,0.329771,0.543837,1.26761,0.404315,-0.859475,-0.15782,-0.631254,0.291612,-0.791973,1.63172,0.522438,-0.277474,0.619781,0.586248,0.208659
43,11877.5,1,77.0807,0.388446,0.492324,1.29498,0.380596,-0.769209,-0.21782,-0.589968,0.281831,-1.10129,1.82036,0.458171,-0.253771,0.604087,0.592718,0.206924
44,11781.9,1,78.8914,0.193816,0.500328,1.35562,0.325838,-0.777043,-0.233433,-0.581274,0.252979,-1.28846,2.15045,0.535365,-0.261682,0.588792,0.585176,0.209566
45,11741.6,1,78.4434,0.23118,0.47898,1.36507,0.311714,-0.85485,-0.239535,-0.581651,0.316467,-1.2752,2.09338,0.509234,-0.2069,0.573883,0.590661,0.205433
46,11685.9,1,79.2146,0.262193,0.549149,1.32402,0.34313,-0.882098,-0.234009,-0.592934,0.374965,-1.33769,2.1175,0.475649,-0.211128,0.562974,0.596318,0.201393
47,11676.6,1,79.3225,0.362733,0.511321,1.32362,0.329816,-0.891301,-0.264134,-0.586991,0.312658,-1.57649,2.3365,0.460067,-0.212112,0.562713,0.600872,0.200347
48,11744.8,1,77.4634,0.344832,0.489151,1.29379,0.369645,-0.838048,-0.25749,-0.629517,0.343173,-1.48809,2.28315,0.494254,-0.212352,0.561988,0.6042,0.202749
49,11654.4,1,77.7646,0.366905,0.573761,1.25959,0.411436,-0.77696,-0.24159,-0.665708,0.171575,-1.91958,2.71736,0.546984,-0.24647,0.569515,0.593621,0.198059
50,11631,1,77.1032,0.414277,0.608078,1.27605,0.39579,-0.775524,-0.26025,-0.680466,0.157154,-1.76327,2.55167,0.620754,-0.192721,0.559874,0.597515,0.197749
51,11733.5,1,77.106,0.321113,0.571028,1.25296,0.388172,-0.74526,-0.308094,-0.638736,0.160184,-1.70712,2.42455,0.628823,-0.168511,0.56023,0.614896,0.199965
52,11814.7,1,78.2134,0.4413,0.572001,1.26502,0.368949,-0.752512,-0.35447,-0.617517,0.219496,-1.5208,2.11438,0.502858,-0.124058,0.546044,0.645342,0.205559
53,11761.7,1,76.2667,0.435218,0.560062,1.25058,0.397988,-0.809107,-0.256792,-0.645535,0.235377,-1.50246,2.12101,0.500349,-0.161029,0.532218,0.6371,0.204333
54,11715.3,1,75.8103,0.400461,0.58458,1.26167,0.413632,-0.756829,-0.242619,-0.686267,0.122342,-1.63946,2.34332,0.685161,-0.178982,0.527444,0.623624,0.206153
55,11599.8,1,74.4739,0.367848,0.590806,1.322,0.375043,-0.740062,-0.271281,-0.617846,0.327475,-1.38389,2.11326,0.46268,-0.180953,0.514089,0.619484,0.205851
56,11659.4,1,74.5724,0.304807,0.535636,1.36306,0.326992,-0.766904,-0.290353,-0.567799,0.265667,-1.25277,2.00201,0.483804,-0.197235,0.514105,0.620801,0.20617
57,11679.1,1,73.5615,0.31601,0.522001,1.35866,0.357535,-0.819565,-0.261619,-0.568613,0.327531,-1.32527,2.09157,0.390198,-0.213023,0.518403,0.618808,0.20676
58,11568.4,1,75.0858,0.276252,0.532095,1.36303,0.350048,-0.746727,-0.276623,-0.5684,0.383152,-1.54924,2.3211,0.451079,-0.197618,0.511883,0.603139,0.205717
59,11561.1,1,74.4142,0.317916,0.60692,1.37561,0.330984,-0.720088,-0.259011,-0.551905,0.367946,-1.43051,2.26833,0.390259,-0.194869,0.509798,0.606084,0.20266
60,11532,1,75.4249,0.308404,0.595892,1.36906,0.326153,-0.721748,-0.273543,-0.555375,0.367174,-1.43982,2.27434,0.493201,-0.204657,0.513838,0.617315,0.198569
61,11586.4,1,75.0984,0.27899,0.670293,1.32712,0.365761,-0.695927,-0.271028,-0.587345,0.280831,-1.60251,2.46826,0.649704,-0.218745,0.500828,0.62078,0.205096
62,11599.2,1,73.9972,0.263065,0.64747,1.33843,0.367132,-0.753333,-0.230638,-0.619282,0.319828,-1.30764,2.19637,0.705047,-0.207217,0.509734,0.625471,0.201439
