time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1.86667,0.60166,1.86667,0.277018,1.86667,0.491689,0.601665,1.70942,2.2516,0.0814644,0.601665,1.31944,All
2.0731,0.550669,2.0731,0.272877,2.0731,0.469337,0.662411,1.69731,2.40346,0.100309,0.662411,1.31273,All
2.30237,0.49404,2.30237,0.268279,2.30237,0.444512,0.729291,1.68398,2.56555,0.120424,0.729291,1.30533,All
2.55699,0.452442,2.55699,0.264666,2.55699,0.424138,0.802923,1.6693,2.73858,0.141896,0.802923,1.29719,All
2.83976,0.422949,2.83976,0.261816,2.83976,0.407204,0.883989,1.65313,2.92328,0.15328,0.883989,1.28822,All
3.15381,0.390195,3.15381,0.25865,3.15381,0.388397,0.97324,1.63534,3.12043,0.158215,0.97324,1.27835,All
3.50259,0.39451,3.50259,0.257885,3.50259,0.381748,1.0715,1.61826,3.33088,0.156287,1.0715,1.26831,All
3.88995,0.401032,3.88995,0.257152,3.88995,0.374969,1.17968,1.60512,3.38349,0.154804,1.17968,1.25911,All
4.32014,0.422589,4.32014,0.257242,4.32014,0.372741,1.29879,1.59369,3.55552,0.149519,1.29879,1.24999,All
4.7979,0.474143,4.7979,0.259054,4.7979,0.380645,1.42992,1.58915,3.79531,0.135581,1.42992,1.24262,All
5.3285,0.540708,5.3285,0.261524,5.3285,0.39347,1.57429,1.58455,4.05128,0.117475,1.57429,1.23464,All
5.91778,0.624979,5.91778,0.264512,5.91778,0.413438,1.73324,1.57949,4.32451,0.0971969,1.73324,1.22586,All
6.57223,0.712598,6.57223,0.26682,6.57223,0.436323,1.90823,1.57895,4.51537,0.0840117,1.90823,1.21788,All
7.29905,0.781648,7.29905,0.26649,7.29905,0.456396,2.06546,1.58392,4.61616,0.0777326,2.06546,1.21255,All
8.10626,0.796923,8.10626,0.26053,8.10626,0.463865,2.10089,1.58611,4.92749,0.0636783,2.10089,1.21173,All
8.90533,0.72026,8.90533,0.246779,8.90533,0.4471,2.31301,1.6004,5.25981,0.0574604,2.31301,1.20723,All
9.00273,0.705838,9.00273,0.244711,9.00273,0.443639,2.54654,1.61613,5.61454,0.0580008,2.54654,1.20228,All
9.99834,0.528059,9.99834,0.224233,9.99834,0.39549,2.80365,1.63506,5.64725,0.0583111,2.80365,1.19754,All
11.1041,0.407668,11.1041,0.218728,11.1041,0.345631,3.08671,1.65839,5.9932,0.0625827,3.08671,1.19343,All
12.3321,0.373511,12.3321,0.199329,12.3321,0.296777,3.39836,1.68185,6.3974,0.0678253,3.39836,1.18842,All
13.6959,0.307524,13.6959,0.129515,13.6959,0.228288,3.52926,1.68936,6.77914,0.0779397,3.52926,1.18572,All
15.2105,0.207726,15.2105,0.11409,15.2105,0.160335,3.74147,1.6986,6.82885,0.0802311,3.74147,1.18051,All
15.944,0.172645,15.944,0.133951,15.944,0.141628,4.11922,1.70028,7.28941,0.0993481,4.11922,1.16698,All
16.8926,0.173703,16.8926,0.14904,16.8926,0.141512,4.53512,1.67277,7.78102,0.0698508,4.53512,1.14339,All
18.7608,0.311975,18.7608,0.15606,18.7608,0.215651,4.993,1.59686,7.91102,0.0625221,4.993,1.10369,All
20.8355,0.235924,20.8355,0.121856,20.8355,0.197127,4.99306,1.59684,8.3058,0.0893086,4.99306,1.10369,All
22.9827,0.186906,22.9827,0.142668,22.9827,0.144464,5.49711,1.45406,8.86596,0.111417,5.49711,1.04192,All
23.1397,0.186625,23.1397,0.124823,23.1397,0.141378,6.05212,1.29123,9.0429,0.0909672,6.05212,0.971292,All
25.6988,0.249416,25.6988,0.136025,25.6988,0.173942,6.45685,1.22535,9.4639,0.0645637,6.45685,0.934642,All
28.5408,0.164603,28.5408,0.0959237,28.5408,0.164417,6.66316,1.22092,10.1022,0.145665,6.66316,0.924238,All
30.0213,0.255383,30.0213,0.10329,30.0213,0.149998,7.3359,1.12558,10.1748,0.146371,7.3359,0.859135,All
31.6971,0.229499,31.6971,0.0940733,31.6971,0.122713,7.92065,0.896996,10.7835,0.0897837,7.92065,0.751817,All
35.2025,0.121324,35.2025,0.104427,35.2025,0.0544154,8.07656,0.978205,11.3067,0.124218,8.07656,0.76928,All
37.06,0.122723,37.06,0.033153,37.06,0.0645453,8.892,0.775052,11.5107,0.136175,8.892,0.652128,All
39.0956,0.0666562,39.0956,0.0307736,39.0956,0.0237087,9.38445,0.713098,12.2871,0.0999511,9.38445,0.579713,All
43.4192,0.239374,43.4192,0.100674,43.4192,0.16953,9.78978,0.795247,12.4386,0.105731,9.78978,0.653808,All
44.0987,0.182993,44.0987,0.0851552,44.0987,0.103459,10.7782,0.635975,13.1157,0.126531,10.7782,0.536174,All
48.2209,0.160891,48.2209,0.0787217,48.2209,0.0571694,10.8482,0.640768,13.5704,0.119759,10.8482,0.540095,All
51.1373,0.104925,51.1373,0.0571003,51.1373,0.0503297,11.8664,0.575527,14.0003,0.0823746,11.8664,0.468167,All
53.5536,0.170524,53.5536,0.0783842,53.5536,0.0987388,12.312,0.560319,14.7023,0.118778,12.312,0.464874,All
58.176,0.108815,58.176,0.0711424,58.176,0.104859,13.0645,0.471057,14.9445,0.08543,13.0645,0.409348,All
59.4762,0.0697907,59.4762,0.0704111,59.4762,0.00851173,13.7758,0.423981,15.8342,0.112802,13.7758,0.362342,All
65.2147,0.0257025,65.2147,0.0854679,65.2147,-0.0175517,14.3835,0.382577,15.9524,0.118392,14.3835,0.332465,All
66.0536,0.0680316,66.0536,0.0811755,66.0536,0.0203061,15.2396,0.380977,16.9661,0.0977196,15.2396,0.315575,All
72.2533,-0.0141342,72.2533,0.00920105,72.2533,-0.0790451,15.8357,0.30684,17.0283,0.100068,15.8357,0.256806,All
73.3585,0.0196249,73.3585,0.0136101,73.3585,-0.05777,16.7034,0.255437,18.098,0.0566769,16.7034,0.218379,All
79.292,0.0987314,79.292,0.0683335,79.292,0.022718,17.4346,0.255755,18.1767,0.0823166,17.4346,0.229834,All
81.4712,-0.00796115,81.4712,0.0347562,81.4712,-0.052776,18.1672,0.204725,19.2298,0.0866069,18.1672,0.158305,All
86.3307,-0.0658748,86.3307,0.00942876,86.3307,-0.0939563,19.1948,0.104744,19.4026,0.102641,19.1948,0.078988,All
90.4812,-0.00551127,90.4812,0.0256306,90.4812,-0.0491209,19.631,0.115152,20.3617,0.0611717,19.631,0.0949875,All
93.3693,0.00709093,93.3693,0.0334809,93.3693,-0.0380668,21.0948,-0.0169241,20.7111,0.0790759,21.0948,-0.0563695,All
100.408,-0.0390686,100.408,0.0357438,100.408,-0.0657499,21.1328,-0.0244236,21.4936,0.109933,21.1328,-0.064392,All
100.487,-0.0396254,100.487,0.0357144,100.487,-0.0661033,22.5586,-0.122559,22.1079,0.081809,22.5586,-0.137045,All
107.447,-0.0762886,107.447,0.0315575,107.447,-0.0899861,23.2664,-0.114639,22.6255,0.096719,23.2664,-0.117606,All
111.6,-0.0892686,111.6,0.0278938,111.6,-0.0992056,24.0224,-0.116214,23.5989,0.0620964,24.0224,-0.103208,All
114.485,-0.0959104,114.485,0.0250195,114.485,-0.104386,25.4862,-0.274372,23.7574,0.0697676,25.4862,-0.273178,All
121.524,-0.109412,121.524,0.0175428,121.524,-0.116361,25.6155,-0.287827,24.8893,0.1246,25.6155,-0.287368,All
123.942,-0.114666,123.942,0.015007,123.942,-0.121228,26.95,-0.354892,25.1905,0.127877,26.95,-0.348412,All
128.563,-0.126243,128.563,0.010305,128.563,-0.131961,28.2018,-0.403514,26.0211,0.104527,28.2018,-0.397452,All
135.601,-0.147381,135.601,0.00349464,135.601,-0.151548,28.4138,-0.42744,26.8894,0.065497,28.4138,-0.421005,All
137.649,-0.154255,137.649,0.00159338,137.649,-0.157907,29.8776,-0.500752,27.153,0.0701133,29.8776,-0.477105,All
142.64,-0.172102,142.64,-0.00290574,142.64,-0.174394,31.0491,-0.600104,28.2849,0.0449395,31.0491,-0.589384,All
149.679,-0.199741,149.679,-0.00889893,149.679,-0.199821,31.3414,-0.61662,28.7029,0.0246618,31.3414,-0.602976,All
152.872,-0.212908,152.872,-0.011512,152.872,-0.211893,32.8052,-0.650058,29.4168,0.0400278,32.8052,-0.597578,All
156.717,-0.229317,156.717,-0.0145419,156.717,-0.226881,34.184,-0.734979,30.5487,0.13302,34.184,-0.694093,All
163.756,-0.260257,163.756,-0.019816,163.756,-0.254966,34.269,-0.741281,30.6387,0.138149,34.269,-0.701806,All
169.778,-0.287091,169.778,-0.0240116,169.778,-0.279046,35.7328,-0.832192,31.6806,0.137461,35.7328,-0.796911,All
170.795,-0.291623,170.795,-0.0247001,170.795,-0.283092,37.1966,-0.902105,32.7051,0.0874581,37.1966,-0.847862,All
177.833,-0.322842,177.833,-0.0293943,177.833,-0.310876,37.6353,-0.923892,32.8124,0.0824438,37.6353,-0.864732,All
184.872,-0.352919,184.872,-0.0337286,184.872,-0.337123,38.6604,-0.982225,33.9443,0.0432849,38.6604,-0.91931,All
188.554,-0.367993,188.554,-0.0358867,188.554,-0.350067,40.1242,-1.07583,34.9108,0.0263699,40.1242,-1.01879,All
191.911,-0.381108,191.911,-0.0377896,191.911,-0.361157,41.4351,-1.15836,35.0762,0.024677,41.4351,-1.10619,All
198.949,-0.406819,198.949,-0.0416036,198.949,-0.382398,41.588,-1.16761,36.2081,0.019975,41.588,-1.11568,All
205.988,-0.429641,205.988,-0.0452168,205.988,-0.400473,43.0518,-1.25143,37.2652,0.0223564,43.0518,-1.19798,All
209.406,-0.439361,209.406,-0.0468872,209.406,-0.407767,44.5156,-1.32968,37.34,0.0226468,44.5156,-1.27072,All
213.027,-0.448761,213.027,-0.0486066,213.027,-0.414522,45.6185,-1.3865,38.4719,0.0280401,45.6185,-1.3225,All
220.065,-0.464304,220.065,-0.0518101,220.065,-0.424711,45.9794,-1.40492,39.6037,0.0353995,45.9794,-1.33935,All
227.104,-0.477482,227.104,-0.0549153,227.104,-0.432369,47.4432,-1.47931,39.7785,0.0367047,47.4432,-1.40827,All
232.564,-0.486077,232.564,-0.0572619,232.564,-0.436572,48.907,-1.55316,40.7356,0.0445413,48.907,-1.47795,All
234.143,-0.488561,234.143,-0.0579404,234.143,-0.437788,50.2244,-1.61922,41.8675,0.0551423,50.2244,-1.54103,All
