parameter,value,se_sa,rse_sa
V_pop,74.6644010135303,2.21390734146837,2.96514444824539
beta_V_logtHb,0.359903772786262,0.132662540213218,36.8605583615272
beta_V_logtWT,0.584244754207669,0.0829381361039032,14.195786184915
Cl_pop,1.37039781885476,0.0683907110416283,4.9905735473793
beta_Cl_SEX_1,0.353741752419807,0.0571417732958168,16.1535280766074
beta_Cl_logtAGE,-0.745873364293802,0.0914476744525638,12.2604826543373
beta_Cl_logtBUN,-0.269776608602374,0.0576123416342035,21.3555733881727
beta_Cl_logtCreatinine,-0.576680739005421,0.068772824978802,11.9256323867192
beta_Cl_logtHCO3,0.290680084688829,0.121339019904841,41.7431486696907
beta_Cl_logtHCT,-1.28889792759584,0.486860055368399,37.7733600888421
beta_Cl_logtHb,1.96473505410324,0.474606706098384,24.1562700837038
beta_Cl_logtK,0.541392779108063,0.17379035829094,32.1006051423991
beta_Cl_logtP,-0.20287579205612,0.0777982157666997,38.3477077172316
omega_V,0.496386198344813,0.0210097508138519,4.23254129222537
omega_Cl,0.616568827704717,0.0218546201348587,3.54455482548742
b,0.207234569281651,0.0067563429032876,3.26023931562552
