V_pop,1,0.0873,-0.0796,-0.386,-0.0875,-0.0395,-0.104,-0.0722,0.0543,-0.0353,0.0315,0.0244,-0.0151,0.0783,0.13,0.174,0.112
beta_V_logtHb,0.0873,1,-0.204,0.00694,0.00342,0.00117,-0.0211,0.0532,0.0263,0.000362,-0.119,0.00459,-0.0229,-0.0137,0.0285,0.0276,-0.00913
beta_V_logtWT,-0.0796,-0.204,1,0.0322,0.0589,-0.0348,0.0577,-0.0563,-0.0917,-0.00897,0.0175,-0.0146,-0.00431,-0.0591,0.0389,-0.105,0.0196
Cl_pop,-0.386,0.00694,0.0322,1,0.0451,-0.0035,0.0609,0.25,0.0181,0.0086,0.00923,0.0164,-0.0223,-0.753,-0.113,-0.178,-0.0969
beta_Cl_logtAGE,-0.0875,0.00342,0.0589,0.0451,1,0.00206,-0.263,0.0658,-0.0323,-0.113,0.0938,0.0133,0.0409,-0.00335,-0.0137,-0.0562,0.00231
beta_Cl_logtAnionGap,-0.0395,0.00117,-0.0348,-0.0035,0.00206,1,0.000574,-0.194,0.428,-0.133,0.102,0.103,-0.156,0.06,-0.00233,-0.0239,-0.0139
beta_Cl_logtBUN,-0.104,-0.0211,0.0577,0.0609,-0.263,0.000574,1,-0.58,-0.196,0.0468,-0.00585,-0.11,-0.108,0.0317,-0.0132,-0.0611,-0.0178
beta_Cl_logtCreatinine,-0.0722,0.0532,-0.0563,0.25,0.0658,-0.194,-0.58,1,0.192,-0.00305,-0.0283,-0.0632,-0.112,-0.247,0.0408,-0.0379,-0.0365
beta_Cl_logtHCO3,0.0543,0.0263,-0.0917,0.0181,-0.0323,0.428,-0.196,0.192,1,-0.0866,0.083,0.00976,0.0184,-0.0798,0.035,0.0103,0.00919
beta_Cl_logtHCT,-0.0353,0.000362,-0.00897,0.0086,-0.113,-0.133,0.0468,-0.00305,-0.0866,1,-0.952,-0.14,-0.058,0.0504,-0.032,0.00956,-0.00512
beta_Cl_logtHb,0.0315,-0.119,0.0175,0.00923,0.0938,0.102,-0.00585,-0.0283,0.083,-0.952,1,0.113,0.0766,-0.0783,0.0215,-0.0048,0.00486
beta_Cl_logtK,0.0244,0.00459,-0.0146,0.0164,0.0133,0.103,-0.11,-0.0632,0.00976,-0.14,0.113,1,-0.312,-0.0628,-0.00864,-0.00147,0.0188
beta_Cl_logtP,-0.0151,-0.0229,-0.00431,-0.0223,0.0409,-0.156,-0.108,-0.112,0.0184,-0.058,0.0766,-0.312,1,0.0701,0.00986,-0.00539,-0.0129
beta_Cl_SEX_1,0.0783,-0.0137,-0.0591,-0.753,-0.00335,0.06,0.0317,-0.247,-0.0798,0.0504,-0.0783,-0.0628,0.0701,1,0.000745,0.029,0.0251
omega_V,0.13,0.0285,0.0389,-0.113,-0.0137,-0.00233,-0.0132,0.0408,0.035,-0.032,0.0215,-0.00864,0.00986,0.000745,1,-0.146,-0.113
omega_Cl,0.174,0.0276,-0.105,-0.178,-0.0562,-0.0239,-0.0611,-0.0379,0.0103,0.00956,-0.0048,-0.00147,-0.00539,0.029,-0.146,1,-0.0714
b,0.112,-0.00913,0.0196,-0.0969,0.00231,-0.0139,-0.0178,-0.0365,0.00919,-0.00512,0.00486,0.0188,-0.0129,0.0251,-0.113,-0.0714,1
