V_pop,0.000858,0.000338,-0.000191,-0.000556,-0.000232,-0.000135,-0.000173,-0.000146,0.000211,-0.000499,0.000434,0.000123,-3.46e-05,0.00013,8e-05,0.00011,2.17e-05
beta_V_logtHb,0.000338,0.0175,-0.00221,4.51e-05,4.09e-05,1.81e-05,-0.000159,0.000487,0.000462,2.31e-05,-0.00738,0.000105,-0.000237,-0.000102,7.95e-05,7.86e-05,-8e-06
beta_V_logtWT,-0.000191,-0.00221,0.00674,0.00013,0.000438,-0.000333,0.00027,-0.00032,-0.001,-0.000356,0.000674,-0.000208,-2.77e-05,-0.000274,6.72e-05,-0.000186,1.06e-05
Cl_pop,-0.000556,4.51e-05,0.00013,0.00241,0.0002,-2e-05,0.00017,0.000851,0.000118,0.000204,0.000213,0.000139,-8.55e-05,-0.00209,-0.000117,-0.000188,-3.15e-05
beta_Cl_logtAGE,-0.000232,4.09e-05,0.000438,0.0002,0.00819,2.17e-05,-0.00136,0.000412,-0.000389,-0.00494,0.00399,0.000208,0.000289,-1.71e-05,-2.6e-05,-0.00011,1.39e-06
beta_Cl_logtAnionGap,-0.000135,1.81e-05,-0.000333,-2e-05,2.17e-05,0.0136,3.81e-06,-0.00157,0.00664,-0.00747,0.00558,0.00208,-0.00142,0.000395,-5.72e-06,-5.99e-05,-1.08e-05
beta_Cl_logtBUN,-0.000173,-0.000159,0.00027,0.00017,-0.00136,3.81e-06,0.00325,-0.00229,-0.00149,0.00129,-0.000157,-0.00108,-0.00048,0.000102,-1.59e-05,-7.49e-05,-6.73e-06
beta_Cl_logtCreatinine,-0.000146,0.000487,-0.00032,0.000851,0.000412,-0.00157,-0.00229,0.00479,0.00176,-0.000102,-0.000922,-0.000757,-0.000608,-0.000966,5.95e-05,-5.65e-05,-1.67e-05
beta_Cl_logtHCO3,0.000211,0.000462,-0.001,0.000118,-0.000389,0.00664,-0.00149,0.00176,0.0177,-0.00556,0.00519,0.000224,0.000192,-0.0006,9.81e-05,2.95e-05,8.09e-06
beta_Cl_logtHCT,-0.000499,2.31e-05,-0.000356,0.000204,-0.00494,-0.00747,0.00129,-0.000102,-0.00556,0.233,-0.216,-0.0117,-0.00219,0.00137,-0.000326,9.93e-05,-1.64e-05
beta_Cl_logtHb,0.000434,-0.00738,0.000674,0.000213,0.00399,0.00558,-0.000157,-0.000922,0.00519,-0.216,0.221,0.0092,0.00282,-0.00208,0.000212,-4.86e-05,1.51e-05
beta_Cl_logtK,0.000123,0.000105,-0.000208,0.000139,0.000208,0.00208,-0.00108,-0.000757,0.000224,-0.0117,0.0092,0.0299,-0.00422,-0.000613,-3.15e-05,-5.46e-06,2.15e-05
beta_Cl_logtP,-3.46e-05,-0.000237,-2.77e-05,-8.55e-05,0.000289,-0.00142,-0.00048,-0.000608,0.000192,-0.00219,0.00282,-0.00422,0.00612,0.00031,1.63e-05,-9.07e-06,-6.7e-06
beta_Cl_SEX_1,0.00013,-0.000102,-0.000274,-0.00209,-1.71e-05,0.000395,0.000102,-0.000966,-0.0006,0.00137,-0.00208,-0.000613,0.00031,0.00319,8.86e-07,3.53e-05,9.4e-06
omega_V,8e-05,7.95e-05,6.72e-05,-0.000117,-2.6e-05,-5.72e-06,-1.59e-05,5.95e-05,9.81e-05,-0.000326,0.000212,-3.15e-05,1.63e-05,8.86e-07,0.000444,-6.62e-05,-1.58e-05
omega_Cl,0.00011,7.86e-05,-0.000186,-0.000188,-0.00011,-5.99e-05,-7.49e-05,-5.65e-05,2.95e-05,9.93e-05,-4.86e-05,-5.46e-06,-9.07e-06,3.53e-05,-6.62e-05,0.000463,-1.02e-05
b,2.17e-05,-8e-06,1.06e-05,-3.15e-05,1.39e-06,-1.08e-05,-6.73e-06,-1.67e-05,8.09e-06,-1.64e-05,1.51e-05,2.15e-05,-6.7e-06,9.4e-06,-1.58e-05,-1.02e-05,4.39e-05
