parameter,value,se_sa,rse_sa
V_pop,73.8229685821282,2.16263402328248,2.92948666901216
beta_V_logtHb,0.38687857124175,0.132202248720251,34.1715097571639
beta_V_logtWT,0.599788636450725,0.0820829037710272,13.685304919539
Cl_pop,1.37950188642579,0.0677720473678473,4.91279120635642
beta_Cl_SEX_1,0.354464804828651,0.0564877628690742,15.9360709722311
beta_Cl_logtAGE,-0.743764774479068,0.0904806684624928,12.1652263682245
beta_Cl_logtAnionGap,-0.159480661111303,0.116597249907625,73.1105885159644
beta_Cl_logtBUN,-0.267680764005197,0.05698878839056,21.2898332841928
beta_Cl_logtCreatinine,-0.553262832570167,0.0692389533034269,12.514658355375
beta_Cl_logtHCO3,0.206462633718624,0.13297712496139,64.4073567048537
beta_Cl_logtHCT,-1.32159948235689,0.482907135677956,36.5395978225383
beta_Cl_logtHb,1.99143114238637,0.470037833351132,23.6030171140076
beta_Cl_logtK,0.526180328569197,0.172864341945732,32.852680451926
beta_Cl_logtP,-0.183936389052589,0.0782237177285055,42.5275923548442
omega_V,0.495182102572495,0.0210736001441172,4.25572734447364
omega_Cl,0.610695504209919,0.0215150188036938,3.52303540068281
b,0.208010506495826,0.00662491697331426,3.18489536173847
