V_pop,1,0.136,0.0892,-0.747,-0.462,-0.0656,-0.0184,-0.0498,-0.0807,0.0235,-0.0281,0.0176,0.00277,-0.00137,0.34,0.0531,0.0876,0.0784
beta_V_logtHb,0.136,1,-0.182,-0.102,-0.0255,0.000523,0.000225,-0.0178,0.0435,0.024,0.00471,-0.123,0.0054,-0.0192,0.03,0.0214,0.0264,-0.0135
beta_V_logtWT,0.0892,-0.182,1,-0.185,-0.0185,0.0571,-0.0346,0.0583,-0.0613,-0.091,-0.0106,0.0171,-0.0158,-0.00363,0.0118,0.0272,-0.104,0.0197
beta_V_SEX_1,-0.747,-0.102,-0.185,1,0.296,0.012,-0.0102,-0.0151,0.045,0.0193,0.0054,0.00524,0.0169,-0.0136,-0.393,0.0363,0.0215,-0.00367
Cl_pop,-0.462,-0.0255,-0.0185,0.296,1,0.0524,-0.00817,0.0455,0.253,0.0177,0.0104,0.0107,0.0258,-0.0301,-0.78,-0.0808,-0.157,-0.0924
beta_Cl_logtAGE,-0.0656,0.000523,0.0571,0.012,0.0524,1,0.001,-0.265,0.0714,-0.0339,-0.117,0.0977,0.00816,0.0446,-0.0145,-0.00405,-0.0541,-0.00827
beta_Cl_logtAnionGap,-0.0184,0.000225,-0.0346,-0.0102,-0.00817,0.001,1,-0.000131,-0.191,0.425,-0.124,0.0944,0.102,-0.152,0.0619,-0.00271,-0.0168,-0.0182
beta_Cl_logtBUN,-0.0498,-0.0178,0.0583,-0.0151,0.0455,-0.265,-0.000131,1,-0.584,-0.192,0.0469,-0.00526,-0.111,-0.104,0.0373,-0.00589,-0.0617,-0.00814
beta_Cl_logtCreatinine,-0.0807,0.0435,-0.0613,0.045,0.253,0.0714,-0.191,-0.584,1,0.189,-0.00376,-0.0272,-0.0605,-0.119,-0.245,0.0371,-0.0231,-0.0406
beta_Cl_logtHCO3,0.0235,0.024,-0.091,0.0193,0.0177,-0.0339,0.425,-0.192,0.189,1,-0.083,0.0796,0.0121,0.0106,-0.079,0.0318,0.0142,0.000989
beta_Cl_logtHCT,-0.0281,0.00471,-0.0106,0.0054,0.0104,-0.117,-0.124,0.0469,-0.00376,-0.083,1,-0.951,-0.137,-0.0571,0.0447,-0.0281,0.00933,-0.000555
beta_Cl_logtHb,0.0176,-0.123,0.0171,0.00524,0.0107,0.0977,0.0944,-0.00526,-0.0272,0.0796,-0.951,1,0.11,0.0743,-0.0757,0.0184,-0.00642,0.00311
beta_Cl_logtK,0.00277,0.0054,-0.0158,0.0169,0.0258,0.00816,0.102,-0.111,-0.0605,0.0121,-0.137,0.11,1,-0.315,-0.0689,-0.005,-0.00367,0.0152
beta_Cl_logtP,-0.00137,-0.0192,-0.00363,-0.0136,-0.0301,0.0446,-0.152,-0.104,-0.119,0.0106,-0.0571,0.0743,-0.315,1,0.0775,0.00909,-0.00894,-0.0108
beta_Cl_SEX_1,0.34,0.03,0.0118,-0.393,-0.78,-0.0145,0.0619,0.0373,-0.245,-0.079,0.0447,-0.0757,-0.0689,0.0775,1,-0.0248,0.0203,0.0246
omega_V,0.0531,0.0214,0.0272,0.0363,-0.0808,-0.00405,-0.00271,-0.00589,0.0371,0.0318,-0.0281,0.0184,-0.005,0.00909,-0.0248,1,-0.147,-0.122
omega_Cl,0.0876,0.0264,-0.104,0.0215,-0.157,-0.0541,-0.0168,-0.0617,-0.0231,0.0142,0.00933,-0.00642,-0.00367,-0.00894,0.0203,-0.147,1,-0.073
b,0.0784,-0.0135,0.0197,-0.00367,-0.0924,-0.00827,-0.0182,-0.00814,-0.0406,0.000989,-0.000555,0.00311,0.0152,-0.0108,0.0246,-0.122,-0.073,1
