V_pop,0.00195,0.000803,0.000332,-0.00188,-0.00105,-0.000263,-9.48e-05,-0.000125,-0.000247,0.000138,-0.000599,0.000366,2.13e-05,-4.75e-06,0.000929,5.03e-05,8.26e-05,2.28e-05
beta_V_logtHb,0.000803,0.0179,-0.00205,-0.00078,-0.000176,6.34e-06,3.51e-06,-0.000136,0.000403,0.000427,0.000304,-0.00774,0.000126,-0.000202,0.000248,6.14e-05,7.56e-05,-1.19e-05
beta_V_logtWT,0.000332,-0.00205,0.00708,-0.000888,-8.03e-05,0.000435,-0.00034,0.00028,-0.000357,-0.00102,-0.00043,0.000678,-0.000231,-2.4e-05,6.13e-05,4.9e-05,-0.000186,1.09e-05
beta_V_SEX_1,-0.00188,-0.00078,-0.000888,0.00324,0.000869,6.2e-05,-6.78e-05,-4.9e-05,0.000177,0.000146,0.000148,0.00014,0.000168,-6.09e-05,-0.00138,4.42e-05,2.62e-05,-1.38e-06
Cl_pop,-0.00105,-0.000176,-8.03e-05,0.000869,0.00266,0.000245,-4.91e-05,0.000134,0.000903,0.000121,0.00026,0.00026,0.000231,-0.000122,-0.00249,-8.92e-05,-0.000173,-3.14e-05
beta_Cl_logtAGE,-0.000263,6.34e-06,0.000435,6.2e-05,0.000245,0.00821,1.06e-05,-0.00137,0.000448,-0.000408,-0.00511,0.00417,0.000128,0.000318,-8.1e-05,-7.86e-06,-0.000105,-4.94e-06
beta_Cl_logtAnionGap,-9.48e-05,3.51e-06,-0.00034,-6.78e-05,-4.91e-05,1.06e-05,0.0136,-8.7e-07,-0.00154,0.00658,-0.007,0.00518,0.00206,-0.00139,0.000446,-6.78e-06,-4.18e-05,-1.4e-05
beta_Cl_logtBUN,-0.000125,-0.000136,0.00028,-4.9e-05,0.000134,-0.00137,-8.7e-07,0.00325,-0.0023,-0.00146,0.00129,-0.000141,-0.0011,-0.000468,0.000132,-7.19e-06,-7.51e-05,-3.06e-06
beta_Cl_logtCreatinine,-0.000247,0.000403,-0.000357,0.000177,0.000903,0.000448,-0.00154,-0.0023,0.00479,0.00174,-0.000126,-0.000887,-0.000728,-0.000648,-0.00105,5.5e-05,-3.41e-05,-1.85e-05
beta_Cl_logtHCO3,0.000138,0.000427,-0.00102,0.000146,0.000121,-0.000408,0.00658,-0.00146,0.00174,0.0176,-0.00531,0.00498,0.000279,0.000111,-0.000648,9.05e-05,4.02e-05,8.66e-07
beta_Cl_logtHCT,-0.000599,0.000304,-0.00043,0.000148,0.00026,-0.00511,-0.007,0.00129,-0.000126,-0.00531,0.233,-0.216,-0.0115,-0.00216,0.00133,-0.00029,9.61e-05,-1.76e-06
beta_Cl_logtHb,0.000366,-0.00774,0.000678,0.00014,0.00026,0.00417,0.00518,-0.000141,-0.000887,0.00498,-0.216,0.222,0.00903,0.00275,-0.0022,0.000185,-6.45e-05,9.66e-06
beta_Cl_logtK,2.13e-05,0.000126,-0.000231,0.000168,0.000231,0.000128,0.00206,-0.0011,-0.000728,0.000279,-0.0115,0.00903,0.0301,-0.00429,-0.000738,-1.86e-05,-1.36e-05,1.74e-05
beta_Cl_logtP,-4.75e-06,-0.000202,-2.4e-05,-6.09e-05,-0.000122,0.000318,-0.00139,-0.000468,-0.000648,0.000111,-0.00216,0.00275,-0.00429,0.00618,0.000376,1.53e-05,-1.5e-05,-5.62e-06
beta_Cl_SEX_1,0.000929,0.000248,6.13e-05,-0.00138,-0.00249,-8.1e-05,0.000446,0.000132,-0.00105,-0.000648,0.00133,-0.0022,-0.000738,0.000376,0.00382,-3.28e-05,2.68e-05,1e-05
omega_V,5.03e-05,6.14e-05,4.9e-05,4.42e-05,-8.92e-05,-7.86e-06,-6.78e-06,-7.19e-06,5.5e-05,9.05e-05,-0.00029,0.000185,-1.86e-05,1.53e-05,-3.28e-05,0.000459,-6.74e-05,-1.72e-05
omega_Cl,8.26e-05,7.56e-05,-0.000186,2.62e-05,-0.000173,-0.000105,-4.18e-05,-7.51e-05,-3.41e-05,4.02e-05,9.61e-05,-6.45e-05,-1.36e-05,-1.5e-05,2.68e-05,-6.74e-05,0.000456,-1.03e-05
b,2.28e-05,-1.19e-05,1.09e-05,-1.38e-06,-3.14e-05,-4.94e-06,-1.4e-05,-3.06e-06,-1.85e-05,8.66e-07,-1.76e-06,9.66e-06,1.74e-05,-5.62e-06,1e-05,-1.72e-05,-1.03e-05,4.35e-05
