parameter,value,se_sa,rse_sa
V_pop,75.7283154715758,3.34600678493078,4.41843551397454
beta_V_SEX_1,-0.0285483369299584,0.0569433459879255,199.462918374659
beta_V_logtHb,0.383788351263295,0.133795991513198,34.8619209188578
beta_V_logtWT,0.613053418553928,0.0841626226945122,13.7284321638782
Cl_pop,1.36180861027513,0.0702059460103524,5.15534602150652
beta_Cl_SEX_1,0.360903373713447,0.0617749532385489,17.1167569321747
beta_Cl_logtAGE,-0.746580772309083,0.0906060988816191,12.1361414922843
beta_Cl_logtAnionGap,-0.148764997478998,0.116667827553471,78.4242459789253
beta_Cl_logtBUN,-0.269902060581038,0.0570484985290935,21.1367406407647
beta_Cl_logtCreatinine,-0.555273609003512,0.069238443935407,12.4692480990879
beta_Cl_logtHCO3,0.215913911483857,0.132831663000418,61.5206598257328
beta_Cl_logtHCT,-1.3091866445497,0.482276962475844,36.8379072979105
beta_Cl_logtHb,1.97555382883383,0.470695062595095,23.8259801239102
beta_Cl_logtK,0.525354450198084,0.173590024056943,33.0424580950044
beta_Cl_logtP,-0.18208409207742,0.0786079374039496,43.1712273747267
omega_V,0.506315225159117,0.0214228390214898,4.23112676786627
omega_Cl,0.609502269233073,0.0213548201291963,3.50364899478827
b,0.206895124217683,0.00659193881374431,3.1861257430159
