V_pop,1,-0.0798,0.119,0.0823,-0.75,-0.468,-0.0731,-0.0166,-0.0587,-0.0761,0.0307,0.0057,-0.0157,-0.00217,0.000921,0.347,0.0502,0.0928,0.0872
beta_V_logtHCT,-0.0798,1,-0.952,-0.0115,0.0311,0.00976,0.045,0.0432,0.0527,-0.0321,-0.0331,-0.394,0.384,0.0182,0.00308,-0.0022,-0.00345,-0.0475,-0.024
beta_V_logtHb,0.119,-0.952,1,-0.0442,-0.0629,-0.0189,-0.0439,-0.0414,-0.0557,0.0446,0.0391,0.376,-0.4,-0.0171,-0.00811,0.0138,0.0131,0.0537,0.0189
beta_V_logtWT,0.0823,-0.0115,-0.0442,1,-0.18,-0.0124,0.0596,-0.0325,0.0611,-0.0662,-0.0955,-0.00777,0.0132,-0.0149,2.01e-05,0.00694,0.00951,-0.102,0.0137
beta_V_SEX_1,-0.75,0.0311,-0.0629,-0.18,1,0.304,0.0198,-0.00479,-0.016,0.0459,0.0198,-0.00262,0.0145,0.0195,-0.0165,-0.395,0.0368,0.0171,-0.0184
Cl_pop,-0.468,0.00976,-0.0189,-0.0124,0.304,1,0.057,-0.0155,0.0482,0.249,0.00976,0.00308,0.0165,0.0285,-0.0294,-0.785,-0.0749,-0.154,-0.0975
beta_Cl_logtAGE,-0.0731,0.045,-0.0439,0.0596,0.0198,0.057,1,0.00653,-0.258,0.0669,-0.0361,-0.132,0.115,0.0112,0.0483,-0.0219,-0.00514,-0.0562,-0.00964
beta_Cl_logtAnionGap,-0.0166,0.0432,-0.0414,-0.0325,-0.00479,-0.0155,0.00653,1,0.0016,-0.198,0.425,-0.134,0.107,0.109,-0.159,0.0589,0.000934,-0.00341,-0.0192
beta_Cl_logtBUN,-0.0587,0.0527,-0.0557,0.0611,-0.016,0.0482,-0.258,0.0016,1,-0.587,-0.2,0.0179,0.0192,-0.107,-0.103,0.0407,-0.0122,-0.0586,-0.0184
beta_Cl_logtCreatinine,-0.0761,-0.0321,0.0446,-0.0662,0.0459,0.249,0.0669,-0.198,-0.587,1,0.192,0.0129,-0.0416,-0.0641,-0.117,-0.248,0.0437,-0.0195,-0.0338
beta_Cl_logtHCO3,0.0307,-0.0331,0.0391,-0.0955,0.0198,0.00976,-0.0361,0.425,-0.2,0.192,1,-0.0567,0.0551,0.0141,0.00825,-0.0784,0.0413,0.0303,0.00468
beta_Cl_logtHCT,0.0057,-0.394,0.376,-0.00777,-0.00262,0.00308,-0.132,-0.134,0.0179,0.0129,-0.0567,1,-0.958,-0.132,-0.0533,0.0395,-0.0175,0.0325,0.00959
beta_Cl_logtHb,-0.0157,0.384,-0.4,0.0132,0.0145,0.0165,0.115,0.107,0.0192,-0.0416,0.0551,-0.958,1,0.109,0.0673,-0.07,0.00658,-0.0259,-0.00788
beta_Cl_logtK,-0.00217,0.0182,-0.0171,-0.0149,0.0195,0.0285,0.0112,0.109,-0.107,-0.0641,0.0141,-0.132,0.109,1,-0.314,-0.0684,-0.00963,-0.0101,0.0131
beta_Cl_logtP,0.000921,0.00308,-0.00811,2.01e-05,-0.0165,-0.0294,0.0483,-0.159,-0.103,-0.117,0.00825,-0.0533,0.0673,-0.314,1,0.0764,0.00841,-0.0177,-0.00562
beta_Cl_SEX_1,0.347,-0.0022,0.0138,0.00694,-0.395,-0.785,-0.0219,0.0589,0.0407,-0.248,-0.0784,0.0395,-0.07,-0.0684,0.0764,1,-0.0334,0.0214,0.0332
omega_V,0.0502,-0.00345,0.0131,0.00951,0.0368,-0.0749,-0.00514,0.000934,-0.0122,0.0437,0.0413,-0.0175,0.00658,-0.00963,0.00841,-0.0334,1,-0.137,-0.126
omega_Cl,0.0928,-0.0475,0.0537,-0.102,0.0171,-0.154,-0.0562,-0.00341,-0.0586,-0.0195,0.0303,0.0325,-0.0259,-0.0101,-0.0177,0.0214,-0.137,1,-0.0754
b,0.0872,-0.024,0.0189,0.0137,-0.0184,-0.0975,-0.00964,-0.0192,-0.0184,-0.0338,0.00468,0.00959,-0.00788,0.0131,-0.00562,0.0332,-0.126,-0.0754,1
